Catalog number,old,MW,Plate Location,Plate number,96 plate name,96 well,384 plate ID,UCSC CSC plate ID,Well,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
T-113,Parthenolide,248.3,4-A05,4,Plate 4,A05,EnzoICCB1,SP0127,B10,ICCB Known Bioactives Library,20.1355119957313,Inhibitors:  IkappaB kinase inhibitor,DMSO,2840,Parthenolide - Inhibitors - IkappaB kinase inhibitor
CA-204,Dichlorobenzamil·HCl,425.1,3-A06,3,Plate 3,A06,EnzoICCB1,SP0127,B11,ICCB Known Bioactives Library,11.7619106988692,Ion channel ligands:  Calcium channels,DMSO,2840,Dichlorobenzamil - Ion channel ligands - Calcium channels
PI-102,MG-132,475.6,4-A06,4,Plate 4,A06,EnzoICCB1,SP0127,B12,ICCB Known Bioactives Library,10.5125764054053,Protease inhibitors:  Proteasome inhibitor,DMSO,2840,MG-132 - Protease inhibitors - Proteasome inhibitor
CA-205,Diltiazem·HCl,451.0,3-A07,3,Plate 3,A07,EnzoICCB1,SP0127,B13,ICCB Known Bioactives Library,11.0869907467975,Ion channel ligands:  Calcium channels,DMSO,2840,Diltiazem - Ion channel ligands - Calcium channels
EI-352,QNZ,356.4,4-A07,4,Plate 4,A07,EnzoICCB1,SP0127,B14,ICCB Known Bioactives Library,14.0283777247318,Inhibitors:  NFkappaB inhibitor,DMSO,2840,QNZ
KC-158,E-4031,401.5,3-A08,3,Plate 3,A08,EnzoICCB1,SP0127,B15,ICCB Known Bioactives Library,12.4526177893117,Ion channel ligands:  Potassium channels,DMSO,2840,E-4031 - Ion channel ligands - Potassium channels
GR-211,bezafibrate,361.8,4-A08,4,Plate 4,A08,EnzoICCB1,SP0127,B16,ICCB Known Bioactives Library,13.8190642282467,Nuclear receptor ligands:  PPAR alpha agonist,DMSO,2840,Bezafibrate - Nuclear receptor ligands - PPAR alpha agonist
CM-102,Fipronil,437.1,3-A09,3,Plate 3,A09,EnzoICCB1,SP0127,B17,ICCB Known Bioactives Library,11.4377739346857,Ion channel ligands:  Misc. channels,DMSO,2840,Fipronil - Ion channel ligands - Misc. channels
IM-100,Cycloheximide-N-ethylethanoate,367.4,4-A09,4,Plate 4,A09,EnzoICCB1,SP0127,B18,ICCB Known Bioactives Library,13.6077860485901,Inhibitors:  FKBP12 inhibitor,DMSO,2840,Cycloheximide-N-ethylethanoate - Inhibitors - FKBP12 inhibitor
AC-130,Flecainide acetate,473.4,3-A10,3,Plate 3,A10,EnzoICCB1,SP0127,B19,ICCB Known Bioactives Library,10.5621894320225,Ion channel ligands:  Sodium channels,DMSO,2840,Flecainide - Ion channel ligands - Sodium channels
A-165,Ascomycin (FK-520),792.0,4-A10,4,Plate 4,A10,EnzoICCB1,SP0127,B20,ICCB Known Bioactives Library,6.31307153025697,Inhibitors:  binds to FKBP inhibits calcineurin,DMSO,2840,Ascomycin (FK-520) - Inhibitors - binds to FKBP inhibits calcineurin
AC-123,Flufenamic acid,281.2,3-A11,3,Plate 3,A11,EnzoICCB1,SP0127,B21,ICCB Known Bioactives Library,17.7790483871025,Ion channel ligands:  Potassium channels,DMSO,2840,Flufenamic acid - Ion channel ligands - Potassium channels
FR-100,U-74389G,610.8,4-A11,4,Plate 4,A11,EnzoICCB1,SP0127,B22,ICCB Known Bioactives Library,8.18555808889483,Inhibitors:  superoxide/free-radical inhibitor,DMSO,2840,U-74389G - Inhibitors - superoxide/free-radical inhibitor
HP-012,12(S)-HPETE,336.5,1-B02,1,Plate 1,B02,EnzoICCB1,SP0127,C03,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Fatty acid hydroperoxide,DMSO,2840,12(S)-HPETE  - Bioactive lipids - Fatty acid hydroperoxide
FA-010,Docosatrienoic acid (22:3 n-3),334.5,2-B02,2,Plate 2,B02,EnzoICCB1,SP0127,C04,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Docosatrienoic acid (22:3 n-3) - Bioactive lipids - Polyunsaturated fatty acid 
G-234,12-Methoxydodecanoic acid,230.3,1-B03,1,Plate 1,B03,EnzoICCB1,SP0127,C05,ICCB Known Bioactives Library,1,Bioactive lipids:  Myristic acid analog,DMSO,2840,12-Methoxydodecanoic acid - Bioactive lipids - Myristic acid analog
FA-024,Eicosa-5;8-dienoic acid (20:2 n-12),308.5,2-B03,2,Plate 2,B03,EnzoICCB1,SP0127,C06,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosa-5;8-dienoic acid (20:2 n-12) - Bioactive lipids - Polyunsaturated fatty acid 
HO-013,13(S)-HODE,296.4,1-B04,1,Plate 1,B04,EnzoICCB1,SP0127,C07,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,13(S)-HODE  - Bioactive lipids - Bioactive linoleic acid metabolite
FA-007,Eicosadienoic acid (20:2 n-6),308.5,2-B04,2,Plate 2,B04,EnzoICCB1,SP0127,C08,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosadienoic acid (20:2 n-6)  - Bioactive lipids - Polyunsaturated fatty acid 
HP-013,13(S)-HPODE,312.4,1-B05,1,Plate 1,B05,EnzoICCB1,SP0127,C09,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Fatty acid hydroperoxide,DMSO,2840,13(S)-HPODE  - Bioactive lipids - Fatty acid hydroperoxide
FA-001,Eicosapentaenoic acid (20:5 n-3),302.5,2-B05,2,Plate 2,B05,EnzoICCB1,SP0127,C10,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosapentaenoic acid (20:5 n-3)  - Bioactive lipids - Polyunsaturated fatty acid 
PG-048,13;14-Dihydro-PGE1,356.5,1-B06,1,Plate 1,B06,EnzoICCB1,SP0127,C11,ICCB Known Bioactives Library,1,Bioactive lipids:  Bioactive prostaglandin,DMSO,2840,13;14-Dihydro-prostaglandin E1  - Bioactive lipids - Bioactive prostaglandin
FA-008,Eicosatrienoic acid (20:3 n-3),306.5,2-B06,2,Plate 2,B06,EnzoICCB1,SP0127,C12,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosatrienoic acid (20:3 n-3)  - Bioactive lipids - Polyunsaturated fatty acid 
GR-102,13-cis retinoic acid,300.4,1-B07,1,Plate 1,B07,EnzoICCB1,SP0127,C13,ICCB Known Bioactives Library,1,Nuclear receptor ligands:  Retinoid receptor ligand,DMSO,2840,13-cis Retinoic acid - Nuclear receptor ligands - Retinoid receptor ligand
L-110,Enantio-PAF C16,523.7,2-B07,2,Plate 2,B07,EnzoICCB1,SP0127,C14,ICCB Known Bioactives Library,1,Bioactive lipids:  Negative control for PAF,DMSO,2840,Enantio-PAF C16  - Bioactive lipids - Negative control for PAF
KO-013,13-Keto-octadeca-9Z;11E-dienoic acid,294.4,1-B08,1,Plate 1,B08,EnzoICCB1,SP0127,C15,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,13-Ketooctadecadienoic acid - Bioactive lipids - Bioactive linoleic acid metabolite
G-222,Farnesylthioacetic acid,296.5,2-B08,2,Plate 2,B08,EnzoICCB1,SP0127,C16,ICCB Known Bioactives Library,1,Bioactive lipids:  Carboxymethylation inhibitor,DMSO,2840,Farnesylthioacetic acid  - Bioactive lipids - Carboxymethylation inhibitor
EE-14,(±)14;15-Epoxyeicosa-5Z;8Z;11Z-trienoic acid,320.5,1-B09,1,Plate 1,B09,EnzoICCB1,SP0127,C17,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,14;15-Epoxyeicosatrienoic acid  - Bioactive lipids - Bioactive arachidonic acid metabolite
RA-105,Fluprostenol,458.5,2-B09,2,Plate 2,B09,EnzoICCB1,SP0127,C18,ICCB Known Bioactives Library,1,Bioactive lipids:  Prostaglandin FP receptor agonist,DMSO,2840,Fluprostenol - Bioactive lipids - Prostaglandin FP receptor agonist
H-015,15(S)-HETE,320.5,1-B10,1,Plate 1,B10,EnzoICCB1,SP0127,C19,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,15(S)-HETE  - Bioactive lipids - Bioactive arachidonic acid metabolite
FA-006,Gamma-linolenic acid (18:3 n-6),278.4,2-B10,2,Plate 2,B10,EnzoICCB1,SP0127,C20,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,?-Linolenic acid (18:3 n-6)  - Bioactive lipids - Polyunsaturated fatty acid 
HP-015,15(S)-HPETE,336.5,1-B11,1,Plate 1,B11,EnzoICCB1,SP0127,C21,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Fatty acid hydroperoxide,DMSO,2840,15(S)-HPETE  - Bioactive lipids - Fatty acid hydroperoxide
LE-009,Leukotoxin A (9;10-EODE),296.4,2-B11,2,Plate 2,B11,EnzoICCB1,SP0127,C22,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,Leukotoxin A (9;10-EODE)  - Bioactive lipids - Bioactive linoleic acid metabolite
CA-225,Flunarizine·2HCl,477.4,3-B02,3,Plate 3,B02,EnzoICCB1,SP0127,D03,ICCB Known Bioactives Library,10.4730246304593,Ion channel ligands:  Calcium channels,DMSO,2840,Flunarizine - Ion channel ligands - Calcium channels
EI-207,Ebselen,274.2,4-B02,4,Plate 4,B02,EnzoICCB1,SP0127,D04,ICCB Known Bioactives Library,18.2361952002334,Inhibitors:  glutathione peroxidase mimetic,DMSO,2840,Ebselen - Inhibitors - glutathione peroxidase mimetic
AC-116,Fluspirilene,475.6,3-B03,3,Plate 3,B03,EnzoICCB1,SP0127,D05,ICCB Known Bioactives Library,10.5136396601403,Ion channel ligands:  Potassium channels,DMSO,2840,Fluspiriline - Ion channel ligands - Potassium channels
CN-266,TRIM,212.2,4-B03,4,Plate 4,B03,EnzoICCB1,SP0127,D06,ICCB Known Bioactives Library,23.5658751046325,Inhibitors:  bNOS/iNOS inhibitor,DMSO,2840,TRIM - Inhibitors - bNOS/iNOS inhibitor
CA-245,FPL-64176,347.4,3-B04,3,Plate 3,B04,EnzoICCB1,SP0127,D07,ICCB Known Bioactives Library,14.3923409718284,Ion channel ligands:  Calcium channels,DMSO,2840,FPL-64176 - Ion channel ligands - Calcium channels
PD-195,Zardaverine,268.2,4-B04,4,Plate 4,B04,EnzoICCB1,SP0127,D08,ICCB Known Bioactives Library,18.6416778703151,Inhibitors:  phosphodiesterase (PDE1/2) inhibitor,DMSO,2840,Zardaverine - Inhibitors - phosphodiesterase (PDE1/2) inhibitor
CA-422,6-Gingerol,294.4,3-B05,3,Plate 3,B05,EnzoICCB1,SP0127,D09,ICCB Known Bioactives Library,16.9845091086224,Ion channel ligands:  Intracellular calcium,DMSO,2840,Gingerol - Ion channel ligands - Intracellular calcium
PD-190,Zaprinast,271.3,4-B05,4,Plate 4,B05,EnzoICCB1,SP0127,D10,ICCB Known Bioactives Library,18.4315081470952,Inhibitors:  phosphodiesterase (PDE1) inhibitor,DMSO,2840,Zaprinast - Inhibitors - phosphodiesterase (PDE1) inhibitor
AC-120,Glipizide,445.5,3-B06,3,Plate 3,B06,EnzoICCB1,SP0127,D11,ICCB Known Bioactives Library,11.222462881704,Ion channel ligands:  Potassium channels,DMSO,2840,Glipizide - Ion channel ligands - Potassium channels
PD-185,Vinpocetine,350.5,4-B06,4,Plate 4,B06,EnzoICCB1,SP0127,D12,ICCB Known Bioactives Library,14.2672076791819,Inhibitors:  phosphodiesterase (PDE1) inhibitor,DMSO,2840,Vinpocetine - Inhibitors - phosphodiesterase (PDE1) inhibitor
KC-120,Glyburide,494.0,3-B07,3,Plate 3,B07,EnzoICCB1,SP0127,D13,ICCB Known Bioactives Library,10.1213755354208,Ion channel ligands:  Potassium channels,DMSO,2840,Glyburide - Ion channel ligands - Potassium channels
PD-180,Trequinsin,405.5,4-B07,4,Plate 4,B07,EnzoICCB1,SP0127,D14,ICCB Known Bioactives Library,12.3307755194647,Inhibitors:  phosphodiesterase (PDE3) inhibitor,DMSO,2840,Trequinsin - Inhibitors - phosphodiesterase (PDE3) inhibitor
NA-135,Grayanotoxin III,370.5,3-B08,3,Plate 3,B08,EnzoICCB1,SP0127,D15,ICCB Known Bioactives Library,13.4959906111093,Ion channel ligands:  Sodium channels,DMSO,2840,Grayanotoxin III - Ion channel ligands - Sodium channels
PD-179,Siguazodan,284.3,4-B08,4,Plate 4,B08,EnzoICCB1,SP0127,D16,ICCB Known Bioactives Library,17.5860414664789,Inhibitors:  phosphodiesterase (PDE3) inhibitor,DMSO,2840,Siguazodan - Inhibitors - phosphodiesterase (PDE3) inhibitor
CM-101,R(+)-IAA-94,357.2,3-B09,3,Plate 3,B09,EnzoICCB1,SP0127,D17,ICCB Known Bioactives Library,13.9966631954942,Ion channel ligands:  Misc. channels,DMSO,2840,IAA-94 - Ion channel ligands - Misc. channels
PD-175,Rolipram,275.3,4-B09,4,Plate 4,B09,EnzoICCB1,SP0127,D18,ICCB Known Bioactives Library,18.1591819361175,Inhibitors:  phosphodiesterase (PDE4 ) inhibitor,DMSO,2840,Rolipram - Inhibitors - phosphodiesterase (PDE4 ) inhibitor
CA-207,L-cis-Diltiazem·HCl,451.0,3-B10,3,Plate 3,B10,EnzoICCB1,SP0127,D19,ICCB Known Bioactives Library,11.0869907467975,Ion channel ligands:  Calcium channels,DMSO,2840,L-cis-Diltiazem - Ion channel ligands - Calcium channels
EI-117,Ro 20-1724,278.3,4-B10,4,Plate 4,B10,EnzoICCB1,SP0127,D20,ICCB Known Bioactives Library,17.9632027384543,Inhibitors:  phosphodiesterase (PDE4 ) inhibitor,DMSO,2840,Ro 20-1724 - Inhibitors - phosphodiesterase (PDE4 ) inhibitor
AC-128,Lidocaine·HCl·H2O,288.8,3-B11,3,Plate 3,B11,EnzoICCB1,SP0127,D21,ICCB Known Bioactives Library,17.3121801574716,Ion channel ligands:  Sodium channels,DMSO,2840,Lidocaine - Ion channel ligands - Sodium channels
PD-155,MY-5445,331.8,4-B11,4,Plate 4,B11,EnzoICCB1,SP0127,D22,ICCB Known Bioactives Library,15.0694097010832,Inhibitors:  phosphodiesterase (PDE5) inhibitor,DMSO,2840,MY-5445 - Inhibitors - phosphodiesterase (PDE5) inhibitor
PG-050,15-deoxy-Prostaglandin J2,316.4,1-C02,1,Plate 1,C02,EnzoICCB1,SP0127,E03,ICCB Known Bioactives Library,1,Bioactive lipids:  Bioactive prostaglandin,DMSO,2840,15d-Prostaglandin J2  - Bioactive lipids - Bioactive prostaglandin
LE-012,Leukotoxin B (12;13-EODE),296.4,2-C02,2,Plate 2,C02,EnzoICCB1,SP0127,E04,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,Leukotoxin B (12;13-EODE)  - Bioactive lipids - Bioactive linoleic acid metabolite
K-015,15-Ketoicosatetraenoic acid,318.5,1-C03,1,Plate 1,C03,EnzoICCB1,SP0127,E05,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,15-Ketoeicosatetraenoic acid - Bioactive lipids - Bioactive arachidonic acid metabolite
LB-004,Leukotriene B4,336.5,2-C03,2,Plate 2,C03,EnzoICCB1,SP0127,E06,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Leukotriene B4 receptor agonist,DMSO,2840,Leukotriene B4   - Bioactive lipids - Leukotriene B4 receptor agonist
PG-021,16;16-Dimethyl-prostaglandin E2,380.5,1-C04,1,Plate 1,C04,EnzoICCB1,SP0127,E07,ICCB Known Bioactives Library,1,Bioactive lipids:  Prostaglandin EP receptor agonist,DMSO,2840,16;16-Dimethyl-prostaglandin E2  - Bioactive lipids - Prostaglandin EP receptor agonist
LC-004,Leukotriene C4,625.8,2-C04,2,Plate 2,C04,EnzoICCB1,SP0127,E08,ICCB Known Bioactives Library,0.1,Bioactive lipids:  CysLT receptor agonist,DMSO,2840,Leukotriene C4  - Bioactive lipids - CysLT receptor agonist
EI-103,17-Octadecynoic acid,280.4,1-C05,1,Plate 1,C05,EnzoICCB1,SP0127,E09,ICCB Known Bioactives Library,1,Lipid biosynthesis:  Inhibits fatty acid omega oxidation,DMSO,2840,17-Octadecynoic acid  - Lipid biosynthesis - Inhibits fatty acid omega oxidation
LD-004,Leukotriene D4,496.7,2-C05,2,Plate 2,C05,EnzoICCB1,SP0127,E10,ICCB Known Bioactives Library,0.1,Bioactive lipids:  CysLT receptor agonist,DMSO,2840,Leukotriene D4  - Bioactive lipids - CysLT receptor agonist
PG-042,17-Phenyl-trinor-prostaglandin E2,386.5,1-C06,1,Plate 1,C06,EnzoICCB1,SP0127,E11,ICCB Known Bioactives Library,1,Bioactive lipids:  Prostaglandin EP1 receptor agonist,DMSO,2840,17-Phenyl-trinor-prostaglandin E2  - Bioactive lipids - Prostaglandin EP1 receptor agonist
LE-004,Leukotriene E4,439.6,2-C06,2,Plate 2,C06,EnzoICCB1,SP0127,E12,ICCB Known Bioactives Library,0.1,Bioactive lipids:  CysLT1 receptor agonist,DMSO,2840,Leukotriene E4  - Bioactive lipids - CysLT1 receptor agonist
L-134,1-Acyl-PAF,537.7,1-C07,1,Plate 1,C07,EnzoICCB1,SP0127,E13,ICCB Known Bioactives Library,1,Bioactive lipids:  PAF agonist,DMSO,2840,1-Acyl-PAF  - Bioactive lipids - PAF agonist
FA-023,Linoleamide,279.5,2-C07,2,Plate 2,C07,EnzoICCB1,SP0127,E14,ICCB Known Bioactives Library,1,Endocannabinoids:  Bioactive linoleic acid metabolite,DMSO,2840,Linoleamide - Endocannabinoids - Bioactive linoleic acid metabolite
DG-140,1-Hexadecyl-2-arachidonoyl-glycerol,603.0,1-C08,1,Plate 1,C08,EnzoICCB1,SP0127,E15,ICCB Known Bioactives Library,1,Bioactive lipids:  DAG analog,DMSO,2840,1-Hexadecyl-2-arachidonoyl-glycerol - Bioactive lipids - DAG analog
FA-014,Linoleic acid,280.4,2-C08,2,Plate 2,C08,EnzoICCB1,SP0127,E16,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Linoleic acid - Bioactive lipids - Polyunsaturated fatty acid 
L-106,1-Hexadecyl-2-methylglycero-3 PC,495.7,1-C09,1,Plate 1,C09,EnzoICCB1,SP0127,E17,ICCB Known Bioactives Library,1,Bioactive lipids:  PAF receptor agonist,DMSO,2840,1-Hexadecyl-2-methylglycero-3 PC - Bioactive lipids - PAF receptor agonist
FA-005,Linolenic acid (18:3 n-3),278.4,2-C09,2,Plate 2,C09,EnzoICCB1,SP0127,E18,ICCB Known Bioactives Library,1,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Linolenic acid (18:3 n-3)  - Bioactive lipids - Polyunsaturated fatty acid 
EI-150,1-Hexadecyl-2-O-acetyl-glycerol,358.6,1-C10,1,Plate 1,C10,EnzoICCB1,SP0127,E19,ICCB Known Bioactives Library,1,Bioactive lipids:  Blocks DAG activation of PKC,DMSO,2840,1-Hexadecyl-2-O-acetyl-glycerol  - Bioactive lipids - Blocks DAG activation of PKC
LXA-004,Lipoxin A4,352.5,2-C10,2,Plate 2,C10,EnzoICCB1,SP0127,E20,ICCB Known Bioactives Library,0.1,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,Lipoxin A4 - Bioactive lipids - Bioactive arachidonic acid metabolite
EI-149,1-Hexadecyl-2-O-methyl-glycerol,330.5,1-C11,1,Plate 1,C11,EnzoICCB1,SP0127,E21,ICCB Known Bioactives Library,1,Bioactive lipids:  Blocks DAG activation of PKC,DMSO,2840,1-Hexadecyl-2-O-methyl-glycerol - Bioactive lipids - Blocks DAG activation of PKC
LP-101,L-NASPA,423.5,2-C11,2,Plate 2,C11,EnzoICCB1,SP0127,E22,ICCB Known Bioactives Library,1,Bioactive lipids:  LPA agonist / antagonist,DMSO,2840,L-NASPA - Bioactive lipids - LPA agonist / antagonist
