Catalog number,old,MW,Plate Location,Plate number,96 plate name,96 well,384 Plate ID,UCSC CSC Plate ID,Well,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
D-100,6;7-ADTN ,179.2,5-B03,5,Plate 1,B03,EnzoICCB2,SP0128,C05,ICCB Known Bioactives Library,27.8993414081467,CNS receptor ligands:  Dopamine agonist,DMSO,2840,6;7-ADTN HBr - CNS receptor ligands - Dopamine agonist
PE-160,Phorbol 12-myristate 13-acetate,616.8,6-B03,6,Plate 2,B03,EnzoICCB2,SP0128,C06,ICCB Known Bioactives Library,8.10602683094881,Activators:  PKC activator,DMSO,2840,Phorbol 12 myristate 13 acetate - Activators - PKC activator
FR-110,Hinokitiol,164.2,5-B04,5,Plate 1,B04,EnzoICCB2,SP0128,C07,ICCB Known Bioactives Library,30.4504659225791,Inhibitors:  Iron chelator,DMSO,2840,Hinokitiol - Inhibitors - Iron chelator
GR-325,Pifithrin-?,286.4,6-B04,6,Plate 2,B04,EnzoICCB2,SP0128,C08,ICCB Known Bioactives Library,17.4585882287215,Inhibitors:  p53 inhibitor,DMSO,2840,Pifithrin - Inhibitors - p53 inhibitor
CN-240,Diphenyleneiodonium ,279.1,5-B05,5,Plate 1,B05,EnzoICCB2,SP0128,C09,ICCB Known Bioactives Library,17.9149569826053,Inhibitors:  flavoprotein inhibitor,DMSO,2840,Diphenyleneiodonium Cl - Inhibitors - flavoprotein inhibitor
GR-233,CITCO,436.7,6-B05,6,Plate 2,B05,EnzoICCB2,SP0128,C10,ICCB Known Bioactives Library,11.4484066107679,Nuclear receptor ligands:  Const. androstane receptor (CAR) agonist,DMSO,2840,CITCO - Nuclear receptor ligands - Const. androstane receptor (CAR) agonist
CA-420,2;5-Ditertbutylhydroquinone,222.3,5-B06,5,Plate 1,B06,EnzoICCB2,SP0128,C11,ICCB Known Bioactives Library,22.4897705278754,Ion channel ligands:  ER Ca++ ATPase inhibitor,DMSO,2840,2;5-Ditertbutylhydroquinone - Ion channel ligands - ER Ca++ ATPase inhibitor
EI-219,Piroxicam,331.3,6-B06,6,Plate 2,B06,EnzoICCB2,SP0128,C12,ICCB Known Bioactives Library,15.0899663795549,Lipid biosynthesis:  COX1 inhibitor,DMSO,2840,Piroxicam - Lipid biosynthesis - COX1 inhibitor
GR-319,Doxorubicin,580.0,5-B07,5,Plate 1,B07,EnzoICCB2,SP0128,C13,ICCB Known Bioactives Library,8.62098693058381,Inhibitors:  topoisomerase II inhibitor; induces apoptosis,DMSO,2840,Doxorubicin - Inhibitors - topoisomerase II inhibitor; induces apoptosis
GR-334,Cyclopamine,411.6,6-B07,6,Plate 2,B07,EnzoICCB2,SP0128,C14,ICCB Known Bioactives Library,12.1471289410449,Inhibitors:  Hedgehog pathway inhibitor,DMSO,2840,Cyclopamine - Inhibitors - Hedgehog pathway inhibitor
EI-231,DRB (Benzimidazole),319.1,5-B08,5,Plate 1,B08,EnzoICCB2,SP0128,C15,ICCB Known Bioactives Library,15.6670562541322,Kinase inhibitors:  CKII inhibitor,DMSO,2840,DRB - Kinase inhibitors - CKII inhibitor
EI-275,PP1,281.4,6-B08,6,Plate 2,B08,EnzoICCB2,SP0128,C16,ICCB Known Bioactives Library,17.7711053201003,Protease inhibitors:  src family trosine kinase inhibitor,DMSO,2840,PP1 - Protease inhibitors - src family trosine kinase inhibitor
FR-107,MnTBAP,879.1,5-B09,5,Plate 1,B09,EnzoICCB2,SP0128,C17,ICCB Known Bioactives Library,5.68731807691301,Inhibitors:  SOD mimetic,DMSO,2840,MnTBAP - Inhibitors - SOD mimetic
AC-146,Prazocin,383.4,6-B09,6,Plate 2,B09,EnzoICCB2,SP0128,C18,ICCB Known Bioactives Library,13.0411728083201,CNS receptor ligands:  adrenoreceptor agonist,DMSO,2840,Prazocin - CNS receptor ligands - adrenoreceptor agonist
CA-302,E6 berbamine,757.8,5-B10,5,Plate 1,B10,EnzoICCB2,SP0128,C19,ICCB Known Bioactives Library,6.59781277228349,Inhibitors:  calmodulin inhibitor,DMSO,2840,E6 Berbamine - Inhibitors - calmodulin inhibitor
AP-401,Propidium iodide,668.4,6-B10,6,Plate 2,B10,EnzoICCB2,SP0128,C20,ICCB Known Bioactives Library,7.48061100433786,Inhibitors:  DNA intercalator,DMSO,2840,Propidium iodide - Inhibitors - DNA intercalator
PI-107,E-64-d,342.4,5-B11,5,Plate 1,B11,EnzoICCB2,SP0128,C21,ICCB Known Bioactives Library,14.6015030787269,Protease inhibitors:  calpain/cathepsin inhibitor,DMSO,2840,E-64-d - Protease inhibitors - calpain/cathepsin inhibitor
AR-107,(S)-(-)-propranolol·HCl,295.8,6-B11,6,Plate 2,B11,EnzoICCB2,SP0128,C22,ICCB Known Bioactives Library,16.903084474855,CNS receptor ligands:  adrenoceptor antagonist (beta),DMSO,2840,Propranolol (S-) - CNS receptor ligands - adrenoceptor antagonist (beta)
PD-129,EHNA ,277.4,5-C02,5,Plate 1,C02,EnzoICCB2,SP0128,E03,ICCB Known Bioactives Library,18.0267683087971,Inhibitors:  Phosphodiesterase (PDE2) inhibitor/adenosine deaminase inhibitor,DMSO,2840,EHNA HCl - Inhibitors - Phosphodiesterase (PDE2) inhibitor/adenosine deaminase inhibitor
GR-312,Puromycin·2HCl,530.4,6-C02,6,Plate 2,C02,EnzoICCB2,SP0128,E04,ICCB Known Bioactives Library,9.42675879752265,Inhibitors:  protein synthesis inhibitor,DMSO,2840,Puromycin - Inhibitors - protein synthesis inhibitor
S-620,Pregnenolone-16?-carbonitrile,341.5,5-C03,5,Plate 1,C03,EnzoICCB2,SP0128,E05,ICCB Known Bioactives Library,14.6418458096501,Nuclear receptor ligands:  PXR/SXR agonist,DMSO,2840,Pregnenolone 16? carbonitrile - Nuclear receptor ligands - PXR/SXR agonist
EI-314,SB-431542,384.4,6-C03,6,Plate 2,C03,EnzoICCB2,SP0128,E06,ICCB Known Bioactives Library,13.0077104504466,Kinase inhibitors:  ALK4; ALK5; ALK7 inhibitor,DMSO,2840,SB-431542 - Kinase inhibitors - ALK4; ALK5; ALK7 inhibitor
BL-093,Estradiol,272.4,5-C04,5,Plate 1,C04,EnzoICCB2,SP0128,E07,ICCB Known Bioactives Library,18.3565727544405,Nuclear receptor ligands:  estrogen,DMSO,2840,Estradiol - Nuclear receptor ligands - estrogen
EI-305,SP-600125,220.2,6-C04,6,Plate 2,C04,EnzoICCB2,SP0128,E08,ICCB Known Bioactives Library,22.7039392696869,Kinase inhibitors:  JNK inhibitor,DMSO,2840,SP-600125 - Kinase inhibitors - JNK inhibitor
GR-307,Etoposide,588.6,5-C05,5,Plate 1,C05,EnzoICCB2,SP0128,E09,ICCB Known Bioactives Library,8.49535966464398,Inhibitors:  topoisomerase II inhibitor,DMSO,2840,Etoposide - Inhibitors - topoisomerase II inhibitor
AC-1142,Quercetin·2H2O,338.3,6-C05,6,Plate 2,C05,EnzoICCB2,SP0128,E10,ICCB Known Bioactives Library,14.7812537045517,Kinase inhibitors:  kinase inhibitor (plus other),DMSO,2840,Quercetin - Kinase inhibitors - kinase inhibitor (plus other)
CM-120,FCCP,254.2,5-C06,5,Plate 1,C06,EnzoICCB2,SP0128,E11,ICCB Known Bioactives Library,19.6720202102467,Inhibitors:  mitochondrial uncoupler,DMSO,2840,FCCP - Inhibitors - mitochondrial uncoupler
A-275,Rapamycin,914.2,6-C06,6,Plate 2,C06,EnzoICCB2,SP0128,E12,ICCB Known Bioactives Library,5.46943085868205,Inhibitors:  FRAP inhibitor ,DMSO,2840,Rapamycin - Inhibitors - FRAP inhibitor 
CN-100,Forskolin,410.5,5-C07,5,Plate 1,C07,EnzoICCB2,SP0128,E13,ICCB Known Bioactives Library,12.1802323598567,Activators:  Adenylate cyclase activator,DMSO,2840,Forskolin - Activators - Adenylate cyclase activator
AM-100,Cyclo [Arg-Gly-Asp-D-Phe-Val],574.6,6-C07,6,Plate 2,C07,EnzoICCB2,SP0128,E14,ICCB Known Bioactives Library,8.70126183958945,Inhibitors:  integrin inhibitor,DMSO,2840,Cyclo [Arg-Gly-Asp-D-Phe-Val]  - Inhibitors - integrin inhibitor
EI-280,Geldanamycin,560.6,5-C08,5,Plate 1,C08,EnzoICCB2,SP0128,E15,ICCB Known Bioactives Library,8.91844421664756,Inhibitors:  HSP90 inhibitor,DMSO,2840,Geldanamycin - Inhibitors - HSP90 inhibitor
ST-300,RHC-80267,394.5,6-C08,6,Plate 2,C08,EnzoICCB2,SP0128,E16,ICCB Known Bioactives Library,12.6740013647365,Lipid biosynthesis:  DAG lipase inhibitor,DMSO,2840,RHC-80267 - Lipid biosynthesis - DAG lipase inhibitor
EI-147,Genistein,260.4,5-C09,5,Plate 1,C09,EnzoICCB2,SP0128,E17,ICCB Known Bioactives Library,19.2032347464866,Kinase inhibitors:  Tyrosine kinase inhibitor,DMSO,2840,Genistein - Kinase inhibitors - Tyrosine kinase inhibitor
PR-112,RK-682,368.5,6-C09,6,Plate 2,C09,EnzoICCB2,SP0128,E18,ICCB Known Bioactives Library,13.5682448796836,Inhibitors:  VHR phosphatase inhibitor,DMSO,2840,RK-682 - Inhibitors - VHR phosphatase inhibitor
EI-283,Ro 31-8220,457.5,5-C10,5,Plate 1,C10,EnzoICCB2,SP0128,E19,ICCB Known Bioactives Library,10.9278391072393,Kinase inhibitors:  PKC inhibitor,DMSO,2840,Ro 31-8220 - Kinase inhibitors - PKC inhibitor
CC-205,Roscovitine,354.4,6-C10,6,Plate 2,C10,EnzoICCB2,SP0128,E20,ICCB Known Bioactives Library,14.1063898278259,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Roscovitine - Kinase inhibitors - CDK inhibitor
EI-300,GM6001,388.5,5-C11,5,Plate 1,C11,EnzoICCB2,SP0128,E21,ICCB Known Bioactives Library,12.8713149103629,Protease inhibitors:  broad spectrum MMP inhibitor ,DMSO,2840,GM6001 - Protease inhibitors - broad spectrum MMP inhibitor 
EI-270,Rottlerin,516.5,6-C11,6,Plate 2,C11,EnzoICCB2,SP0128,E22,ICCB Known Bioactives Library,9.67982057484582,Kinase inhibitors:  PKC delta inhibitor,DMSO,2840,Rottlerin - Kinase inhibitors - PKC delta inhibitor
EI-269,Go6976,378.4,5-D02,5,Plate 1,D02,EnzoICCB2,SP0128,G03,ICCB Known Bioactives Library,13.212626302798,Kinase inhibitors:  PKC inhibitor,DMSO,2840,Go6976 - Kinase inhibitors - PKC inhibitor
PR-110,RWJ-60475-(AM)3,620.3,6-D02,6,Plate 2,D02,EnzoICCB2,SP0128,G04,ICCB Known Bioactives Library,8.0606808051008,Inhibitors:  CD45 phosphatase inhibitor,DMSO,2840,RWJ-60475-(AM)3 - Inhibitors - CD45 phosphatase inhibitor
EI-287,Nimesulide,308.3,5-D03,5,Plate 1,D03,EnzoICCB2,SP0128,G05,ICCB Known Bioactives Library,16.2174434822095,Lipid biosynthesis:  Cox 2 inhibitor,DMSO,2840,Nimesulide - Lipid biosynthesis - Cox 2 inhibitor
EI-286,SB 203580,377.4,6-D03,6,Plate 2,D03,EnzoICCB2,SP0128,G06,ICCB Known Bioactives Library,13.2473141070648,Kinase inhibitors:  Suppressor of MAPKAP kinase-2,DMSO,2840,SB 203580 - Kinase inhibitors - Suppressor of MAPKAP kinase-2
EI-148,H7,291.4,5-D04,5,Plate 1,D04,EnzoICCB2,SP0128,G07,ICCB Known Bioactives Library,17.1603705267204,Kinase inhibitors:  kinase inhibitor,DMSO,2840,H7 - Kinase inhibitors - kinase inhibitor
EI-294,SB 202190,331.3,6-D04,6,Plate 2,D04,EnzoICCB2,SP0128,G08,ICCB Known Bioactives Library,15.0900984508203,Kinase inhibitors:  MAP kinase inhibitor,DMSO,2840,SB 202190 - Kinase inhibitors - MAP kinase inhibitor
EI-196,H-89,446.4,5-D05,5,Plate 1,D05,EnzoICCB2,SP0128,G09,ICCB Known Bioactives Library,11.2016954886292,Kinase inhibitors:  PKA inhibitor,DMSO,2840,H-89 - Kinase inhibitors - PKA inhibitor
CC-207,Indirubin-3'-monoxime,277.3,6-D05,6,Plate 2,D05,EnzoICCB2,SP0128,G10,ICCB Known Bioactives Library,18.0324829935653,Kinase inhibitors:  GSK-3beta inhibitor,DMSO,2840,Indirubin-3'-monoxime - Kinase inhibitors - GSK-3beta inhibitor
EI-195,H9,324.2,5-D06,5,Plate 1,D06,EnzoICCB2,SP0128,G11,ICCB Known Bioactives Library,15.4212943400766,Kinase inhibitors:  kinase inhibitor,DMSO,2840,H9 - Kinase inhibitors - kinase inhibitor
CC-206,Indirubin,262.3,6-D06,6,Plate 2,D06,EnzoICCB2,SP0128,G12,ICCB Known Bioactives Library,19.0648464059714,Kinase inhibitors:  GSK-3beta inhibitor,DMSO,2840,Indirubin - Kinase inhibitors - GSK-3beta inhibitor
EI-233,HA1077,364.3,5-D07,5,Plate 1,D07,EnzoICCB2,SP0128,G13,ICCB Known Bioactives Library,13.7252910447966,Kinase inhibitors:  inhibitor of Rho-dependent kinases,DMSO,2840,HA1077 - Kinase inhibitors - inhibitor of Rho-dependent kinases
NS-820,serotonin,176.2,6-D07,6,Plate 2,D07,EnzoICCB2,SP0128,G14,ICCB Known Bioactives Library,28.3744128624618,CNS receptor ligands:  serotonin receptor agonist,DMSO,2840,Serotonin - CNS receptor ligands - serotonin receptor agonist
EI-184,HA-1004,293.3,5-D08,5,Plate 1,D08,EnzoICCB2,SP0128,G15,ICCB Known Bioactives Library,17.0447766282023,Kinase inhibitors:  kinase inhibitor,DMSO,2840,HA-1004 - Kinase inhibitors - kinase inhibitor
FR-104,resveratrol,228.2,6-D08,6,Plate 2,D08,EnzoICCB2,SP0128,G16,ICCB Known Bioactives Library,21.9064480753652,Activators:  SIRT1 activator,DMSO,2840,Resveratrol - Activators - SIRT1 activator
EI-273,HBDDE,338.3,5-D09,5,Plate 1,D09,EnzoICCB2,SP0128,G17,ICCB Known Bioactives Library,14.7793749684091,Kinase inhibitors:  PKC inhibitor,DMSO,2840,HBDDE - Kinase inhibitors - PKC inhibitor
GR-331,Splitomycin,198.2,6-D09,6,Plate 2,D09,EnzoICCB2,SP0128,G18,ICCB Known Bioactives Library,25.2248416258319,Inhibitors:  sir2p inhibitor,DMSO,2840,Splitomycin - Inhibitors - sir2p inhibitor
AC-764,Histamine,111.1,5-D10,5,Plate 1,D10,EnzoICCB2,SP0128,G19,ICCB Known Bioactives Library,44.9862387095787,CNS receptor ligands:  Histamine receptor agonist,DMSO,2840,Histamine - CNS receptor ligands - Histamine receptor agonist
EI-297,PP2,301.8,6-D10,6,Plate 2,D10,EnzoICCB2,SP0128,G20,ICCB Known Bioactives Library,16.5686904769795,Kinase inhibitors:  Src family tyrosine kinase inhibitor,DMSO,2840,PP2 - Kinase inhibitors - Src family tyrosine kinase inhibitor
EI-248,HNMPA-(AM)3,454.4,5-D11,5,Plate 1,D11,EnzoICCB2,SP0128,G21,ICCB Known Bioactives Library,11.0043832659425,Kinase inhibitors:  Insulin receptor TK inhibitor,DMSO,2840,HNMPA-(AM)3 - Kinase inhibitors - Insulin receptor TK inhibitor
EI-271,Piceatannol,244.2,6-D11,6,Plate 2,D11,EnzoICCB2,SP0128,G22,ICCB Known Bioactives Library,20.471440906934,Kinase inhibitors:  Syk inhibitor,DMSO,2840,Piceatannol - Kinase inhibitors - Syk inhibitor
GR-303,Hoechst  33342·3HCl (BisBenzimide),561.9,5-E02,5,Plate 1,E02,EnzoICCB2,SP0128,I03,ICCB Known Bioactives Library,8.89784209533504,Inhibitors:  DNA minor groove binder,DMSO,2840,Hoechst  33342 (cell permeable) (BisBenzimide) - Inhibitors - DNA minor groove binder
CN-140,SQ22536,205.2,6-E02,6,Plate 2,E02,EnzoICCB2,SP0128,I04,ICCB Known Bioactives Library,24.3645126001077,Inhibitors:  adenylate cyclase inhibitor,DMSO,2840,SQ22536 - Inhibitors - adenylate cyclase inhibitor
C-117,(-)-Huperzine A,242.3,5-E03,5,Plate 1,E03,EnzoICCB2,SP0128,I05,ICCB Known Bioactives Library,20.6341961453671,Inhibitors:  acetylcholinesterase inhibitor,DMSO,2840,Huperzine A [(-)-Huperzine A] - Inhibitors - acetylcholinesterase inhibitor
T-112,Alrestatin,255.2,6-E03,6,Plate 2,E03,EnzoICCB2,SP0128,I06,ICCB Known Bioactives Library,19.5905112966724,Inhibitors:  aldose reductase inhibitor,DMSO,2840,Alrestatin - Inhibitors - aldose reductase inhibitor
GR-230,24(S)-hydroxycholesterol,402.7,5-E04,5,Plate 1,E04,EnzoICCB2,SP0128,I07,ICCB Known Bioactives Library,12.4176430866386,Nuclear receptor ligands:  LXR agonist,DMSO,2840,24(S)-Hydroxycholesterol - Nuclear receptor ligands - LXR agonist
EI-156,staurosporine,466.5,6-E04,6,Plate 2,E04,EnzoICCB2,SP0128,I08,ICCB Known Bioactives Library,10.7174014159831,Kinase inhibitors:  kinase inhibitor - non-selective,DMSO,2840,Staurosporine - Kinase inhibitors - kinase inhibitor - non-selective
GR-332,ICRF-193,282.3,5-E05,5,Plate 1,E05,EnzoICCB2,SP0128,I09,ICCB Known Bioactives Library,17.7119240569375,Inhibitors:  topo II inhibitor that does not cause DNA breaks,DMSO,2840,ICRF-193 - Inhibitors - topo II inhibitor that does not cause DNA breaks
S-112,swainsonine,173.2,6-E05,6,Plate 2,E05,EnzoICCB2,SP0128,I10,ICCB Known Bioactives Library,28.866760271948,Inhibitors:  protein glycosylation inhibitor,DMSO,2840,Swainsonine - Inhibitors - protein glycosylation inhibitor
EI-131,Indomethacin,357.8,5-E06,5,Plate 1,E06,EnzoICCB2,SP0128,I11,ICCB Known Bioactives Library,13.9747560007602,Lipid biosynthesis:  cyclooxygenase inhibitor,DMSO,2840,Indomethacin - Lipid biosynthesis - cyclooxygenase inhibitor
S-650,tamoxifen,371.5,6-E06,6,Plate 2,E06,EnzoICCB2,SP0128,I12,ICCB Known Bioactives Library,13.4584212841164,Nuclear receptor ligands:  estrogen antagonist,DMSO,2840,Tamoxifen - Nuclear receptor ligands - estrogen antagonist
CA-201,Ionomycin,679.0,5-E07,5,Plate 1,E07,EnzoICCB2,SP0128,I13,ICCB Known Bioactives Library,7.36353058317248,Ion channel ligands:  Ca++ ionophore,DMSO,2840,Ionomycin - Ion channel ligands - Ca++ ionophore
T-104,taxol = paclitaxel,853.9,6-E07,6,Plate 2,E07,EnzoICCB2,SP0128,I14,ICCB Known Bioactives Library,5.8554447614322,Inhibitors:  microtubule stabilizer,DMSO,2840,Taxol = Paclitaxel  - Inhibitors - microtubule stabilizer
PD-140,IBMX,222.2,5-E08,5,Plate 1,E08,EnzoICCB2,SP0128,I15,ICCB Known Bioactives Library,22.4978154621186,Inhibitors:  PDE inhibitor (broad spec); adenosineR agonist,DMSO,2840,IBMX - Inhibitors - PDE inhibitor (broad spec); adenosineR agonist
EI-253,RG-14620,275.1,6-E08,6,Plate 2,E08,EnzoICCB2,SP0128,I16,ICCB Known Bioactives Library,18.173029044135,Kinase inhibitors:  EGF-R tyrosine kinase inhibitor,DMSO,2840,RG-14620 - Kinase inhibitors - EGF-R tyrosine kinase inhibitor
EI-309,NSC-95397,310.4,5-E09,5,Plate 1,E09,EnzoICCB2,SP0128,I17,ICCB Known Bioactives Library,16.1088182893079,Inhibitors:  CDC25 phosphatase inhibitor,DMSO,2840,NSC-95397 - Inhibitors - CDC25 phosphatase inhibitor
T-115,thalidomide,258.2,6-E09,6,Plate 2,E09,EnzoICCB2,SP0128,I18,ICCB Known Bioactives Library,19.3626212342122,Inhibitors:  TNFalpha synthesis inhibitor,DMSO,2840,Thalidomide - Inhibitors - TNFalpha synthesis inhibitor
BL-169,Juglone,174.2,5-E10,5,Plate 1,E10,EnzoICCB2,SP0128,I19,ICCB Known Bioactives Library,28.7104198152427,Inhibitors:  PIN1 inhibitor,DMSO,2840,Juglone - Inhibitors - PIN1 inhibitor
CN-257,Thiocitrulline [L-Thiocitrulline],191.3,6-E10,6,Plate 2,E10,EnzoICCB2,SP0128,I20,ICCB Known Bioactives Library,26.143654150828,Inhibitors:  bNOS inhibitor,DMSO,2840,Thiocitrulline [L-Thiocitrulline HCl] - Inhibitors - bNOS inhibitor
EI-152,K252A,467.5,5-E11,5,Plate 1,E11,EnzoICCB2,SP0128,I21,ICCB Known Bioactives Library,1.06958117554244,Kinase inhibitors:  Kinase inhibitor (Broad spectrum),DMSO,2840,K252A - Kinase inhibitors - Kinase inhibitor (Broad spectrum)
EI-246,GF-109203X,412.5,6-E11,6,Plate 2,E11,EnzoICCB2,SP0128,I22,ICCB Known Bioactives Library,12.121691111673,Kinase inhibitors:  PKC inhibitor,DMSO,2840,GF-109203X - Kinase inhibitors - PKC inhibitor
EI-230,KN-62,721.8,5-F02,5,Plate 1,F02,EnzoICCB2,SP0128,K03,ICCB Known Bioactives Library,6.92670438488094,Kinase inhibitors:  CaM kinase II inhibitor,DMSO,2840,KN-62  - Kinase inhibitors - CaM kinase II inhibitor
EI-267,tyrphostin AG-825,397.5,6-F02,6,Plate 2,F02,EnzoICCB2,SP0128,K04,ICCB Known Bioactives Library,12.5795341043749,Kinase inhibitors:  HER-1;2 tyrosine kinase inhibitor,DMSO,2840,Tyrphostin AG-825 - Kinase inhibitors - HER-1;2 tyrosine kinase inhibitor
EI-199,KT-5720,423.5,5-F03,5,Plate 1,F03,EnzoICCB2,SP0128,K05,ICCB Known Bioactives Library,1.18074014459816,Kinase inhibitors:  PKA inhibitor,DMSO,2840,KT-5720 - Kinase inhibitors - PKA inhibitor
NA-136,Kavain (+/-),230.3,6-F03,6,Plate 2,F03,EnzoICCB2,SP0128,K06,ICCB Known Bioactives Library,21.7146589582523,Ion channel ligands:  voltage-dependent Na channel inhibitor,DMSO,2840,Kavain (±) - Ion channel ligands - voltage-dependent Na channel inhibitor
