Plate Map,Well,MoleculeID,Concentration,Unit
SP0128,G16,resveratrol,4.381289615,m
SP0128,G17,HBDDE,2.955874994,m
SP0128,G18,Splitomycin,5.044968325,m
SP0128,G19,Histamine,8.997247742,m
SP0128,G20,PP2,3.313738095,m
SP0128,G21,HNMPA-(AM)3,2.200876653,m
SP0128,G22,Piceatannol,4.094288181,m
SP0128,I03,Hoechst  33342·3HCl (BisBenzimide),1.779568419,m
SP0128,I04,SQ22536,4.87290252,m
SP0128,I05,(-)-Huperzine A,4.126839229,m
SP0128,I06,Alrestatin,3.918102259,m
SP0128,I07,24(S)-hydroxycholesterol,2.483528617,m
SP0128,I08,staurosporine,2.143480283,m
SP0128,I09,ICRF-193,3.542384811,m
SP0128,I10,swainsonine,5.773352054,m
SP0128,I11,Indomethacin,2.7949512,m
SP0128,I12,tamoxifen,2.691684257,m
SP0128,I13,Ionomycin,1.472706117,m
SP0128,I14,taxol = paclitaxel,1.171088952,m
SP0128,I15,IBMX,4.499563092,m
SP0128,I16,RG-14620,3.634605809,m
SP0128,I17,NSC-95397,3.221763658,m
SP0128,I18,thalidomide,3.872524247,m
SP0128,I19,Juglone,5.742083963,m
SP0128,I20,Thiocitrulline [L-Thiocitrulline],5.22873083,m
SP0128,I21,K252A,0.213916235,m
SP0128,I22,GF-109203X,2.424338222,m
SP0128,K03,KN-62,1.385340877,m
SP0128,K04,tyrphostin AG-825,2.515906821,m
SP0128,K05,KT-5720,0.236148029,m
SP0128,K06,Kavain (+/-),4.342931792,m
SP0128,K07,"L-744,832",1.786409709,m
SP0128,K08,TPEN,2.355486765,m
SP0128,K09,Furoxan,5.343167611,m
SP0128,K10,trichostatin-A,3.307226091,m
SP0128,K11,Latrunculin B,2.5283619,m
SP0128,K12,trifluoperazine,2.081525008,m
SP0128,K13,Lavendustin A,2.622065679,m
SP0128,K14,tunicamycin,1.391394559,m
SP0128,K15,N9-Isopropylolomoucine,3.063761159,m
SP0128,K16,Nafamostat mesylate ,2.254913456,m
SP0128,K17,Leupeptin,2.344371808,m
SP0128,K18,tyrphostin AG-126,4.647596031,m
SP0128,K19,BAY 11-7082,4.825113752,m
SP0128,K20,tyrphostin 1,5.429058493,m
SP0128,K21,Tyrphostin-8,5.876566252,m
SP0128,K22,tyrphostin 9,3.541326035,m
SP0128,M03,L-NAME,4.287703167,m
SP0128,M04,U73122,2.152206173,m
SP0128,M05,LY-294002,3.253691639,m
SP0128,M06,U-0126,2.628189966,m
SP0128,M07,LY-83583,3.995970463,m
SP0128,M08,valinomycin,0.899829374,m
SP0128,M09,5-Iodotubercidin,2.550045926,m
SP0128,M10,vinblastine,1.100045872,m
SP0128,M11,Manoalide,2.400670459,m
SP0128,M12,W7,2.650207114,m
SP0128,M13,Manumycin A,1.81606,m
SP0128,M14,wortmannin,2.334093236,m
SP0128,M15,Mastoparan,0.592220941,m
SP0128,M16,Y-27632,4.043083093,m
SP0128,M17,MCI-186,5.740554492,m
SP0128,M18,yohimbine,2.558172851,m
SP0128,M19,Gliotoxin,3.06380997,m
SP0128,M20,Z-Leu3-VS,1.812454462,m
SP0128,M21,LFM-A13,2.777770062,m
SP0128,M22,ZM336372,2.567743493,m
SP0128,O03,Methotrexate,2.355954581,m
SP0128,O04,zVAD-FMK,2.139092798,m
SP0128,O05,(±)-Epibatidine,4.791865329,m
SP0128,O06,NS-398,3.181096651,m
SP0128,O07,Mevinolin (Lovastatin),2.471945886,m
SP0128,O08,AA-861,3.063450493,m
SP0128,O09,Mitomycin C,2.991081791,m
SP0128,O10,Mycophenolic acid,3.444069347,m
SP0128,O11,ML7,2.402246581,m
SP0128,O12,Shikonin,3.468666839,m
SP0128,O13,ML9,3.078571297,m
SP0128,O14,2-APB,4.44258843,m
SP0128,O15,Monastrol,3.420522451,m
SP0128,O16,CDC,3.112097439,m
SP0128,O17,GW-5074,1.919599495,m
SP0128,O18,Cerulenin,4.478916174,m
SP0128,O19,Monensin,1.443308224,m
SP0128,O20,Phenoxybenzamine,3.291357553,m
SP0128,O21,FK-506,1.24375294,m
SP0128,O22,Wiskostatin,2.346613602,m
