Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Human Readable Name,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
C-117,(-)-Huperzine A,242.3,5-E03,5,Plate 1,E03,EnzoICCB2,SP0130,I05,Huperzine A [(-)-Huperzine A] - acetylcholinesterase inhibitor,ICCB Known Bioactives Library,4.13,Inhibitors:  acetylcholinesterase inhibitor,DMSO,2840,Huperzine A [(-)-Huperzine A] - acetylcholinesterase inhibitor
PI-118,Leupeptin,426.6,5-F09,5,Plate 1,F09,EnzoICCB2,SP0130,K17,Leupeptin - protease inhibitor,ICCB Known Bioactives Library,2.34,Protease inhibitors:  protease inhibitor,DMSO,2840,Leupeptin - protease inhibitor
EI-233,HA1077,364.3,5-D07,5,Plate 1,D07,EnzoICCB2,SP0130,G13,HA1077 - kinase inhibitor,ICCB Known Bioactives Library,2.75,Kinase inhibitors:  inhibitor of Rho-dependent kinases,DMSO,2840,HA1077 - kinase inhibitor
EI-215,tyrphostin 9,282.4,6-F11,6,Plate 2,F11,EnzoICCB2,SP0130,K22,Tyrphostin 9 - kinase inhibitor,ICCB Known Bioactives Library,3.54,Kinase inhibitors:  PDGF-R tyrosine kinase inhibitor,DMSO,2840,Tyrphostin 9 - kinase inhibitor
EI-153,ML9,324.8,5-H07,5,Plate 1,H07,EnzoICCB2,SP0130,O13,ML9 - kinase,ICCB Known Bioactives Library,3.08,Kinase inhibitors:  kinase inhibitor,DMSO,2840,ML9 - kinase
EI-199,KT-5720,423.5,5-F03,5,Plate 1,F03,EnzoICCB2,SP0130,K05,KT-5720 - kinase inhibitor,ICCB Known Bioactives Library,0.236,Kinase inhibitors:  PKA inhibitor,DMSO,2840,KT-5720 - kinase inhibitor
EI-197,ML7,416.3,5-H06,5,Plate 1,H06,EnzoICCB2,SP0130,O11,ML7 - kinase inhibitor,ICCB Known Bioactives Library,2.4,Kinase inhibitors:  kinase inhibitor,DMSO,2840,ML7 - kinase inhibitor
CM-109,Ouabain,584.7,6-A07,6,Plate 2,A07,EnzoICCB2,SP0130,A14,Ouabain - Na+K+ATPase inhibitor,ICCB Known Bioactives Library,1.71,Inhibitors:  Na+K+ATPase inhibitor,DMSO,2840,Ouabain - Na+K+ATPase inhibitor
CC-104,tunicamycin,718.7,6-F07,6,Plate 2,F07,EnzoICCB2,SP0130,K14,Tunicamycin - protein glycosylation inhibitor,ICCB Known Bioactives Library,1.39,Inhibitors:  glycosylation inhibitor,DMSO,2840,Tunicamycin - protein glycosylation inhibitor
ST-391,U73122,464.6,6-G02,6,Plate 2,G02,EnzoICCB2,SP0130,M04,U73122 - phospholipase inhibitor,ICCB Known Bioactives Library,2.15,Lipid biosynthesis:  PLC inhibitor,DMSO,2840,U73122 - phospholipase inhibitor
EI-195,H9,324.2,5-D06,5,Plate 1,D06,EnzoICCB2,SP0130,G11,H9 - kinase inhibitor,ICCB Known Bioactives Library,3.08,Kinase inhibitors:  kinase inhibitor,DMSO,2840,H9 - kinase inhibitor
EI-185,Lavendustin A,381.4,5-F07,5,Plate 1,F07,EnzoICCB2,SP0130,K13,Lavendustin A - kinase inhibitor,ICCB Known Bioactives Library,2.62,Kinase inhibitors:  Tyrosine kinase inhibitor EGF-R),DMSO,2840,Lavendustin A - kinase inhibitor
EI-230,KN-62,721.8,5-F02,5,Plate 1,F02,EnzoICCB2,SP0130,K03,KN-62 - kinase inhibitor,ICCB Known Bioactives Library,1.39,Kinase inhibitors:  CaM kinase II inhibitor,DMSO,2840,KN-62 - kinase inhibitor
EI-196,H-89,446.4,5-D05,5,Plate 1,D05,EnzoICCB2,SP0130,G09,H-89 - kinase inhibitor,ICCB Known Bioactives Library,2.24,Kinase inhibitors:  PKA inhibitor,DMSO,2840,H-89 - kinase inhibitor
EI-305,SP-600125,220.2,6-C04,6,Plate 2,C04,EnzoICCB2,SP0130,E08,SP-600125 - kinase inhibitor,ICCB Known Bioactives Library,4.54,Kinase inhibitors:  JNK inhibitor,DMSO,2840,SP-600125 - kinase inhibitor
EI-246,GF-109203X,412.5,6-E11,6,Plate 2,E11,EnzoICCB2,SP0130,I22,GF-109203X - kinase inhibitor,ICCB Known Bioactives Library,2.42,Kinase inhibitors:  PKC inhibitor,DMSO,2840,GF-109203X - kinase inhibitor
EI-253,RG-14620,275.1,6-E08,6,Plate 2,E08,EnzoICCB2,SP0130,I16,RG-14620 - kinase inhibitor,ICCB Known Bioactives Library,3.63,Kinase inhibitors:  EGF-R tyrosine kinase inhibitor,DMSO,2840,RG-14620 - kinase inhibitor
EI-283,Ro 31-8220,457.5,5-C10,5,Plate 1,C10,EnzoICCB2,SP0130,E19,Ro 31-8220 - kinase inhibitor,ICCB Known Bioactives Library,2.19,Kinase inhibitors:  PKC inhibitor,DMSO,2840,Ro 31-8220 - kinase inhibitor
C-114,(+/-)-Epibatidine,208.7,5-H03,5,Plate 1,H03,EnzoICCB2,SP0130,O05,Epibatidine (+/-) - nicotinic cholinergic agonist,ICCB Known Bioactives Library,4.79,CNS receptor ligands:  nicotinic cholinergic agonist,DMSO,2840,Epibatidine (+/-) - nicotinic cholinergic agonist
T-116,vinblastine,909.1,6-G05,6,Plate 2,G05,EnzoICCB2,SP0130,M10,Vinblastine - microtubule poison,ICCB Known Bioactives Library,1.1,Inhibitors:  tubulin inhibitor,DMSO,2840,Vinblastine - microtubule poison
S-620,Pregnenolone-16?-carbonitrile,341.5,5-C03,5,Plate 1,C03,EnzoICCB2,SP0130,E05,Pregnenolone 16? carbonitrile - steroid hormone,ICCB Known Bioactives Library,2.93,Nuclear receptor ligands:  PXR/SXR agonist,DMSO,2840,Pregnenolone 16? carbonitrile - steroid hormone
AC-161,yohimbine,390.9,6-G09,6,Plate 2,G09,EnzoICCB2,SP0130,M18,Yohimbine - alpha adrenergic antagonist,ICCB Known Bioactives Library,2.56,CNS receptor ligands:  Adrenoreceptor antagonist (alpha),DMSO,2840,Yohimbine - alpha adrenergic antagonist
EI-299,Y-27632,247.3,6-G08,6,Plate 2,G08,EnzoICCB2,SP0130,M16,Y-27632 - kinase inhibitor,ICCB Known Bioactives Library,4.04,Kinase inhibitors:  ROCK inhibitor,DMSO,2840,Y-27632 - kinase inhibitor
EI-286,SB 203580,377.4,6-D03,6,Plate 2,D03,EnzoICCB2,SP0130,G06,SB 203580 - kinase inhibitor,ICCB Known Bioactives Library,2.65,Kinase inhibitors:  Suppressor of MAPKAP kinase-2,DMSO,2840,SB 203580 - kinase inhibitor
NS-820,serotonin,176.2,6-D07,6,Plate 2,D07,EnzoICCB2,SP0130,G14,Serotonin - serotonin receptor agonist,ICCB Known Bioactives Library,5.67,CNS receptor ligands:  serotonin receptor agonist,DMSO,2840,Serotonin - serotonin receptor agonist
ST-420,LY-294002,307.3,5-G03,5,Plate 1,G03,EnzoICCB2,SP0130,M05,LY-294002 - kinase,ICCB Known Bioactives Library,3.25,Lipid biosynthesis:  PI-3-Kinase inhibitor,DMSO,2840,LY-294002 - kinase
PR-112,RK-682,368.5,6-C09,6,Plate 2,C09,EnzoICCB2,SP0130,E18,RK-682 - phosphatase inhibitor,ICCB Known Bioactives Library,2.71,Inhibitors:  VHR phosphatase inhibitor,DMSO,2840,RK-682 - phosphatase inhibitor
CN-257,Thiocitrulline [L-Thiocitrulline],191.3,6-E10,6,Plate 2,E10,EnzoICCB2,SP0130,I20,Thiocitrulline [L-Thiocitrulline HCl] - NOS inhibitor,ICCB Known Bioactives Library,5.23,Inhibitors:  bNOS inhibitor,DMSO,2840,Thiocitrulline [L-Thiocitrulline HCl] - NOS inhibitor
PE-160,Phorbol 12-myristate 13-acetate,616.8,6-B03,6,Plate 2,B03,EnzoICCB2,SP0130,C06,Phorbol 12 myristate 13 acetate - PKC activator,ICCB Known Bioactives Library,1.62,Activators:  PKC activator,DMSO,2840,Phorbol 12 myristate 13 acetate - PKC activator
EI-360,PD 98059,267.3,6-A09,6,Plate 2,A09,EnzoICCB2,SP0130,A18,PD 98059 - kinase inhibitor,ICCB Known Bioactives Library,3.74,Kinase inhibitors:  MEK inhibitor,DMSO,2840,PD 98059 - kinase inhibitor
CN-125,Dibutyrylcyclic AMP,491.4,5-A10,5,Plate 1,A10,EnzoICCB2,SP0130,A19,Dibutyrylcyclic AMP - PKA activator,ICCB Known Bioactives Library,2.04,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic AMP - PKA activator
CN-140,SQ22536,205.2,6-E02,6,Plate 2,E02,EnzoICCB2,SP0130,I04,SQ22536 - adenylate cyclase inhibitor,ICCB Known Bioactives Library,4.87,Inhibitors:  adenylate cyclase inhibitor,DMSO,2840,SQ22536 - adenylate cyclase inhibitor
G-237,Cerulenin,223.3,6-H09,6,Plate 2,H09,EnzoICCB2,SP0130,O18,Cerulenin - Fatty acid biosynthesis inhibitor,ICCB Known Bioactives Library,4.48,Lipid biosynthesis:  Fatty acid biosynthesis inhibitor,DMSO,2840,Cerulenin - Fatty acid biosynthesis inhibitor
CC-205,Roscovitine,354.4,6-C10,6,Plate 2,C10,EnzoICCB2,SP0130,E20,Roscovitine - kinase inhibitor,ICCB Known Bioactives Library,2.82,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Roscovitine - kinase inhibitor
S-110,1-Deoxynojirimycin,163.2,5-A08,5,Plate 1,A08,EnzoICCB2,SP0130,A15,Deoxynorjrimycin(1) - glycoside hydrolase inhibitor,ICCB Known Bioactives Library,6.13,Inhibitors:  glucosidase inhibitor,DMSO,2840,Deoxynorjrimycin(1) - glycoside hydrolase inhibitor
AC-146,Prazocin,383.4,6-B09,6,Plate 2,B09,EnzoICCB2,SP0130,C18,Prazocin - alpha adrenergic agonist,ICCB Known Bioactives Library,2.61,CNS receptor ligands:  adrenoreceptor agonist,DMSO,2840,Prazocin - alpha adrenergic agonist
ST-415,wortmannin,428.4,6-G07,6,Plate 2,G07,EnzoICCB2,SP0130,M14,Wortmannin - kinase inhibitor,ICCB Known Bioactives Library,2.33,Lipid biosynthesis:  PI-3Kinase; other kinases inhibitor,DMSO,2840,Wortmannin - kinase inhibitor
EI-278,BAY 11-7082,207.2,5-F10,5,Plate 1,F10,EnzoICCB2,SP0130,K19,Bay 11-7082 - kinase inhibitor,ICCB Known Bioactives Library,4.83,Inhibitors:  Inhibits IKK kinase activation,DMSO,2840,Bay 11-7082 - kinase inhibitor
KC-140,valinomycin,1111.3,6-G04,6,Plate 2,G04,EnzoICCB2,SP0130,M08,Valinomycin - K+ ionophore,ICCB Known Bioactives Library,0.9,Ion channel ligands:  K+ ionophore,DMSO,2840,Valinomycin - K+ ionophore
GR-332,ICRF-193,282.3,5-E05,5,Plate 1,E05,EnzoICCB2,SP0130,I09,ICRF-193 - Inhibits DNA synthesis,ICCB Known Bioactives Library,3.54,Inhibitors:  topo II inhibitor that does not cause DNA breaks,DMSO,2840,ICRF-193 - Inhibits DNA synthesis
EI-307,GW-5074,520.9,5-H09,5,Plate 1,H09,EnzoICCB2,SP0130,O17,GW-5074 - kinase inhibitor,ICCB Known Bioactives Library,1.92,Kinase inhibitors:  cRAF1 kinase inhibitor,DMSO,2840,GW-5074 - kinase inhibitor
T-109,Cytochalasin D,507.6,5-A02,5,Plate 1,A02,EnzoICCB2,SP0130,A03,Cytochalasin D - actin poison,ICCB Known Bioactives Library,1.97,Inhibitors:  F actin capper,DMSO,2840,Cytochalasin D - actin poison
A-248,Monensin,692.9,5-H10,5,Plate 1,H10,EnzoICCB2,SP0130,O19,Monensin - Na+ ionophore,ICCB Known Bioactives Library,1.44,Ion channel ligands:  Na+ ionophore,DMSO,2840,Monensin - Na+ ionophore
GR-234,GW-9662,276.7,5-B02,5,Plate 1,B02,EnzoICCB2,SP0130,C03,GW-9662 - PPAR ligand,ICCB Known Bioactives Library,3.61,Nuclear receptor ligands:  PPAR gamma antagonist,DMSO,2840,GW-9662 - PPAR ligand
GR-303,Hoechst  33342·3HCl (BisBenzimide),561.9,5-E02,5,Plate 1,E02,EnzoICCB2,SP0130,I03,Hoechst  33342 (cell permeable) (BisBenzimide) - DNA binding,ICCB Known Bioactives Library,1.78,Inhibitors:  DNA minor groove binder,DMSO,2840,Hoechst  33342 (cell permeable) (BisBenzimide) - DNA binding
A-249,Mycophenolic acid,290.4,6-H05,6,Plate 2,H05,EnzoICCB2,SP0130,O10,Mycophenolic acid - Inhibits DNA synthesis,ICCB Known Bioactives Library,3.44,Inhibitors:  Inosine-5'-monophosphate dehydrogenase inhibitor,DMSO,2840,Mycophenolic acid - Inhibits DNA synthesis
EI-293,5-Iodotubercidin,392.1,5-G05,5,Plate 1,G05,EnzoICCB2,SP0130,M09,5-Iodotubercidin - kinase inhibitor,ICCB Known Bioactives Library,2.55,Kinase inhibitors:  ERK-2 inhibitor,DMSO,2840,5-Iodotubercidin - kinase inhibitor
GR-319,Doxorubicin,580,5-B07,5,Plate 1,B07,EnzoICCB2,SP0130,C13,Doxorubicin - Inhibits DNA synthesis,ICCB Known Bioactives Library,1.72,Inhibitors:  topoisomerase II inhibitor; induces apoptosis,DMSO,2840,Doxorubicin - Inhibits DNA synthesis
AP-401,Propidium iodide,668.4,6-B10,6,Plate 2,B10,EnzoICCB2,SP0130,C20,Propidium iodide - DNA binding,ICCB Known Bioactives Library,1.5,Inhibitors:  DNA intercalator,DMSO,2840,Propidium iodide - DNA binding
EI-190,tyrphostin 1,184.2,6-F10,6,Plate 2,F10,EnzoICCB2,SP0130,K20,Tyrphostin 1 - phosphatase inhibitor,ICCB Known Bioactives Library,5.43,Inhibitors:  Calcineurin inhibitor,DMSO,2840,Tyrphostin 1 - phosphatase inhibitor
PD-140,IBMX,222.2,5-E08,5,Plate 1,E08,EnzoICCB2,SP0130,I15,IBMX - phosphodiesterase inhibitor,ICCB Known Bioactives Library,4.5,Inhibitors:  PDE inhibitor (broad spec); adenosineR agonist,DMSO,2840,IBMX - phosphodiesterase inhibitor
EI-314,SB-431542,384.4,6-C03,6,Plate 2,C03,EnzoICCB2,SP0130,E06,SB-431542 - kinase inhibitor,ICCB Known Bioactives Library,2.6,Kinase inhibitors:  ALK4; ALK5; ALK7 inhibitor,DMSO,2840,SB-431542 - kinase inhibitor
EI-280,Geldanamycin,560.6,5-C08,5,Plate 1,C08,EnzoICCB2,SP0130,E15,Geldanamycin - HSP-90 inhibitor,ICCB Known Bioactives Library,1.78,Inhibitors:  HSP90 inhibitor,DMSO,2840,Geldanamycin - HSP-90 inhibitor
T-101,Nocodazole,301.3,6-A02,6,Plate 2,A02,EnzoICCB2,SP0130,A04,Nocodazole - microtubule poison,ICCB Known Bioactives Library,3.32,Inhibitors:  tubulin inhibitor,DMSO,2840,Nocodazole - microtubule poison
T-104,taxol = paclitaxel,853.9,6-E07,6,Plate 2,E07,EnzoICCB2,SP0130,I14,Taxol = Paclitaxel - microtubule poison,ICCB Known Bioactives Library,1.17,Inhibitors:  microtubule stabilizer,DMSO,2840,Taxol = Paclitaxel - microtubule poison
GR-307,Etoposide,588.6,5-C05,5,Plate 1,C05,EnzoICCB2,SP0130,E09,Etoposide - Inhibits DNA synthesis,ICCB Known Bioactives Library,1.7,Inhibitors:  topoisomerase II inhibitor,DMSO,2840,Etoposide - Inhibits DNA synthesis
EI-219,Piroxicam,331.3,6-B06,6,Plate 2,B06,EnzoICCB2,SP0130,C12,Piroxicam - cyclooxygenase inhibitor,ICCB Known Bioactives Library,3.02,Lipid biosynthesis:  COX1 inhibitor,DMSO,2840,Piroxicam - cyclooxygenase inhibitor
CM-120,FCCP,254.2,5-C06,5,Plate 1,C06,EnzoICCB2,SP0130,E11,FCCP - mitochondrial uncoupler,ICCB Known Bioactives Library,3.93,Inhibitors:  mitochondrial uncoupler,DMSO,2840,FCCP - mitochondrial uncoupler
CA-310,trifluoperazine,480.4,6-F06,6,Plate 2,F06,EnzoICCB2,SP0130,K12,Trifluoperazine - dopamine antagonist,ICCB Known Bioactives Library,2.08,Inhibitors:  calmodulin inhibitor-possibly only at high concentrations!,DMSO,2840,Trifluoperazine - dopamine antagonist
GR-334,Cyclopamine,411.6,6-B07,6,Plate 2,B07,EnzoICCB2,SP0130,C14,Cyclopamine - Hedgehog pathway inhibitor,ICCB Known Bioactives Library,2.43,Inhibitors:  Hedgehog pathway inhibitor,DMSO,2840,Cyclopamine - Hedgehog pathway inhibitor
EI-147,Genistein,260.4,5-C09,5,Plate 1,C09,EnzoICCB2,SP0130,E17,Genistein - kinase inhibitor,ICCB Known Bioactives Library,3.84,Kinase inhibitors:  Tyrosine kinase inhibitor,DMSO,2840,Genistein - kinase inhibitor
EI-274,Damnacanthal,282.2,5-A04,5,Plate 1,A04,EnzoICCB2,SP0130,A07,Damnacanthal - kinase inhibitor,ICCB Known Bioactives Library,3.54,Kinase inhibitors:  p56lck inhibitor,DMSO,2840,Damnacanthal - kinase inhibitor
CC-206,Indirubin,262.3,6-D06,6,Plate 2,D06,EnzoICCB2,SP0130,G12,Indirubin - kinase inhibitor,ICCB Known Bioactives Library,3.81,Kinase inhibitors:  GSK-3beta inhibitor,DMSO,2840,Indirubin - kinase inhibitor
BL-169,Juglone,174.2,5-E10,5,Plate 1,E10,EnzoICCB2,SP0130,I19,Juglone - PIN1 inhibitor,ICCB Known Bioactives Library,5.74,Inhibitors:  PIN1 inhibitor,DMSO,2840,Juglone - PIN1 inhibitor
FR-110,Hinokitiol,164.2,5-B04,5,Plate 1,B04,EnzoICCB2,SP0130,C07,Hinokitiol - iron chelator,ICCB Known Bioactives Library,6.09,Inhibitors:  Iron chelator,DMSO,2840,Hinokitiol - iron chelator
BL-093,Estradiol,272.4,5-C04,5,Plate 1,C04,EnzoICCB2,SP0130,E07,Estradiol - microtubule poison,ICCB Known Bioactives Library,3.67,Nuclear receptor ligands:  estrogen,DMSO,2840,Estradiol - microtubule poison
T-115,thalidomide,258.2,6-E09,6,Plate 2,E09,EnzoICCB2,SP0130,I18,Thalidomide - inhibits ubiquitin ligase activity,ICCB Known Bioactives Library,3.87,Inhibitors:  TNFalpha synthesis inhibitor,DMSO,2840,Thalidomide - inhibits ubiquitin ligase activity
NA-136,Kavain (+/-),230.3,6-F03,6,Plate 2,F03,EnzoICCB2,SP0130,K06,Kavain (+/-) - voltage-dependent Na channel inhibitor,ICCB Known Bioactives Library,4.34,Ion channel ligands:  voltage-dependent Na channel inhibitor,DMSO,2840,Kavain (+/-) - voltage-dependent Na channel inhibitor
FR-104,resveratrol,228.2,6-D08,6,Plate 2,D08,EnzoICCB2,SP0130,G16,Resveratrol - SIRT1 activator,ICCB Known Bioactives Library,4.38,Activators:  SIRT1 activator,DMSO,2840,Resveratrol - SIRT1 activator
AC-764,Histamine,111.1,5-D10,5,Plate 1,D10,EnzoICCB2,SP0130,G19,Histamine - histamine receptor ligand,ICCB Known Bioactives Library,9,CNS receptor ligands:  Histamine receptor agonist,DMSO,2840,Histamine - histamine receptor ligand
CN-215,Dibutyrylcyclic GMP,485.4,5-A11,5,Plate 1,A11,EnzoICCB2,SP0130,A21,Dibutyrylcyclic GMP - PKA activator,ICCB Known Bioactives Library,2.06,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic GMP - PKA activator
CN-242,L-NAME,233.2,5-G02,5,Plate 1,G02,EnzoICCB2,SP0130,M03,L-NAME - NOS inhibitor,ICCB Known Bioactives Library,4.29,Inhibitors:  NO synthesis inhibitor,DMSO,2840,L-NAME - NOS inhibitor
PD-129,EHNA ,277.4,5-C02,5,Plate 1,C02,EnzoICCB2,SP0130,E03,EHNA HCl - phosphodiesterase inhibitor,ICCB Known Bioactives Library,3.61,Inhibitors:  Phosphodiesterase (PDE2) inhibitor/adenosine deaminase inhibitor,DMSO,2840,EHNA HCl - phosphodiesterase inhibitor
CT-115,Shikonin,288.3,6-H06,6,Plate 2,H06,EnzoICCB2,SP0130,O12,Shikonin - protease inhibitor,ICCB Known Bioactives Library,3.47,Inhibitors:  Apoptosis inducer; p53 dependent,DMSO,2840,Shikonin - protease inhibitor
EI-287,Nimesulide,308.3,5-D03,5,Plate 1,D03,EnzoICCB2,SP0130,G05,Nimesulide - cyclooxygenase inhibitor,ICCB Known Bioactives Library,3.24,Lipid biosynthesis:  Cox 2 inhibitor,DMSO,2840,Nimesulide - cyclooxygenase inhibitor
AC-1557,2-APB,225.1,6-H07,6,Plate 2,H07,EnzoICCB2,SP0130,O14,2-APB - IP3 receptor blocker,ICCB Known Bioactives Library,4.44,Inhibitors:  IP3 receptor blocker,DMSO,2840,2-APB - IP3 receptor blocker
G-236,Manumycin A,550.6,5-G07,5,Plate 1,G07,EnzoICCB2,SP0130,M13,Manumycin A - farnesylation inhibitor,ICCB Known Bioactives Library,1.82,Inhibitors:  ras farnesylation inhibitor,DMSO,2840,Manumycin A - farnesylation inhibitor
EI-231,DRB (Benzimidazole),319.1,5-B08,5,Plate 1,B08,EnzoICCB2,SP0130,C15,DRB - kinase inhibitor,ICCB Known Bioactives Library,3.13,Kinase inhibitors:  CKII inhibitor,DMSO,2840,DRB - kinase inhibitor
EI-131,Indomethacin,357.8,5-E06,5,Plate 1,E06,EnzoICCB2,SP0130,I11,Indomethacin - cyclooxygenase inhibitor,ICCB Known Bioactives Library,2.79,Lipid biosynthesis:  cyclooxygenase inhibitor,DMSO,2840,Indomethacin - cyclooxygenase inhibitor
A-275,Rapamycin,914.2,6-C06,6,Plate 2,C06,EnzoICCB2,SP0130,E12,Rapamycin - prolyl cis-trans isomerase inhibitor,ICCB Known Bioactives Library,1.09,Inhibitors:  FRAP inhibitor ,DMSO,2840,Rapamycin - prolyl cis-trans isomerase inhibitor
S-650,tamoxifen,371.5,6-E06,6,Plate 2,E06,EnzoICCB2,SP0130,I12,Tamoxifen - estrogen antagonist,ICCB Known Bioactives Library,2.69,Nuclear receptor ligands:  estrogen antagonist,DMSO,2840,Tamoxifen - estrogen antagonist
