Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 plate ID,Plate Map,Well,Human Readable Name,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
DG-112,1;2-Dioctanoyl-SN-glycerol,344.5,1-A07,1,Plate 1,A07,EnzoICCB1,SP0133,A13,1;2-Dioctanoyl-sn-glycerol - PKC activator,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Activates PKC,DMSO,2840,1;2-Dioctanoyl-sn-glycerol - PKC activator
SL-205,DL-Dihydrosphingosine,301.5,2-A07,2,Plate 2,A07,EnzoICCB1,SP0133,A14,DL-Dihydrosphingosine - Sphingosine kinase inhibitor,ICCB Known Bioactives Library,0.008,Lipid biosynthesis:  Sphingosine kinase inhibitor,DMSO,2840,DL-Dihydrosphingosine - Sphingosine kinase inhibitor
DG-115,1;2-Dioleoyl-glycerol (18:1),621,1-A08,1,Plate 1,A08,EnzoICCB1,SP0133,A15,1;2-Dioleoyl-glycerol (18:1) - PKC activator,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Activates PKC,DMSO,2840,1;2-Dioleoyl-glycerol (18:1) - PKC activator
SL-210,DL-PDMP,390.6,2-A08,2,Plate 2,A08,EnzoICCB1,SP0133,A16,DL-PDMP - Glucosylceramide synthase inhibitor,ICCB Known Bioactives Library,0.008,Lipid biosynthesis:  Glucosylceramide synthase inhibitor,DMSO,2840,DL-PDMP - Glucosylceramide synthase inhibitor
EE-11,(±)11(12)-Epoxyeicosatrienoic acid,320.5,1-A09,1,Plate 1,A09,EnzoICCB1,SP0133,A17,11;12-Epoxyeicosatrienoic acid - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,11;12-Epoxyeicosatrienoic acid - bioactive lipid
SL-215,DL-PPMP,474.7,2-A09,2,Plate 2,A09,EnzoICCB1,SP0133,A18,DL-PPMP - Glucosylceramide synthase inhibitor,ICCB Known Bioactives Library,0.008,Lipid biosynthesis:  Glucosylceramide synthase inhibitor,DMSO,2840,DL-PPMP - Glucosylceramide synthase inhibitor
H-112,12(R)-HETE,320.5,1-A10,1,Plate 1,A10,EnzoICCB1,SP0133,A19,12(R)-HETE - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,12(R)-HETE - bioactive lipid
FA-002,Docosahexaenoic acid(22:6 n-3),328.5,2-A10,2,Plate 2,A10,EnzoICCB1,SP0133,A20,Docosahexaenoic acid (22:6 n-3) - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Docosahexaenoic acid (22:6 n-3) - bioactive lipid
H-012,12(S)-HETE,320.5,1-A11,1,Plate 1,A11,EnzoICCB1,SP0133,A21,12(S)-HETE - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,12(S)-HETE - bioactive lipid
FA-012,Docosapentaenoic acid,330.5,2-A11,2,Plate 2,A11,EnzoICCB1,SP0133,A22,Docosapentaenoic acid - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Docosapentaenoic acid - bioactive lipid
AC-104,Bepridil·HCl,403,3-A02,3,Plate 3,A02,EnzoICCB1,SP0133,B03,Bepridil - Calcium channels,ICCB Known Bioactives Library,0.0993,Ion channel ligands:  Calcium channels,DMSO,2840,Bepridil - Calcium channels
GR-313,Lycorine,287.3,4-A02,4,Plate 4,A02,EnzoICCB1,SP0133,B04,Lycorine - Inhibits protein synthesis,ICCB Known Bioactives Library,0.139,Inhibitors:  inhibits TNFalpha production,DMSO,2840,Lycorine - Inhibits protein synthesis
CA-415,Cyclopiazonic acid,336.4,3-A03,3,Plate 3,A03,EnzoICCB1,SP0133,B05,Cyclopiazonic acid - Calcium channels,ICCB Known Bioactives Library,0.119,Ion channel ligands:  Intracellular calcium,DMSO,2840,Cyclopiazonic acid - Calcium channels
GR-316,10-hydroxycamptothecin,364.4,4-A03,4,Plate 4,A03,EnzoICCB1,SP0133,B06,10-Hydroxycamptothecin - Inhibits DNA synthesis,ICCB Known Bioactives Library,0.11,Inhibitors:  topoisomerase 1 inhibitor,DMSO,2840,10-Hydroxycamptothecin - Inhibits DNA synthesis
AC-100,Dantrolene,314.3,3-A04,3,Plate 3,A04,EnzoICCB1,SP0133,B07,Dantrolene - Calcium channels,ICCB Known Bioactives Library,0.127,Ion channel ligands:  Intracellular calcium,DMSO,2840,Dantrolene - Calcium channels
GR-308,beta-lapachone,242.3,4-A04,4,Plate 4,A04,EnzoICCB1,SP0133,B08,?-Lapachone - Inhibits DNA synthesis,ICCB Known Bioactives Library,0.165,Inhibitors:  topoisomerase 1 inhibitor,DMSO,2840,?-Lapachone - Inhibits DNA synthesis
KC-115,Diazoxide,230.7,3-A05,3,Plate 3,A05,EnzoICCB1,SP0133,B09,Diazoxide - Potassium channels,ICCB Known Bioactives Library,0.173,Ion channel ligands:  Potassium channels,DMSO,2840,Diazoxide - Potassium channels
T-113,Parthenolide,248.3,4-A05,4,Plate 4,A05,EnzoICCB1,SP0133,B10,Parthenolide - IkappaB kinase inhibitor,ICCB Known Bioactives Library,0.161,Inhibitors:  IkappaB kinase inhibitor,DMSO,2840,Parthenolide - IkappaB kinase inhibitor
CA-204,Dichlorobenzamil·HCl,425.1,3-A06,3,Plate 3,A06,EnzoICCB1,SP0133,B11,Dichlorobenzamil - Calcium channels,ICCB Known Bioactives Library,0.0941,Ion channel ligands:  Calcium channels,DMSO,2840,Dichlorobenzamil - Calcium channels
PI-102,MG-132,475.6,4-A06,4,Plate 4,A06,EnzoICCB1,SP0133,B12,MG-132 - protease inhibitor,ICCB Known Bioactives Library,0.0841,Protease inhibitors:  Proteasome inhibitor,DMSO,2840,MG-132 - protease inhibitor
CA-205,Diltiazem·HCl,451,3-A07,3,Plate 3,A07,EnzoICCB1,SP0133,B13,Diltiazem - Calcium channels,ICCB Known Bioactives Library,0.0887,Ion channel ligands:  Calcium channels,DMSO,2840,Diltiazem - Calcium channels
EI-352,QNZ,356.4,4-A07,4,Plate 4,A07,EnzoICCB1,SP0133,B14,QNZ - NFkappaB inhibitor,ICCB Known Bioactives Library,0.112,Inhibitors:  NFkappaB inhibitor,DMSO,2840,QNZ - NFkappaB inhibitor
KC-158,E-4031,401.5,3-A08,3,Plate 3,A08,EnzoICCB1,SP0133,B15,E-4031 - Potassium channels,ICCB Known Bioactives Library,0.0996,Ion channel ligands:  Potassium channels,DMSO,2840,E-4031 - Potassium channels
GR-211,bezafibrate,361.8,4-A08,4,Plate 4,A08,EnzoICCB1,SP0133,B16,Bezafibrate - PPAR ligand,ICCB Known Bioactives Library,0.111,Nuclear receptor ligands:  PPAR alpha agonist,DMSO,2840,Bezafibrate - PPAR ligand
CM-102,Fipronil,437.1,3-A09,3,Plate 3,A09,EnzoICCB1,SP0133,B17,Fipronil - Misc. channels,ICCB Known Bioactives Library,0.0915,Ion channel ligands:  Misc. channels,DMSO,2840,Fipronil - Misc. channels
IM-100,Cycloheximide-N-ethylethanoate,367.4,4-A09,4,Plate 4,A09,EnzoICCB1,SP0133,B18,Cycloheximide-N-ethylethanoate - prolyl cis-trans isomerase inhibitor,ICCB Known Bioactives Library,0.109,Inhibitors:  FKBP12 inhibitor,DMSO,2840,Cycloheximide-N-ethylethanoate - prolyl cis-trans isomerase inhibitor
AC-130,Flecainide acetate,473.4,3-A10,3,Plate 3,A10,EnzoICCB1,SP0133,B19,Flecainide - Sodium channels,ICCB Known Bioactives Library,0.0845,Ion channel ligands:  Sodium channels,DMSO,2840,Flecainide - Sodium channels
A-165,Ascomycin (FK-520),792,4-A10,4,Plate 4,A10,EnzoICCB1,SP0133,B20,Ascomycin (FK-520) - prolyl cis-trans isomerase inhibitor,ICCB Known Bioactives Library,0.0505,Inhibitors:  binds to FKBP inhibits calcineurin,DMSO,2840,Ascomycin (FK-520) - prolyl cis-trans isomerase inhibitor
AC-123,Flufenamic acid,281.2,3-A11,3,Plate 3,A11,EnzoICCB1,SP0133,B21,Flufenamic acid - Potassium channels,ICCB Known Bioactives Library,0.142,Ion channel ligands:  Potassium channels,DMSO,2840,Flufenamic acid - Potassium channels
FR-100,U-74389G,610.8,4-A11,4,Plate 4,A11,EnzoICCB1,SP0133,B22,U-74389G - antioxidant,ICCB Known Bioactives Library,0.0655,Inhibitors:  superoxide/free-radical inhibitor,DMSO,2840,U-74389G - antioxidant
HP-012,12(S)-HPETE,336.5,1-B02,1,Plate 1,B02,EnzoICCB1,SP0133,C03,12(S)-HPETE - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Fatty acid hydroperoxide,DMSO,2840,12(S)-HPETE - bioactive lipid
FA-010,Docosatrienoic acid (22:3 n-3),334.5,2-B02,2,Plate 2,B02,EnzoICCB1,SP0133,C04,Docosatrienoic acid (22:3 n-3) - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Docosatrienoic acid (22:3 n-3) - bioactive lipid
G-234,12-Methoxydodecanoic acid,230.3,1-B03,1,Plate 1,B03,EnzoICCB1,SP0133,C05,12-Methoxydodecanoic acid - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Myristic acid analog,DMSO,2840,12-Methoxydodecanoic acid - bioactive lipid
FA-024,Eicosa-5;8-dienoic acid (20:2 n-12),308.5,2-B03,2,Plate 2,B03,EnzoICCB1,SP0133,C06,Eicosa-5;8-dienoic acid (20:2 n-12) - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosa-5;8-dienoic acid (20:2 n-12) - bioactive lipid
HO-013,13(S)-HODE,296.4,1-B04,1,Plate 1,B04,EnzoICCB1,SP0133,C07,13(S)-HODE - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,13(S)-HODE - bioactive lipid
FA-007,Eicosadienoic acid (20:2 n-6),308.5,2-B04,2,Plate 2,B04,EnzoICCB1,SP0133,C08,Eicosadienoic acid (20:2 n-6) - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosadienoic acid (20:2 n-6) - bioactive lipid
HP-013,13(S)-HPODE,312.4,1-B05,1,Plate 1,B05,EnzoICCB1,SP0133,C09,13(S)-HPODE - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Fatty acid hydroperoxide,DMSO,2840,13(S)-HPODE - bioactive lipid
FA-001,Eicosapentaenoic acid (20:5 n-3),302.5,2-B05,2,Plate 2,B05,EnzoICCB1,SP0133,C10,Eicosapentaenoic acid (20:5 n-3) - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosapentaenoic acid (20:5 n-3) - bioactive lipid
PG-048,13;14-Dihydro-PGE1,356.5,1-B06,1,Plate 1,B06,EnzoICCB1,SP0133,C11,13;14-Dihydro-prostaglandin E1 - prostaglandin,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Bioactive prostaglandin,DMSO,2840,13;14-Dihydro-prostaglandin E1 - prostaglandin
FA-008,Eicosatrienoic acid (20:3 n-3),306.5,2-B06,2,Plate 2,B06,EnzoICCB1,SP0133,C12,Eicosatrienoic acid (20:3 n-3) - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Eicosatrienoic acid (20:3 n-3) - bioactive lipid
GR-102,13-cis retinoic acid,300.4,1-B07,1,Plate 1,B07,EnzoICCB1,SP0133,C13,13-cis Retinoic acid - retinoid receptor ligand,ICCB Known Bioactives Library,0.008,Nuclear receptor ligands:  Retinoid receptor ligand,DMSO,2840,13-cis Retinoic acid - retinoid receptor ligand
L-110,Enantio-PAF C16,523.7,2-B07,2,Plate 2,B07,EnzoICCB1,SP0133,C14,Enantio-PAF C16 - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Negative control for PAF,DMSO,2840,Enantio-PAF C16 - bioactive lipid
KO-013,13-Keto-octadeca-9Z;11E-dienoic acid,294.4,1-B08,1,Plate 1,B08,EnzoICCB1,SP0133,C15,13-Ketooctadecadienoic acid - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,13-Ketooctadecadienoic acid - bioactive lipid
G-222,Farnesylthioacetic acid,296.5,2-B08,2,Plate 2,B08,EnzoICCB1,SP0133,C16,Farnesylthioacetic acid - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Carboxymethylation inhibitor,DMSO,2840,Farnesylthioacetic acid - bioactive lipid
EE-14,(±)14;15-Epoxyeicosa-5Z;8Z;11Z-trienoic acid,320.5,1-B09,1,Plate 1,B09,EnzoICCB1,SP0133,C17,14;15-Epoxyeicosatrienoic acid - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,14;15-Epoxyeicosatrienoic acid - bioactive lipid
RA-105,Fluprostenol,458.5,2-B09,2,Plate 2,B09,EnzoICCB1,SP0133,C18,Fluprostenol - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Prostaglandin FP receptor agonist,DMSO,2840,Fluprostenol - bioactive lipid
H-015,15(S)-HETE,320.5,1-B10,1,Plate 1,B10,EnzoICCB1,SP0133,C19,15(S)-HETE - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,15(S)-HETE - bioactive lipid
FA-006,Gamma-linolenic acid (18:3 n-6),278.4,2-B10,2,Plate 2,B10,EnzoICCB1,SP0133,C20,?-Linolenic acid (18:3 n-6) - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,?-Linolenic acid (18:3 n-6) - bioactive lipid
HP-015,15(S)-HPETE,336.5,1-B11,1,Plate 1,B11,EnzoICCB1,SP0133,C21,15(S)-HPETE - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Fatty acid hydroperoxide,DMSO,2840,15(S)-HPETE - bioactive lipid
LE-009,Leukotoxin A (9;10-EODE),296.4,2-B11,2,Plate 2,B11,EnzoICCB1,SP0133,C22,Leukotoxin A (9;10-EODE) - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,Leukotoxin A (9;10-EODE) - bioactive lipid
CA-225,Flunarizine·2HCl,477.4,3-B02,3,Plate 3,B02,EnzoICCB1,SP0133,D03,Flunarizine - Calcium channels,ICCB Known Bioactives Library,0.0838,Ion channel ligands:  Calcium channels,DMSO,2840,Flunarizine - Calcium channels
EI-207,Ebselen,274.2,4-B02,4,Plate 4,B02,EnzoICCB1,SP0133,D04,Ebselen - antioxidant,ICCB Known Bioactives Library,0.146,Inhibitors:  glutathione peroxidase mimetic,DMSO,2840,Ebselen - antioxidant
AC-116,Fluspirilene,475.6,3-B03,3,Plate 3,B03,EnzoICCB1,SP0133,D05,Fluspiriline - Potassium channels,ICCB Known Bioactives Library,0.0841,Ion channel ligands:  Potassium channels,DMSO,2840,Fluspiriline - Potassium channels
CN-266,TRIM,212.2,4-B03,4,Plate 4,B03,EnzoICCB1,SP0133,D06,TRIM - bNOS/NOS inhibitor,ICCB Known Bioactives Library,0.189,Inhibitors:  bNOS/iNOS inhibitor,DMSO,2840,TRIM - bNOS/NOS inhibitor
CA-245,FPL-64176,347.4,3-B04,3,Plate 3,B04,EnzoICCB1,SP0133,D07,FPL-64176 - Calcium channels,ICCB Known Bioactives Library,0.115,Ion channel ligands:  Calcium channels,DMSO,2840,FPL-64176 - Calcium channels
PD-195,Zardaverine,268.2,4-B04,4,Plate 4,B04,EnzoICCB1,SP0133,D08,Zardaverine - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.149,Inhibitors:  phosphodiesterase (PDE1/2) inhibitor,DMSO,2840,Zardaverine - phosphodiesterase inhibitor
CA-422,6-Gingerol,294.4,3-B05,3,Plate 3,B05,EnzoICCB1,SP0133,D09,Gingerol - Calcium channels,ICCB Known Bioactives Library,0.136,Ion channel ligands:  Intracellular calcium,DMSO,2840,Gingerol - Calcium channels
PD-190,Zaprinast,271.3,4-B05,4,Plate 4,B05,EnzoICCB1,SP0133,D10,Zaprinast - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.147,Inhibitors:  phosphodiesterase (PDE1) inhibitor,DMSO,2840,Zaprinast - phosphodiesterase inhibitor
AC-120,Glipizide,445.5,3-B06,3,Plate 3,B06,EnzoICCB1,SP0133,D11,Glipizide - Potassium channels,ICCB Known Bioactives Library,0.0898,Ion channel ligands:  Potassium channels,DMSO,2840,Glipizide - Potassium channels
PD-185,Vinpocetine,350.5,4-B06,4,Plate 4,B06,EnzoICCB1,SP0133,D12,Vinpocetine - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.114,Inhibitors:  phosphodiesterase (PDE1) inhibitor,DMSO,2840,Vinpocetine - phosphodiesterase inhibitor
KC-120,Glyburide,494,3-B07,3,Plate 3,B07,EnzoICCB1,SP0133,D13,Glyburide - Potassium channels,ICCB Known Bioactives Library,0.081,Ion channel ligands:  Potassium channels,DMSO,2840,Glyburide - Potassium channels
PD-180,Trequinsin,405.5,4-B07,4,Plate 4,B07,EnzoICCB1,SP0133,D14,Trequinsin - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.0986,Inhibitors:  phosphodiesterase (PDE3) inhibitor,DMSO,2840,Trequinsin - phosphodiesterase inhibitor
NA-135,Grayanotoxin III,370.5,3-B08,3,Plate 3,B08,EnzoICCB1,SP0133,D15,Grayanotoxin III - Sodium channels,ICCB Known Bioactives Library,0.108,Ion channel ligands:  Sodium channels,DMSO,2840,Grayanotoxin III - Sodium channels
PD-179,Siguazodan,284.3,4-B08,4,Plate 4,B08,EnzoICCB1,SP0133,D16,Siguazodan - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.141,Inhibitors:  phosphodiesterase (PDE3) inhibitor,DMSO,2840,Siguazodan - phosphodiesterase inhibitor
CM-101,R(+)-IAA-94,357.2,3-B09,3,Plate 3,B09,EnzoICCB1,SP0133,D17,IAA-94 - Misc. channels,ICCB Known Bioactives Library,0.112,Ion channel ligands:  Misc. channels,DMSO,2840,IAA-94 - Misc. channels
PD-175,Rolipram,275.3,4-B09,4,Plate 4,B09,EnzoICCB1,SP0133,D18,Rolipram - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.145,Inhibitors:  phosphodiesterase (PDE4 ) inhibitor,DMSO,2840,Rolipram - phosphodiesterase inhibitor
CA-207,L-cis-Diltiazem·HCl,451,3-B10,3,Plate 3,B10,EnzoICCB1,SP0133,D19,L-cis-Diltiazem - Calcium channels,ICCB Known Bioactives Library,0.0887,Ion channel ligands:  Calcium channels,DMSO,2840,L-cis-Diltiazem - Calcium channels
EI-117,Ro 20-1724,278.3,4-B10,4,Plate 4,B10,EnzoICCB1,SP0133,D20,Ro 20-1724 - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.144,Inhibitors:  phosphodiesterase (PDE4 ) inhibitor,DMSO,2840,Ro 20-1724 - phosphodiesterase inhibitor
AC-128,Lidocaine·HCl·H2O,288.8,3-B11,3,Plate 3,B11,EnzoICCB1,SP0133,D21,Lidocaine - Sodium channels,ICCB Known Bioactives Library,0.138,Ion channel ligands:  Sodium channels,DMSO,2840,Lidocaine - Sodium channels
PD-155,MY-5445,331.8,4-B11,4,Plate 4,B11,EnzoICCB1,SP0133,D22,MY-5445 - phosphodiesterase inhibitor,ICCB Known Bioactives Library,0.121,Inhibitors:  phosphodiesterase (PDE5) inhibitor,DMSO,2840,MY-5445 - phosphodiesterase inhibitor
PG-050,15-deoxy-Prostaglandin J2,316.4,1-C02,1,Plate 1,C02,EnzoICCB1,SP0133,E03,15d-Prostaglandin J2 - prostaglandin,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Bioactive prostaglandin,DMSO,2840,15d-Prostaglandin J2 - prostaglandin
LE-012,Leukotoxin B (12;13-EODE),296.4,2-C02,2,Plate 2,C02,EnzoICCB1,SP0133,E04,Leukotoxin B (12;13-EODE) - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive linoleic acid metabolite,DMSO,2840,Leukotoxin B (12;13-EODE) - bioactive lipid
K-015,15-Ketoicosatetraenoic acid,318.5,1-C03,1,Plate 1,C03,EnzoICCB1,SP0133,E05,15-Ketoeicosatetraenoic acid - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Bioactive arachidonic acid metabolite,DMSO,2840,15-Ketoeicosatetraenoic acid - bioactive lipid
LB-004,Leukotriene B4,336.5,2-C03,2,Plate 2,C03,EnzoICCB1,SP0133,E06,Leukotriene B4 - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  Leukotriene B4 receptor agonist,DMSO,2840,Leukotriene B4 - bioactive lipid
PG-021,16;16-Dimethyl-prostaglandin E2,380.5,1-C04,1,Plate 1,C04,EnzoICCB1,SP0133,E07,16;16-Dimethyl-prostaglandin E2 - prostaglandin,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Prostaglandin EP receptor agonist,DMSO,2840,16;16-Dimethyl-prostaglandin E2 - prostaglandin
LC-004,Leukotriene C4,625.8,2-C04,2,Plate 2,C04,EnzoICCB1,SP0133,E08,Leukotriene C4 - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  CysLT receptor agonist,DMSO,2840,Leukotriene C4 - bioactive lipid
EI-103,17-Octadecynoic acid,280.4,1-C05,1,Plate 1,C05,EnzoICCB1,SP0133,E09,17-Octadecynoic acid - bioactive lipid,ICCB Known Bioactives Library,0.008,Lipid biosynthesis:  Inhibits fatty acid omega oxidation,DMSO,2840,17-Octadecynoic acid - bioactive lipid
LD-004,Leukotriene D4,496.7,2-C05,2,Plate 2,C05,EnzoICCB1,SP0133,E10,Leukotriene D4 - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  CysLT receptor agonist,DMSO,2840,Leukotriene D4 - bioactive lipid
PG-042,17-Phenyl-trinor-prostaglandin E2,386.5,1-C06,1,Plate 1,C06,EnzoICCB1,SP0133,E11,17-Phenyl-trinor-prostaglandin E2 - prostaglandin,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Prostaglandin EP1 receptor agonist,DMSO,2840,17-Phenyl-trinor-prostaglandin E2 - prostaglandin
LE-004,Leukotriene E4,439.6,2-C06,2,Plate 2,C06,EnzoICCB1,SP0133,E12,Leukotriene E4 - bioactive lipid,ICCB Known Bioactives Library,0.0008,Bioactive lipids:  CysLT1 receptor agonist,DMSO,2840,Leukotriene E4 - bioactive lipid
L-134,1-Acyl-PAF,537.7,1-C07,1,Plate 1,C07,EnzoICCB1,SP0133,E13,1-Acyl-PAF - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  PAF agonist,DMSO,2840,1-Acyl-PAF - bioactive lipid
FA-023,Linoleamide,279.5,2-C07,2,Plate 2,C07,EnzoICCB1,SP0133,E14,Linoleamide - cannabinoid receptor ligand,ICCB Known Bioactives Library,0.008,Endocannabinoids:  Bioactive linoleic acid metabolite,DMSO,2840,Linoleamide - cannabinoid receptor ligand
DG-140,1-Hexadecyl-2-arachidonoyl-glycerol,603,1-C08,1,Plate 1,C08,EnzoICCB1,SP0133,E15,1-Hexadecyl-2-arachidonoyl-glycerol - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  DAG analog,DMSO,2840,1-Hexadecyl-2-arachidonoyl-glycerol - bioactive lipid
FA-014,Linoleic acid,280.4,2-C08,2,Plate 2,C08,EnzoICCB1,SP0133,E16,Linoleic acid - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  Polyunsaturated fatty acid ,DMSO,2840,Linoleic acid - bioactive lipid
L-106,1-Hexadecyl-2-methylglycero-3 PC,495.7,1-C09,1,Plate 1,C09,EnzoICCB1,SP0133,E17,1-Hexadecyl-2-methylglycero-3 PC - bioactive lipid,ICCB Known Bioactives Library,0.008,Bioactive lipids:  PAF receptor agonist,DMSO,2840,1-Hexadecyl-2-methylglycero-3 PC - bioactive lipid
