Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Human Readable Name,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
S-109,1-Deoxymannojirimycin hydrochloride,199.6,5-A07,5,Plate 1,A07,EnzoICCB2,SP0128,A13,Deoxymannojirimycin(1) - glycoside hydrolase inhibitor,ICCB Known Bioactives Library,25,Inhibitors:  mannosidase inhibitor,DMSO,2840,Deoxymannojirimycin(1) - glycoside hydrolase inhibitor
CM-109,Ouabain,584.7,6-A07,6,Plate 2,A07,EnzoICCB2,SP0128,A14,Ouabain - Na+K+ATPase inhibitor,ICCB Known Bioactives Library,8.55,Inhibitors:  Na+K+ATPase inhibitor,DMSO,2840,Ouabain - Na+K+ATPase inhibitor
S-110,1-Deoxynojirimycin,163.2,5-A08,5,Plate 1,A08,EnzoICCB2,SP0128,A15,Deoxynorjrimycin(1) - glycoside hydrolase inhibitor,ICCB Known Bioactives Library,30.6,Inhibitors:  glucosidase inhibitor,DMSO,2840,Deoxynorjrimycin(1) - glycoside hydrolase inhibitor
L-133,PCA 4248,361.5,6-A08,6,Plate 2,A08,EnzoICCB2,SP0128,A16,PCA 4248 - bioactive lipid,ICCB Known Bioactives Library,13.8,Bioactive lipids:  PAF antagonist,DMSO,2840,PCA 4248 - bioactive lipid
EI-126,Dexamethasone,392.5,5-A09,5,Plate 1,A09,EnzoICCB2,SP0128,A17,Dexamethasone - steroid hormone,ICCB Known Bioactives Library,12.7,Nuclear receptor ligands:  corticosteroid,DMSO,2840,Dexamethasone - steroid hormone
EI-360,PD 98059,267.3,6-A09,6,Plate 2,A09,EnzoICCB2,SP0128,A18,PD 98059 - kinase inhibitor,ICCB Known Bioactives Library,18.7,Kinase inhibitors:  MEK inhibitor,DMSO,2840,PD 98059 - kinase inhibitor
CN-125,Dibutyrylcyclic AMP,491.4,5-A10,5,Plate 1,A10,EnzoICCB2,SP0128,A19,Dibutyrylcyclic AMP - PKA activator,ICCB Known Bioactives Library,10.2,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic AMP - PKA activator
EI-306,SU-4312,264.3,6-A10,6,Plate 2,A10,EnzoICCB2,SP0128,A20,SU-4312 - kinase inhibitor,ICCB Known Bioactives Library,18.9,Kinase inhibitors:  VEGF-R (Flk-1) tyrosine kinase ,DMSO,2840,SU-4312 - kinase inhibitor
CN-215,Dibutyrylcyclic GMP,485.4,5-A11,5,Plate 1,A11,EnzoICCB2,SP0128,A21,Dibutyrylcyclic GMP - PKA activator,ICCB Known Bioactives Library,10.3,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic GMP - PKA activator
PI-120,Pepstatin,685.9,6-A11,6,Plate 2,A11,EnzoICCB2,SP0128,A22,Pepstatin - protease inhibitor,ICCB Known Bioactives Library,7.29,Protease inhibitors:  protease inhibitor,DMSO,2840,Pepstatin - protease inhibitor
GR-234,GW-9662,276.7,5-B02,5,Plate 1,B02,EnzoICCB2,SP0128,C03,GW-9662 - PPAR ligand,ICCB Known Bioactives Library,18.1,Nuclear receptor ligands:  PPAR gamma antagonist,DMSO,2840,GW-9662 - PPAR ligand
AP-100,6(5H)-Phenanthridinone,195.2,6-B02,6,Plate 2,B02,EnzoICCB2,SP0128,C04,Phenanthridinone [6(5H)-Phenanthridinone] - PARP inhibitor,ICCB Known Bioactives Library,25.6,Inhibitors:  PARP inhibitor,DMSO,2840,Phenanthridinone [6(5H)-Phenanthridinone] - PARP inhibitor
D-100,6;7-ADTN ,179.2,5-B03,5,Plate 1,B03,EnzoICCB2,SP0128,C05,6;7-ADTN HBr - dopamine antagonist,ICCB Known Bioactives Library,27.9,CNS receptor ligands:  Dopamine agonist,DMSO,2840,6;7-ADTN HBr - dopamine antagonist
PE-160,Phorbol 12-myristate 13-acetate,616.8,6-B03,6,Plate 2,B03,EnzoICCB2,SP0128,C06,Phorbol 12 myristate 13 acetate - PKC activator,ICCB Known Bioactives Library,8.11,Activators:  PKC activator,DMSO,2840,Phorbol 12 myristate 13 acetate - PKC activator
FR-110,Hinokitiol,164.2,5-B04,5,Plate 1,B04,EnzoICCB2,SP0128,C07,Hinokitiol - iron chelator,ICCB Known Bioactives Library,30.5,Inhibitors:  Iron chelator,DMSO,2840,Hinokitiol - iron chelator
GR-325,Pifithrin-?,286.4,6-B04,6,Plate 2,B04,EnzoICCB2,SP0128,C08,Pifithrin - p53 inhibitor,ICCB Known Bioactives Library,17.5,Inhibitors:  p53 inhibitor,DMSO,2840,Pifithrin - p53 inhibitor
CN-240,Diphenyleneiodonium ,279.1,5-B05,5,Plate 1,B05,EnzoICCB2,SP0128,C09,Diphenyleneiodonium Cl - NOS inhibitor,ICCB Known Bioactives Library,17.9,Inhibitors:  flavoprotein inhibitor,DMSO,2840,Diphenyleneiodonium Cl - NOS inhibitor
GR-233,CITCO,436.7,6-B05,6,Plate 2,B05,EnzoICCB2,SP0128,C10,CITCO - Const. androstane receptor (CAR) agonist,ICCB Known Bioactives Library,11.4,Nuclear receptor ligands:  Const. androstane receptor (CAR) agonist,DMSO,2840,CITCO - Const. androstane receptor (CAR) agonist
CA-420,2;5-Ditertbutylhydroquinone,222.3,5-B06,5,Plate 1,B06,EnzoICCB2,SP0128,C11,2;5-Ditertbutylhydroquinone - ER Ca++ ATPase inhibitor,ICCB Known Bioactives Library,22.5,Ion channel ligands:  ER Ca++ ATPase inhibitor,DMSO,2840,2;5-Ditertbutylhydroquinone - ER Ca++ ATPase inhibitor
EI-219,Piroxicam,331.3,6-B06,6,Plate 2,B06,EnzoICCB2,SP0128,C12,Piroxicam - cyclooxygenase inhibitor,ICCB Known Bioactives Library,15.1,Lipid biosynthesis:  COX1 inhibitor,DMSO,2840,Piroxicam - cyclooxygenase inhibitor
GR-319,Doxorubicin,580,5-B07,5,Plate 1,B07,EnzoICCB2,SP0128,C13,Doxorubicin - Inhibits DNA synthesis,ICCB Known Bioactives Library,8.62,Inhibitors:  topoisomerase II inhibitor; induces apoptosis,DMSO,2840,Doxorubicin - Inhibits DNA synthesis
GR-334,Cyclopamine,411.6,6-B07,6,Plate 2,B07,EnzoICCB2,SP0128,C14,Cyclopamine - Hedgehog pathway inhibitor,ICCB Known Bioactives Library,12.1,Inhibitors:  Hedgehog pathway inhibitor,DMSO,2840,Cyclopamine - Hedgehog pathway inhibitor
EI-231,DRB (Benzimidazole),319.1,5-B08,5,Plate 1,B08,EnzoICCB2,SP0128,C15,DRB - kinase inhibitor,ICCB Known Bioactives Library,15.7,Kinase inhibitors:  CKII inhibitor,DMSO,2840,DRB - kinase inhibitor
EI-275,PP1,281.4,6-B08,6,Plate 2,B08,EnzoICCB2,SP0128,C16,PP1 - kinase inhibitor,ICCB Known Bioactives Library,17.8,Protease inhibitors:  src family trosine kinase inhibitor,DMSO,2840,PP1 - kinase inhibitor
FR-107,MnTBAP,879.1,5-B09,5,Plate 1,B09,EnzoICCB2,SP0128,C17,MnTBAP - antioxidant,ICCB Known Bioactives Library,5.69,Inhibitors:  SOD mimetic,DMSO,2840,MnTBAP - antioxidant
AC-146,Prazocin,383.4,6-B09,6,Plate 2,B09,EnzoICCB2,SP0128,C18,Prazocin - alpha adrenergic agonist,ICCB Known Bioactives Library,13,CNS receptor ligands:  adrenoreceptor agonist,DMSO,2840,Prazocin - alpha adrenergic agonist
CA-302,E6 berbamine,757.8,5-B10,5,Plate 1,B10,EnzoICCB2,SP0128,C19,E6 Berbamine - calmodulin inhibitor,ICCB Known Bioactives Library,6.6,Inhibitors:  calmodulin inhibitor,DMSO,2840,E6 Berbamine - calmodulin inhibitor
AP-401,Propidium iodide,668.4,6-B10,6,Plate 2,B10,EnzoICCB2,SP0128,C20,Propidium iodide - DNA binding,ICCB Known Bioactives Library,7.48,Inhibitors:  DNA intercalator,DMSO,2840,Propidium iodide - DNA binding
PI-107,E-64-d,342.4,5-B11,5,Plate 1,B11,EnzoICCB2,SP0128,C21,E-64-d - protease inhibitor,ICCB Known Bioactives Library,14.6,Protease inhibitors:  calpain/cathepsin inhibitor,DMSO,2840,E-64-d - protease inhibitor
AR-107,(S)-(-)-propranolol·HCl,295.8,6-B11,6,Plate 2,B11,EnzoICCB2,SP0128,C22,Propranolol (S-) - beta adrenergic agonist,ICCB Known Bioactives Library,16.9,CNS receptor ligands:  adrenoceptor antagonist (beta),DMSO,2840,Propranolol (S-) - beta adrenergic agonist
PD-129,EHNA ,277.4,5-C02,5,Plate 1,C02,EnzoICCB2,SP0128,E03,EHNA HCl - phosphodiesterase inhibitor,ICCB Known Bioactives Library,18,Inhibitors:  Phosphodiesterase (PDE2) inhibitor/adenosine deaminase inhibitor,DMSO,2840,EHNA HCl - phosphodiesterase inhibitor
GR-312,Puromycin·2HCl,530.4,6-C02,6,Plate 2,C02,EnzoICCB2,SP0128,E04,Puromycin - inhibits protein synthesis,ICCB Known Bioactives Library,9.43,Inhibitors:  protein synthesis inhibitor,DMSO,2840,Puromycin - inhibits protein synthesis
S-620,Pregnenolone-16?-carbonitrile,341.5,5-C03,5,Plate 1,C03,EnzoICCB2,SP0128,E05,Pregnenolone 16? carbonitrile - steroid hormone,ICCB Known Bioactives Library,14.6,Nuclear receptor ligands:  PXR/SXR agonist,DMSO,2840,Pregnenolone 16? carbonitrile - steroid hormone
EI-314,SB-431542,384.4,6-C03,6,Plate 2,C03,EnzoICCB2,SP0128,E06,SB-431542 - kinase inhibitor,ICCB Known Bioactives Library,13,Kinase inhibitors:  ALK4; ALK5; ALK7 inhibitor,DMSO,2840,SB-431542 - kinase inhibitor
BL-093,Estradiol,272.4,5-C04,5,Plate 1,C04,EnzoICCB2,SP0128,E07,Estradiol - microtubule poison,ICCB Known Bioactives Library,18.4,Nuclear receptor ligands:  estrogen,DMSO,2840,Estradiol - microtubule poison
EI-305,SP-600125,220.2,6-C04,6,Plate 2,C04,EnzoICCB2,SP0128,E08,SP-600125 - kinase inhibitor,ICCB Known Bioactives Library,22.7,Kinase inhibitors:  JNK inhibitor,DMSO,2840,SP-600125 - kinase inhibitor
GR-307,Etoposide,588.6,5-C05,5,Plate 1,C05,EnzoICCB2,SP0128,E09,Etoposide - Inhibits DNA synthesis,ICCB Known Bioactives Library,8.5,Inhibitors:  topoisomerase II inhibitor,DMSO,2840,Etoposide - Inhibits DNA synthesis
AC-1142,Quercetin·2H2O,338.3,6-C05,6,Plate 2,C05,EnzoICCB2,SP0128,E10,Quercetin - kinase inhibitor,ICCB Known Bioactives Library,14.8,Kinase inhibitors:  kinase inhibitor (plus other),DMSO,2840,Quercetin - kinase inhibitor
CM-120,FCCP,254.2,5-C06,5,Plate 1,C06,EnzoICCB2,SP0128,E11,FCCP - mitochondrial uncoupler,ICCB Known Bioactives Library,19.7,Inhibitors:  mitochondrial uncoupler,DMSO,2840,FCCP - mitochondrial uncoupler
A-275,Rapamycin,914.2,6-C06,6,Plate 2,C06,EnzoICCB2,SP0128,E12,Rapamycin - prolyl cis-trans isomerase inhibitor,ICCB Known Bioactives Library,5.47,Inhibitors:  FRAP inhibitor ,DMSO,2840,Rapamycin - prolyl cis-trans isomerase inhibitor
CN-100,Forskolin,410.5,5-C07,5,Plate 1,C07,EnzoICCB2,SP0128,E13,Forskolin - adenylate cyclase activator,ICCB Known Bioactives Library,12.2,Activators:  Adenylate cyclase activator,DMSO,2840,Forskolin - adenylate cyclase activator
AM-100,Cyclo [Arg-Gly-Asp-D-Phe-Val],574.6,6-C07,6,Plate 2,C07,EnzoICCB2,SP0128,E14,Cyclo [Arg-Gly-Asp-D-Phe-Val] - integrin inhibitor,ICCB Known Bioactives Library,8.7,Inhibitors:  integrin inhibitor,DMSO,2840,Cyclo [Arg-Gly-Asp-D-Phe-Val] - integrin inhibitor
EI-280,Geldanamycin,560.6,5-C08,5,Plate 1,C08,EnzoICCB2,SP0128,E15,Geldanamycin - HSP-90 inhibitor,ICCB Known Bioactives Library,8.92,Inhibitors:  HSP90 inhibitor,DMSO,2840,Geldanamycin - HSP-90 inhibitor
ST-300,RHC-80267,394.5,6-C08,6,Plate 2,C08,EnzoICCB2,SP0128,E16,RHC-80267 - DAG lipase inhibitor,ICCB Known Bioactives Library,12.7,Lipid biosynthesis:  DAG lipase inhibitor,DMSO,2840,RHC-80267 - DAG lipase inhibitor
EI-147,Genistein,260.4,5-C09,5,Plate 1,C09,EnzoICCB2,SP0128,E17,Genistein - kinase inhibitor,ICCB Known Bioactives Library,19.2,Kinase inhibitors:  Tyrosine kinase inhibitor,DMSO,2840,Genistein - kinase inhibitor
PR-112,RK-682,368.5,6-C09,6,Plate 2,C09,EnzoICCB2,SP0128,E18,RK-682 - phosphatase inhibitor,ICCB Known Bioactives Library,13.6,Inhibitors:  VHR phosphatase inhibitor,DMSO,2840,RK-682 - phosphatase inhibitor
EI-283,Ro 31-8220,457.5,5-C10,5,Plate 1,C10,EnzoICCB2,SP0128,E19,Ro 31-8220 - kinase inhibitor,ICCB Known Bioactives Library,10.9,Kinase inhibitors:  PKC inhibitor,DMSO,2840,Ro 31-8220 - kinase inhibitor
CC-205,Roscovitine,354.4,6-C10,6,Plate 2,C10,EnzoICCB2,SP0128,E20,Roscovitine - kinase inhibitor,ICCB Known Bioactives Library,14.1,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Roscovitine - kinase inhibitor
EI-300,GM6001,388.5,5-C11,5,Plate 1,C11,EnzoICCB2,SP0128,E21,GM6001 - protease inhibitor,ICCB Known Bioactives Library,12.9,Protease inhibitors:  broad spectrum MMP inhibitor ,DMSO,2840,GM6001 - protease inhibitor
EI-270,Rottlerin,516.5,6-C11,6,Plate 2,C11,EnzoICCB2,SP0128,E22,Rottlerin - kinase inhibitor,ICCB Known Bioactives Library,9.68,Kinase inhibitors:  PKC delta inhibitor,DMSO,2840,Rottlerin - kinase inhibitor
EI-269,Go6976,378.4,5-D02,5,Plate 1,D02,EnzoICCB2,SP0128,G03,Go6976 - kinase inhibitor,ICCB Known Bioactives Library,13.2,Kinase inhibitors:  PKC inhibitor,DMSO,2840,Go6976 - kinase inhibitor
PR-110,RWJ-60475-(AM)3,620.3,6-D02,6,Plate 2,D02,EnzoICCB2,SP0128,G04,RWJ-60475-(AM)3 - phosphatase inhibitor,ICCB Known Bioactives Library,8.06,Inhibitors:  CD45 phosphatase inhibitor,DMSO,2840,RWJ-60475-(AM)3 - phosphatase inhibitor
EI-287,Nimesulide,308.3,5-D03,5,Plate 1,D03,EnzoICCB2,SP0128,G05,Nimesulide - cyclooxygenase inhibitor,ICCB Known Bioactives Library,16.2,Lipid biosynthesis:  Cox 2 inhibitor,DMSO,2840,Nimesulide - cyclooxygenase inhibitor
EI-286,SB 203580,377.4,6-D03,6,Plate 2,D03,EnzoICCB2,SP0128,G06,SB 203580 - kinase inhibitor,ICCB Known Bioactives Library,13.2,Kinase inhibitors:  Suppressor of MAPKAP kinase-2,DMSO,2840,SB 203580 - kinase inhibitor
EI-148,H7,291.4,5-D04,5,Plate 1,D04,EnzoICCB2,SP0128,G07,H7 - kinase inhibitor,ICCB Known Bioactives Library,17.2,Kinase inhibitors:  kinase inhibitor,DMSO,2840,H7 - kinase inhibitor
EI-294,SB 202190,331.3,6-D04,6,Plate 2,D04,EnzoICCB2,SP0128,G08,SB 202190 - kinase inhibitor,ICCB Known Bioactives Library,15.1,Kinase inhibitors:  MAP kinase inhibitor,DMSO,2840,SB 202190 - kinase inhibitor
EI-196,H-89,446.4,5-D05,5,Plate 1,D05,EnzoICCB2,SP0128,G09,H-89 - kinase inhibitor,ICCB Known Bioactives Library,11.2,Kinase inhibitors:  PKA inhibitor,DMSO,2840,H-89 - kinase inhibitor
CC-207,Indirubin-3'-monoxime,277.3,6-D05,6,Plate 2,D05,EnzoICCB2,SP0128,G10,Indirubin-3'-monoxime - kinase inhibitor,ICCB Known Bioactives Library,18,Kinase inhibitors:  GSK-3beta inhibitor,DMSO,2840,Indirubin-3'-monoxime - kinase inhibitor
EI-195,H9,324.2,5-D06,5,Plate 1,D06,EnzoICCB2,SP0128,G11,H9 - kinase inhibitor,ICCB Known Bioactives Library,15.4,Kinase inhibitors:  kinase inhibitor,DMSO,2840,H9 - kinase inhibitor
CC-206,Indirubin,262.3,6-D06,6,Plate 2,D06,EnzoICCB2,SP0128,G12,Indirubin - kinase inhibitor,ICCB Known Bioactives Library,19.1,Kinase inhibitors:  GSK-3beta inhibitor,DMSO,2840,Indirubin - kinase inhibitor
EI-233,HA1077,364.3,5-D07,5,Plate 1,D07,EnzoICCB2,SP0128,G13,HA1077 - kinase inhibitor,ICCB Known Bioactives Library,13.7,Kinase inhibitors:  inhibitor of Rho-dependent kinases,DMSO,2840,HA1077 - kinase inhibitor
NS-820,serotonin,176.2,6-D07,6,Plate 2,D07,EnzoICCB2,SP0128,G14,Serotonin - serotonin receptor agonist,ICCB Known Bioactives Library,28.4,CNS receptor ligands:  serotonin receptor agonist,DMSO,2840,Serotonin - serotonin receptor agonist
EI-184,HA-1004,293.3,5-D08,5,Plate 1,D08,EnzoICCB2,SP0128,G15,HA-1004 - kinase inhibitor,ICCB Known Bioactives Library,17,Kinase inhibitors:  kinase inhibitor,DMSO,2840,HA-1004 - kinase inhibitor
FR-104,resveratrol,228.2,6-D08,6,Plate 2,D08,EnzoICCB2,SP0128,G16,Resveratrol - SIRT1 activator,ICCB Known Bioactives Library,21.9,Activators:  SIRT1 activator,DMSO,2840,Resveratrol - SIRT1 activator
EI-273,HBDDE,338.3,5-D09,5,Plate 1,D09,EnzoICCB2,SP0128,G17,HBDDE - kinase inhibitor,ICCB Known Bioactives Library,14.8,Kinase inhibitors:  PKC inhibitor,DMSO,2840,HBDDE - kinase inhibitor
GR-331,Splitomycin,198.2,6-D09,6,Plate 2,D09,EnzoICCB2,SP0128,G18,Splitomycin - sir2p inhibitor,ICCB Known Bioactives Library,25.2,Inhibitors:  sir2p inhibitor,DMSO,2840,Splitomycin - sir2p inhibitor
AC-764,Histamine,111.1,5-D10,5,Plate 1,D10,EnzoICCB2,SP0128,G19,Histamine - histamine receptor ligand,ICCB Known Bioactives Library,45,CNS receptor ligands:  Histamine receptor agonist,DMSO,2840,Histamine - histamine receptor ligand
EI-297,PP2,301.8,6-D10,6,Plate 2,D10,EnzoICCB2,SP0128,G20,PP2 - kinase inhibitor,ICCB Known Bioactives Library,16.6,Kinase inhibitors:  Src family tyrosine kinase inhibitor,DMSO,2840,PP2 - kinase inhibitor
EI-248,HNMPA-(AM)3,454.4,5-D11,5,Plate 1,D11,EnzoICCB2,SP0128,G21,HNMPA-(AM)3 - kinase inhibitor,ICCB Known Bioactives Library,11,Kinase inhibitors:  Insulin receptor TK inhibitor,DMSO,2840,HNMPA-(AM)3 - kinase inhibitor
EI-271,Piceatannol,244.2,6-D11,6,Plate 2,D11,EnzoICCB2,SP0128,G22,Piceatannol - kinase inhibitor,ICCB Known Bioactives Library,20.5,Kinase inhibitors:  Syk inhibitor,DMSO,2840,Piceatannol - kinase inhibitor
GR-303,Hoechst  33342·3HCl (BisBenzimide),561.9,5-E02,5,Plate 1,E02,EnzoICCB2,SP0128,I03,Hoechst  33342 (cell permeable) (BisBenzimide) - DNA binding,ICCB Known Bioactives Library,8.9,Inhibitors:  DNA minor groove binder,DMSO,2840,Hoechst  33342 (cell permeable) (BisBenzimide) - DNA binding
CN-140,SQ22536,205.2,6-E02,6,Plate 2,E02,EnzoICCB2,SP0128,I04,SQ22536 - adenylate cyclase inhibitor,ICCB Known Bioactives Library,24.4,Inhibitors:  adenylate cyclase inhibitor,DMSO,2840,SQ22536 - adenylate cyclase inhibitor
C-117,(-)-Huperzine A,242.3,5-E03,5,Plate 1,E03,EnzoICCB2,SP0128,I05,Huperzine A [(-)-Huperzine A] - acetylcholinesterase inhibitor,ICCB Known Bioactives Library,20.6,Inhibitors:  acetylcholinesterase inhibitor,DMSO,2840,Huperzine A [(-)-Huperzine A] - acetylcholinesterase inhibitor
T-112,Alrestatin,255.2,6-E03,6,Plate 2,E03,EnzoICCB2,SP0128,I06,Alrestatin - aldose reductase inhibitor,ICCB Known Bioactives Library,19.6,Inhibitors:  aldose reductase inhibitor,DMSO,2840,Alrestatin - aldose reductase inhibitor
GR-230,24(S)-hydroxycholesterol,402.7,5-E04,5,Plate 1,E04,EnzoICCB2,SP0128,I07,24(S)-Hydroxycholesterol - steroid hormone,ICCB Known Bioactives Library,12.4,Nuclear receptor ligands:  LXR agonist,DMSO,2840,24(S)-Hydroxycholesterol - steroid hormone
EI-156,staurosporine,466.5,6-E04,6,Plate 2,E04,EnzoICCB2,SP0128,I08,Staurosporine - kinase inhibitor,ICCB Known Bioactives Library,10.7,Kinase inhibitors:  kinase inhibitor - non-selective,DMSO,2840,Staurosporine - kinase inhibitor
GR-332,ICRF-193,282.3,5-E05,5,Plate 1,E05,EnzoICCB2,SP0128,I09,ICRF-193 - Inhibits DNA synthesis,ICCB Known Bioactives Library,17.7,Inhibitors:  topo II inhibitor that does not cause DNA breaks,DMSO,2840,ICRF-193 - Inhibits DNA synthesis
S-112,swainsonine,173.2,6-E05,6,Plate 2,E05,EnzoICCB2,SP0128,I10,Swainsonine - protein glycosylation inhibitor,ICCB Known Bioactives Library,28.9,Inhibitors:  protein glycosylation inhibitor,DMSO,2840,Swainsonine - protein glycosylation inhibitor
EI-131,Indomethacin,357.8,5-E06,5,Plate 1,E06,EnzoICCB2,SP0128,I11,Indomethacin - cyclooxygenase inhibitor,ICCB Known Bioactives Library,14,Lipid biosynthesis:  cyclooxygenase inhibitor,DMSO,2840,Indomethacin - cyclooxygenase inhibitor
S-650,tamoxifen,371.5,6-E06,6,Plate 2,E06,EnzoICCB2,SP0128,I12,Tamoxifen - estrogen antagonist,ICCB Known Bioactives Library,13.5,Nuclear receptor ligands:  estrogen antagonist,DMSO,2840,Tamoxifen - estrogen antagonist
CA-201,Ionomycin,679,5-E07,5,Plate 1,E07,EnzoICCB2,SP0128,I13,Ionomycin - Calcium ionophore,ICCB Known Bioactives Library,7.36,Ion channel ligands:  Ca++ ionophore,DMSO,2840,Ionomycin - Calcium ionophore
T-104,taxol = paclitaxel,853.9,6-E07,6,Plate 2,E07,EnzoICCB2,SP0128,I14,Taxol = Paclitaxel - microtubule poison,ICCB Known Bioactives Library,5.86,Inhibitors:  microtubule stabilizer,DMSO,2840,Taxol = Paclitaxel - microtubule poison
PD-140,IBMX,222.2,5-E08,5,Plate 1,E08,EnzoICCB2,SP0128,I15,IBMX - phosphodiesterase inhibitor,ICCB Known Bioactives Library,22.5,Inhibitors:  PDE inhibitor (broad spec); adenosineR agonist,DMSO,2840,IBMX - phosphodiesterase inhibitor
EI-253,RG-14620,275.1,6-E08,6,Plate 2,E08,EnzoICCB2,SP0128,I16,RG-14620 - kinase inhibitor,ICCB Known Bioactives Library,18.2,Kinase inhibitors:  EGF-R tyrosine kinase inhibitor,DMSO,2840,RG-14620 - kinase inhibitor
EI-309,NSC-95397,310.4,5-E09,5,Plate 1,E09,EnzoICCB2,SP0128,I17,NSC-95397 - phosphatase inhibitor,ICCB Known Bioactives Library,16.1,Inhibitors:  CDC25 phosphatase inhibitor,DMSO,2840,NSC-95397 - phosphatase inhibitor
T-115,thalidomide,258.2,6-E09,6,Plate 2,E09,EnzoICCB2,SP0128,I18,Thalidomide - inhibits ubiquitin ligase activity,ICCB Known Bioactives Library,19.4,Inhibitors:  TNFalpha synthesis inhibitor,DMSO,2840,Thalidomide - inhibits ubiquitin ligase activity
BL-169,Juglone,174.2,5-E10,5,Plate 1,E10,EnzoICCB2,SP0128,I19,Juglone - PIN1 inhibitor,ICCB Known Bioactives Library,28.7,Inhibitors:  PIN1 inhibitor,DMSO,2840,Juglone - PIN1 inhibitor
CN-257,Thiocitrulline [L-Thiocitrulline],191.3,6-E10,6,Plate 2,E10,EnzoICCB2,SP0128,I20,Thiocitrulline [L-Thiocitrulline HCl] - NOS inhibitor,ICCB Known Bioactives Library,26.1,Inhibitors:  bNOS inhibitor,DMSO,2840,Thiocitrulline [L-Thiocitrulline HCl] - NOS inhibitor
EI-152,K252A,467.5,5-E11,5,Plate 1,E11,EnzoICCB2,SP0128,I21,K252A - kinase inhibitor,ICCB Known Bioactives Library,1.07,Kinase inhibitors:  Kinase inhibitor (Broad spectrum),DMSO,2840,K252A - kinase inhibitor
EI-246,GF-109203X,412.5,6-E11,6,Plate 2,E11,EnzoICCB2,SP0128,I22,GF-109203X - kinase inhibitor,ICCB Known Bioactives Library,12.1,Kinase inhibitors:  PKC inhibitor,DMSO,2840,GF-109203X - kinase inhibitor
EI-230,KN-62,721.8,5-F02,5,Plate 1,F02,EnzoICCB2,SP0128,K03,KN-62 - kinase inhibitor,ICCB Known Bioactives Library,6.93,Kinase inhibitors:  CaM kinase II inhibitor,DMSO,2840,KN-62 - kinase inhibitor
