384 Plate ID,Plate Map,Well,Human Readable Name,CatNumber,MoleculeID,Concentration,Unit,Well X,Well Y,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Unnamed: 20,Library,sample_type
SelleckChem004,SP0138-A,A16,SB271046,S2856,SW219941-1,10,m,16,1,192918307,451.99,209481-20-9,free base,5-HT Receptor,SB271046 is a potent; selective and orally active 5-HT6 receptor antagonist with pKi of 8.9; exhibits 200-fold greater selectivity over other 5-HT receptor subtypes.,C12C(C(=C(S1)S(=O)(=O)NC3C=C(C(=CC=3)OC)N4CCNCC4)C)=CC(=CC=2)Cl,88,http://www.selleckchem.com/products/sb-271046.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A17,MK-8776 (SCH 900776),S2735,SW219954-1,10,m,17,1,192889979,376.25,891494-63-6,free base,CDK;Chk,SCH 900776 is a selective Chk1 inhibitor with IC50 of 3 nM. It shows 500-fold selectivity against Chk2. Phase 2.,C12N=C(C(=C(N1N=CC=2C3=CN(N=C3)C)N)Br)[C@H]4CNCCC4,199.34,http://www.selleckchem.com/products/sch-900776.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A18,IMD 0354,S2864,SW219746-1,10,m,18,1,192900987,383.67,978-62-1,free base,I_B/IKK,IMD-0354 is an IKK_ inhibitor and blocks I_B_ phosphorylation in NF-_B pathway.,C1=CC(=CC(=C1O)C(NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)=O)Cl,26,http://www.selleckchem.com/products/imd-0354.html,NF-_B,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A19,Anacetrapib (MK-0859),S2748,SW219625-1,10,m,19,1,192948008,637.51,875446-37-0,free base,CETP,Anacetrapib (MK0859) is a potent; selective; reversible rhCETP and mutant CETP(C13S) inhibitor with IC50 of 7.9 nM and 11.8 nM; increases HDL-C and decreases LDL-C; does not increase aldosterone or blood pressure. Phase 3.,C1=C(C=C(C(=C1)C2=CC(=C(C=C2OC)F)C(C)C)CN3C(O[C@@H]([C@H]3C)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F)=O)C(F)(F)F,199,http://www.selleckchem.com/products/anacetrapib-mk-0859.html,Metabolism,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A20,Camostat Mesilate,S2874,SW219517-1,10,m,20,1,181344310,494.52,59721-29-8,mesilate,Others,Camostat is a trypsin-like protease inhibitor; inhibits airway epithelial sodium channel (ENaC) function with IC50 of 50 nM; less potent to trpsin; prostasin and matriptase.,C1(C(OC2C=CC(=CC=2)CC(OCC(N(C)C)=O)=O)=O)(C=CC(=CC=1)NC(N)=N).S(C)(O)(=O)=O,200,http://www.selleckchem.com/products/camostat-mesilate-foy-305.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A21,Canagliflozin,S2760,SW219119-1,10,m,21,1,192953961,444.52,842133-18-0,free base,SGLT,Canagliflozin is a highly potent and selective SGLT2 inhibitor for hSGLT2 with IC50 of 2.2 nM; exhibits 413-fold selectivity over hSGLT1.,[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)C2=CC(=C(C=C2)C)CC3SC(=CC=3)C4=CC=C(C=C4)F)O)O)O)CO,200,http://www.selleckchem.com/products/canagliflozin.html,GPCR & G Protein,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A22,PF-562271,S2890,SW219484-2,10,m,22,1,192943357,507.49,717907-75-0,free base,FAK,PF-562271 is a potent; ATP-competitive; reversible inhibitor of FAK with IC50 of 1.5 nM; ~10-fold less potent for Pyk2 than FAK and >100-fold selectivity against other protein kinases; except for some CDKs.,C1=NC(=C(C=C1)CNC2=C(C=NC(=N2)NC3=CC=C4C(=C3)CC(N4)=O)C(F)(F)F)N(C)S(=O)(=O)C,199,http://www.selleckchem.com/products/pf-562271.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,A23,,Bx,Bx-A23,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,A24,,Bx,Bx-A24,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,B01,,Bx,Bx-B01,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,B02,,Bx,Bx-B02,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,B03,Tempol,S2910,SW219557-1,10,m,3,2,192918183,172.24,2226-96-2,free base,Others,TEMPOL is a superoxide scavenger that displays neuroprotective; anti-inflammatory and analgesic effects.,C1(N(C(CC(C1)O)(C)C)[O])(C)C,197,http://www.selleckchem.com/products/tempol-4-hydroxy-tempo.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B04,Methylthiouracil,S3138,SW088218-2,10,m,4,2,192872150,142.18,1956-04-02,free base,Others,Methylthiouracil is an antithyroid preparation.,C1(NC(C=C(N1)C)=O)=S,196,http://www.selleckchem.com/products/methylthiouracil.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B05,IOX2,S2919,SW219205-1,10,m,5,2,192947105,352.34,931398-72-0,free base,HIF,IOX2 is a potent inhibitor of HIF-1_ prolyl hydroxylase-2 (PHD2) with IC50 of 21 nM; >100-fold selectivity over JMJD2A; JMJD2C; JMJD2E; JMJD3; or the 2OG oxygenase FIH.,C(CNC(=O)C1C(N(C2C=CC=CC(C=1O)=2)CC3C=CC=CC=3)=O)(=O)O,19,http://www.selleckchem.com/products/iox2.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B06,Gliquidone,S3151,SW197285-3,10,m,6,2,179619158,527.63,33342-05-1,free base,Potassium Channel,Gliquidone is an ATP-sensitive K+ channel antagonist with IC50 of 27.2 nM.,C1(C=CC(=CC=1)CCN2C(C3C=C(C=CC(C(C2=O)(C)C)=3)OC)=O)S(=O)(=O)NC(=O)NC4CCCCC4,199,http://www.selleckchem.com/products/gliquidone.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B07,Pifithrin-_ (PFT_),S2929,SW219549-1,10,m,7,2,192918145,367.3,63208-82-2,HBr,p53;Autophagy,Pifithrin-_ is an inhibitor of p53; inhibiting p53-dependent transactivation of p53-responsive genes.,C1(CCC2=C(C1)N(C(S2)=N)CC(C3=CC=C(C=C3)C)=O).Br,182,http://www.selleckchem.com/products/pifithrin-alpha.html,Apoptosis,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B08,Ampicillin sodium,S3170,SW220219-1,10,m,8,2,179619557,371.39,69-52-3,sodium,Others,Ampicillin is a beta-lactam antibiotic that is part of the aminopenicillin family.,N12([C@H](C(S[C@]([C@@H](C1=O)NC([C@@H](C3C=CC=CC=3)N)=O)2[H])(C)C)C(=O)[O-]).[Na+],99,http://www.selleckchem.com/products/ampicillin-sodium.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B09,Pazopanib,S3012,SW218082-3,10,m,9,2,192864579,437.52,444731-52-6,free base,PDGFR;c-Kit;VEGFR,Pazopanib is a novel multi-target inhibitor of VEGFR1; VEGFR2; VEGFR3; PDGFR; FGFR; c-Kit and c-Fms with IC50 of 10 nM; 30 nM; 47 nM; 84 nM; 74 nM; 140 nM and 146 nM; respectively.,C1(C(=CC=C(C=1)NC2N=C(C=CN=2)N(C)C3C=CC4=C(N(N=C(C=3)4)C)C)C)S(=O)(=O)N,201,http://www.selleckchem.com/products/pazopanib.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B10,Flumequine,S3181,SW196774-3,10,m,10,2,179604064,261.25,42835-25-6,free base,Topoisomerase,Flumequine is a synthetic chemotherapeutic antibiotic; inhibiting topoisomerase II with IC50 of 15 _M.,C12C(C(=CN3C(CCC(=C31)C=C(C=2)F)C)C(=O)O)=O,11,http://www.selleckchem.com/products/flumequine.html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B11,Bufexamac,S3023,SW196831-3,10,m,11,2,192943030,223.27,2438-72-4,free base,COX,Bufexamac is a COX inhibitor for IFN-_ release with EC50 of 8.9 _M.,C1(C=CC(=CC=1)OCCCC)CC(=O)NO,201,http://www.selleckchem.com/products/bufexamac.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B12,Azlocillin sodium salt,S3195,SW220222-1,10,m,12,2,179605045,484.48,37091-65-9,sodium,Others,Azlocillin is an acylampicillin with a broad spectrum against bacteria.,N12(C(C(SC(C(C1=O)NC(=O)[C@@H](C3C=CC=CC=3)NC(=O)N4CCNC4=O)2)(C)C)C(=O)O).[Na],200,http://www.selleckchem.com/products/azlocillin-sodium-salt.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B13,Sitaxentan sodium,S3034,SW219294-1,10,m,13,2,181343431,476.89,210421-74-2,free base,Endothelin Receptor,Sitaxentan sodium is a selective endothelin A receptor (ETA) antagonist with IC50 and Ki of 1.4 nM and 0.43 nM; respectively; exhibits 7000-fold selectivity over ETB. Phase 3.,C1(=C(C=CS1)S(=O)(=O)[N-]C2=C(C(=NO2)C)Cl)C(=O)CC3(C=C4OCOC4=CC=3C).[Na+],83,http://www.selleckchem.com/products/sitaxentan-sodium-tbc-11251.html,GPCR & G Protein,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B14,Amidopyrine,S3209,SW196332-3,10,m,14,2,179605347,231.29,58-15-1,free base,Others,Amidopyrine is white crystalline substance used as an analgesic and antipyretic.,N1(N(C(C(=C1C)N(C)C)=O)C2C=CC=CC=2)C,198,http://www.selleckchem.com/products/amidopyrine.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B15,Azilsartan,S3046,SW219493-1,10,m,15,2,192866488,456.45,147403-03-0,free base,RAAS,Azilsartan is an angiotensin II type 1 (AT1) receptor antagonist with IC50 of 2.6 nM.,C1(=NC2C(N1CC3C=CC(=CC=3)C4C(=CC=CC=4)C5NOC(N=5)=O)=C(C=CC=2)C(=O)O)OCC,199,http://www.selleckchem.com/products/azilsartan-tak-536.html,Endocrinology & Hormones,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B16,Lithocholic acid,S4003,SW219055-1,10,m,16,2,179605373,376.57,434-13-9,free base,Others,Lithocholic acid is a toxic secondary bile acid; causes intrahepatic cholestasis; has tumor-promoting activity; its toxic effect can be protected after it activates the vitamin D receptor; PXR and FXR.,[C@@]12([C@]3([C@@]([C@@]4([C@](CC3)(C[C@@H](CC4)O)[H])C)(CC[C@@]1([C@H]([C@@H](CCC(O)=O)C)CC2)C)[H])[H])[H],199,http://www.selleckchem.com/products/lithocholic-acid.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B17,Medetomidine HCl,S3060,SW219239-1,10,m,17,2,192925625,236.74,86347-15-1,hydrochloride,Adrenergic Receptor,Medetomidine is a selective _2-adrenoceptor agonist; with Ki of 1.08 nM; exhibts 1620-fold selectivity over _1-adrenoceptor.,C1(=C(C(C)=CC=C1)C)C(C2N=CNC=2)C.Cl,50,http://www.selleckchem.com/products/medetomidine-hcl.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B18,Hyoscyamine,S4014,SW219548-1,10,m,18,2,179681674,289.37,101-31-5,free base,AChR,Hyoscyamine is an AChR inhibitor with IC50 of 7.5 nM.,C1(CC2N(C(C1)CC2)C)OC([C@@H](C3C=CC=CC=3)CO)=O,200,http://www.selleckchem.com/products/hyoscyamine-daturine.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B19,Vanillin ,S3071,SW219190-1,10,m,19,2,192942987,152.15,121-33-5,free base,Others,Vanillin; 4-hydroxy-3-methoxybenzaldehyde; is a food additive.,C(C1C=C(C(=CC=1)O)OC)=O,197.17,http://www.selleckchem.com/products/vanillin.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B20,Procaine HCl,S4023,SW196719-3,10,m,20,2,179618928,272.77,1951-05-08,hydrochloride,Sodium Channel,Procaine is an inhibitor of sodium channel; NMDA receptor and nAChR with IC50 of 60 _M; 0.296 mM and 45.5 _M; which is also an inhibitor of 5-HT3 with KD of 1.7 _M.,C1(C(OCCN(CC)CC)=O)(C=CC(=CC=1)N).Cl,201,http://www.selleckchem.com/products/procaine-novocaine-hcl.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B21,Indacaterol Maleate,S3083,SW220145-1,10,m,21,2,192927544,508.56,753498-25-8,maleate,Adrenergic Receptor,Indacaterol is an ultra-long-acting _-adrenoceptor agonist with pKi of 7.36.,N1(C(C=CC2C(=CC=C(C1=2)O)[C@H](CNC3CC4C=C(C(=CC(C3)=4)CC)CC)O)=O).C(/C(=O)O)=C\C(=O)O,200,http://www.selleckchem.com/products/indacaterol-maleate.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B22,Doxapram HCl,S4037,SW197706-2,10,m,22,2,179604292,432.98,7081-53-0,hydrochloride,Others,Doxapram HCl inhibits TASK-1; TASK-3; TASK-1/TASK-3 heterodimeric channel function with EC50 of 410 nM; 37 _M; 9 _M; respectively.,C1(C(C(CCN2CCOCC2)CN1CC)(C3=CC=CC=C3)C4=CC=CC=C4)=O.Cl.O,200,http://www.selleckchem.com/products/doxapram-hcl.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,B23,,Bx,Bx-B23,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,B24,,Bx,Bx-B24,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,C01,,Bx,Bx-C01,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,C02,,Bx,Bx-C02,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem004,SP0138-A,C03,NU7441 (KU-57788),S2638,SW219708-1,10,m,3,3,194487928,413.49,503468-95-9,free base,DNA-PK;PI3K,NU7441 is a highly potent and selective DNA-PK inhibitor with IC50 of 14 nM and also inhibits PI3K with IC50 of 5 _M.,C1=C(OC2=C(C1=O)C=CC=C2C3=CC=CC4=C3SC5=C4C=CC=C5)N6CCOCC6,7.26,http://www.selleckchem.com/products/nu7441.html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C04,GW4064,S2782,SW203830-2,10,m,4,3,179712750,542.84,278779-30-9,free base,FXR,GW4064 is an agonist of farnesoid X receptor (FXR) with EC50 of 65 nM.,C1=CC=C(C=C1C(=O)O)/C=C/C2=C(C=C(C=C2)OCC3C(=NOC=3C(C)C)C4=C(C=CC=C4Cl)Cl)Cl,200,http://www.selleckchem.com/products/gw-4064.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C05,WAY-100635 Maleate,S2663,SW219571-1,10,m,5,3,192917686,538.64,1092679-51-0,hydrochloride,5-HT Receptor,WAY 100635 is a potent and selective 5-HT1A receptor agonist with pIC50 of 8.87; exhibits >100-fold selectivity against other 5-HT receptor subtypes and major neurotransmitter receptors.,C1(N2CCN(CC2)CCN(C3=CC=CC=N3)C(C4CCCCC4)=O)(=C(C=CC=C1)OC).Cl.Cl.Cl,157,http://www.selleckchem.com/products/way-100635.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C06,Torcetrapib,S2792,SW219928-1,10,m,6,3,179766924,600.47,262352-17-0,free base,CETP,Torcetrapib is a CETP inhibitor with IC50 of 37 nM; elevates HDL-C and reduces nonHDL-C in plasma. Phase 3.,C12=C(N([C@@H](C[C@H]1N(C(=O)OC)CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)CC)C(OCC)=O)C=CC(=C2)C(F)(F)F,199,http://www.selleckchem.com/products/torcetrapib-cp-529414.html,Metabolism,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C07,Trametinib (GSK1120212),S2673,SW218089-2,10,m,7,3,179619047,615.39,871700-17-3,free base,MEK,Trametinib (GSK1120212) is a highly specific and potent MEK1/2 inhibitor with IC50 of 0.92 nM/1.8 nM; no inhibition of the kinase activities of c-Raf; B-Raf; ERK1/2. Phase 3.,C1(N(C(=C2C(=C1C)N(C(N(C2=O)C3CC3)=O)C4=CC(=CC=C4)NC(C)=O)NC5=CC=C(C=C5F)I)C)=O,162,http://www.selleckchem.com/products/gsk1120212-(jtp-74057).html,MAPK,,L1300-Selleck-FDA-Approved-Drug-Library,sample
SelleckChem004,SP0138-A,C08,CEP-33779,S2806,SW219454-1,10,m,8,3,179702477,462.57,1257704-57-6,free base,JAK,CEP33779 is a selective JAK2 inhibitor with IC50 of 1.8 nM; >40- and >800-fold versus JAK1 and TYK2.,C1(=CC=CC(=C1)NC2N=C3N(N=2)C=CC=C3C4=CC=C(C=C4)S(=O)(C)=O)N5CCN(CC5)C,201,http://www.selleckchem.com/products/cep33779.html,JAK/STAT,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C09,KW-2478,S2685,SW219606-1,10,m,9,3,192917124,574.66,819812-04-9,free base,HSP (e.g. HSP90),KW-2478 is a nonansamycin HSP90 inhibitor with IC50 of 3.8 nM. Phase 1/2,C1=C(C(=C(C(=C1O)C(C2=CC=C(C(=C2)OC)OCCN3CCOCC3)=O)CC(N(CCOC)CCOC)=O)CC)O,200,http://www.selleckchem.com/products/kw-2478.html,Cytoskeletal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C10,Tyrphostin AG 879,S2816,SW219152-1,10,m,10,3,194487639,316.46,148741-30-4,free base,HER2,Tyrphostin AG 879 potently inhibits HER2/ErbB2 with IC50 of 1 _M; 100- and 500-fold higher selective to ErbB2 than PDGFR and EGFR.,C(/C(=C/C1C=C(C(=C(C=1)C(C)(C)C)O)C(C)(C)C)C#N)(N)=S,113,http://www.selleckchem.com/products/tyrphostin-ag-879-ag-879.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C11,Resminostat,S2693,SW219675-1,10,m,11,3,192893001,349.4,864814-88-0,free base,HDAC,Resminostat dose-dependently and selectively inhibits HDAC1/3/6 with IC50 of 42.5 nM/50.1 nM/71.8 nM; less potent to HDAC8 with IC50 of 877 nM.,C1=C(C=CC(=C1)CN(C)C)S(N2C=CC(=C2)/C=C/C(NO)=O)(=O)=O,200,http://www.selleckchem.com/products/resminostat-ras2410.html,Epigenetics,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem004,SP0138-A,C12,ML133 HCl,S2825,SW219467-1,10,m,12,3,192919571,313.82,1222781-70-5,hydrochloride,Potassium Channel,ML133 is a selective potassium channel inhibitor for Kir2.1 with IC50 of 1.8 _M (pH 7.4) and 290 nM (pH 8.5); has no effect on Kir1.1 and weak activity for Kir4.1 and Kir7.1.,C1(=CC2=C(C=C1)C(=CC=C2)CNCC3=CC=C(C=C3)OC).Cl,200,http://www.selleckchem.com/products/Ml-133-hcl.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library,sample
