384 Plate ID,Plate Map,Well,Human Readable Name,CatNumber,MoleculeID,Concentration,Unit,Well X,Well Y,Volume,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Notes,Library,sample_type
SelleckChem003 1to5,SP0143-A,A11,Avasimibe,S2187,SW219628-1,2,m,11,1,25,179709767,501.72,166518-60-1,free base,P450 (e.g. CYP17),Avasimibe inhibits ACAT with IC50 of 3.3 _M; also inhibits human P450 isoenzymes CYP2C9; CYP1A2 and CYP2C19 with IC50 of 2.9 _M; 13.9 _M and 26.5 _M;,C1=C(C=C(C(=C1C(C)C)CC(NS(OC2=C(C=CC=C2C(C)C)C(C)C)(=O)=O)=O)C(C)C)C(C)C,199,http://www.selleckchem.com/products/Avasimibe(CI-1011).html,Metabolism,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A12,Luteolin,S2320,SW196433-3,2,m,12,1,25,192966925,286.24,491-70-3,free base,PDE,Luteolin is a flavonoid found in Terminalia chebula; which is a non-selective phisphodiesterase PDE inhibitor for PDE1-5 with Ki of 15.0 &mu;M; 6.4 &mu;M; 13.9 &mu;M; 11.1 &mu;M and 9.5 &mu;M; respectively.,C1(=CC(=C2C(=C1)OC(=CC2=O)C3=CC=C(C(=C3)O)O)O)O,199,http://www.selleckchem.com/products/Luteolin(Luteolol).html,Metabolism,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A13,NVP-BHG712,S2202,SW219930-1,2,m,13,1,25,192901195,503.48,940310-85-0,free base,Raf;Src;Bcr-Abl;VEGFR;Ephrin receptor,NVP-BHG712 is a specific EphB4 inhibitor with ED50 of 25 nM that discriminates between VEGFR and EphB4 inhibition; also shows activity against c-Raf; c-Src and c-Abl with IC50 of 0.395 _M; 1.266 _M and 1.667 _M; respectively.,C12=C(N=C(N=C1NC3=CC(=CC=C3C)C(NC4=CC=CC(=C4)C(F)(F)F)=O)C5=CC=CN=C5)N(N=C2)C,200,http://www.selleckchem.com/products/NVP-BHG712.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A14,Naringin,S2329,SW219654-1,2,m,14,1,25,192948656,580.53,10236-47-2,free base,Others,Naringin is a flavanone glycoside; which exerts a variety of pharmacological effects such as antioxidant activity; blood lipid lowering; anticancer activity; and inhibition of cytochrome P450 enzymes.,C1=C(C=C2C(=C1O)C(C[C@H](O2)C3=CC=C(C=C3)O)=O)O[C@@H]4O[C@@H]([C@H]([C@@H]([C@@H]4O[C@@H]5O[C@H]([C@@H]([C@H]([C@@H]5O)O)O)C)O)O)CO,199,http://www.selleckchem.com/products/Naringin(Naringoside).html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A15,PP242,S2218,SW220211-1,2,m,15,1,25,192941055,308.34,1092351-67-1,free base,mTOR;Autophagy,PP242 is a selective mTOR inhibitor with IC50 of 8 nM; targets both mTOR complexes with >10- and 100-fold selectivity for mTOR than PI3K_ or PI3K_/_/_; respectively.,N1=CN=C2C(=C1N)C(=NN2C(C)C)C3NC4=C(C=3)C=C(C=C4)O,201,http://www.selleckchem.com/products/PP242.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A16,Oxymatrine,S2338,SW220031-1,2,m,16,1,25,192932161,264.36,16837-52-8,free base,Others,Oxymatrine is a quinolizidine alkaloid extracted from the root of Sophora flavescens; which is used for the treatment of viral hepatitis; cancer; viral myocarditis; gastrointestinal hemorrhage and skin diseases.,C1CC[N+]2([C@]3([C@]1(CN4[C@@]([C@](CCC2)3[H])(CCCC4=O)[H])[H])[H])[O-],200,http://www.selleckchem.com/products/Oxymatrine(Matrine-N-oxide).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A17,PIK-294,S2227,SW220212-1,2,m,17,1,25,192890875,489.53,900185-02-6,free base,PI3K,PIK-294 is a highly selective p110_ inhibitor with IC50 of 10 nM; 1000-; 49- and 16-fold less potent to PI3K_/_/_; respectively.,N1=CN=C2C(=C1N)C(=NN2CC3N(C(C4=C(N=3)C=CC=C4C)=O)C5=C(C=CC=C5)C)C6=CC(=CC=C6)O,200,http://www.selleckchem.com/products/PIK-294.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A18,Rutaecarpine,S2349,SW220226-1,2,m,18,1,25,192917765,287.32,84-26-4,free base,Others,Rutaecarpine is an indolopyridoquinazolinone alkaloid isolated from Evodia rutaecarpa and related herbs.,N12C(=NC3=C(C1=O)C=CC=C3)C4=C(CC2)C5=C(N4)C=CC=C5,83,http://www.selleckchem.com/products/Rutaecarpine(Rutecarpine).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A19,Palomid 529 (P529),S2238,SW219676-1,2,m,19,1,25,179703093,406.43,914913-88-5,free base,mTOR,Palomid 529 inhibits both the mTORC1 and mTORC2 complexes; reduces phosphorylation of pAktS473; pGSK3_S9; and pS6 but no effect observed on pMAPK or pAktT308. Phase 1.,C1=C(C=CC(=C1)COC2=C(C=C3C(=C2)OC(C4=C3C=CC(=C4)C(C)O)=O)OC)OC,199,http://www.selleckchem.com/products/Palomid-529-P529.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A20,Sinomenine,S2359,SW219295-1,2,m,20,1,25,192948465,329.39,115-53-7,free base,Others,Sinomenine; a pure alkaloid extracted from the chinese medical plant Sinomenium acutum; is used for the treatment of rheumatism and arthritis.,C1(=C(C2=C(C=C1)C[C@H]3[C@@]4([C@]2(CC(C(=C4)OC)=O)CCN3C)[H])O)OC,200,http://www.selleckchem.com/products/Sinomenine(Cucoline).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A21,(+)-Usniacin,S2252,SW219509-1,2,m,21,1,25,192874044,344.32,7562-61-0,free base,Others,(+)-Usniacin is a naturally occurring dibenzofuran derivative found in several lichen species.,C1(C(C=C2[C@@](C=1O)(C3=C(O2)C(=C(C(=C3O)C)O)C(C)=O)C)=O)C(=O)C,11.61,http://www.selleckchem.com/products/(+)-Usniacin(D-Usnic-acid).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A22,Ursolic Acid,S2370,SW219586-1,2,m,22,1,25,192882386,456.7,77-52-1,free base,Others,Ursolic acid (Malol) is a pentacyclic triterpene acid; used in cosmetics.,C1[C@@H](C([C@]2([C@](C1)([C@]3([C@@](CC2)([C@]4(C(=CC3)[C@@]5(C(CC4)[C@@H](C[C@H]([C@H]5C)C)C(=O)O)[H])C)C)[H])C)[H])(C)C)O,199,http://www.selleckchem.com/products/Ursolic-acid(Malol).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,A23,,Bx,Bx-A23,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,A24,,Bx,Bx-A24,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,B01,,Bx,Bx-B01,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,B02,,Bx,Bx-B02,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,B03,Lappaconite HBr,S2387,SW219518-1,2,m,3,2,25,192874768,665.61,97792-45-5,hydrobromide,Others,Lappaconite Hydrobromide is a kind of alkaloid extracted from Aconitum sinomontanum Nakai and has anti-inflammatory effects.,C1(C[C@@]2([C@@]3([C@@]4([C@@H]1OC)[C@@]5([C@]6([C@@]([C@H](C3)C4N(C2)CC)(C[C@@H]([C@]([C@@H]6OC)(C5)[H])OC)O)O)[H])[H])OC(C7=C(C=CC=C7)NC(=O)C)=O).Br,42,http://www.selleckchem.com/products/Lappaconite-Hydrobromide.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B04,Naphazoline HCl,S2519,SW196701-3,2,m,4,2,25,192954112,246.74,550-99-2,hydrochloride,Adrenergic Receptor,Naphazoline hydrochloride (Naphcon) is an ocular vasoconstrictor and imidazoline derivative sympathomimetic amine.,C12(=CC=CC(=C1C=CC=C2)CC3=NCCN3).Cl,68,http://www.selleckchem.com/products/Naphazoline-hydrochloride-Naphcon.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B05,Salidroside,S2396,SW219124-1,2,m,5,2,25,192948686,300.3,10338-51-9,free base,Others,Salidroside; a phenylpropanoid glycoside isolated from Rhodiola rosea; has been reported to have a broad spectrum of pharmacological properties.,[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)OCCC2=CC=C(C=C2)O)O)O)O)CO,199.8,http://www.selleckchem.com/products/Salidroside-Rhodioloside.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B06,Dopamine HCl,S2529,SW199608-2,2,m,6,2,25,192954064,189.64,62-31-7,hydrochloride,Dopamine Receptor,Dopamine hydrochloride (Inotropin) is a catecholamine neurotransmitter present in a wide variety of animals;And a dopamine D1-5 receptors agonist.,C1(=C(C=CC(=C1)CCN)O)O.Cl,200,http://www.selleckchem.com/products/Dopamine-hydrochloride-Inotropin.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B07,Curcumol,S2407,SW219224-1,2,m,7,2,25,192882285,236.35,4871-97-0,free base,Others,Curcumol is a pure monomer isolated from Rhizoma Curcumaeis with antitumor activities.,C1([C@]2([C@]3(C[C@H]([C@](C1)(O)O3)C(C)C)[C@@H](CC2)C)[H])=C,198,http://www.selleckchem.com/products/Curcumol.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B08,Acetanilide,S2538,SW220057-1,2,m,8,2,25,192875220,135.16,103-84-4,free base,Others,Acetanilide is an aniline derivative and has possess analgesic.,CC(=O)NC1=CC=CC=C1,199,http://www.selleckchem.com/products/Acetanilide-Antifebrin.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B09,20-Hydroxyecdysone,S2417,SW219114-1,2,m,9,2,25,192894428,480.63,5289-74-7,free base,Others,20-Hydroxyecdysone (Ecdysterone; 20E) is a naturally occurring ecdysteroid hormone which controls the ecdysis (moulting) and metamorphosis of arthropods.,[C@H]1([C@@H](C[C@@]2([C@](C1)([C@]3(C(=CC2=O)[C@]4([C@](CC3)([C@@H](CC4)[C@@]([C@@H](CCC(C)(O)C)O)(C)O)C)O)[H])C)[H])O)O,199,http://www.selleckchem.com/products/20-hydroxyecdysone.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B10,Tolterodine tartrate,S2550,SW197495-2,2,m,10,2,25,192954058,475.57,124937-52-6,tartrate,AChR,Tolterodine tartrate (Detrol LA) is a tartrate salt of tolterodine that is a competitive muscarinic receptor antagonist.,C1(=C(C=C(C(=C1)O)[C@@H](C2=CC=CC=C2)CCN(C(C)C)C(C)C)C).O=C(O)[C@@H]([C@H](C(O)=O)O)O,199,http://www.selleckchem.com/products/Tolterodine-tartrate-Detrol-LA.html,Neuronal Signaling,,L1400-Selleck-Natural-Product-Library,sample
SelleckChem003 1to5,SP0143-A,B11,Guanosine,S2439,SW219951-1,2,m,11,2,25,192918073,283.24,118-00-3,free base,Others,Guanosine is a purine nucleoside comprising guanine attached to a ribose (ribofuranose) ring via a &beta;-N9-glycosidic bond.,C12N([C@@H]3O[C@@H](CO)[C@H]([C@H]3O)O)C=NC=1C(NC(=N2)N)=O,201.24,http://www.selleckchem.com/products/guanosine.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B12,Cortisone acetate,S2559,SW219998-1,2,m,12,2,25,192865824,402.48,1950-04-04,free base,Others,Cortisone acetate (Cortone) is an acetate salt form of cortisone that is a steroid hormone and a glucocorticoid.,C1C(C=C2[C@](C1)([C@]3([C@@](CC2)([C@]4([C@](CC3=O)([C@@](CC4)(C(COC(C)=O)=O)O)C)[H])[H])[H])C)=O,17,http://www.selleckchem.com/products/Cortisone-acetate-Cortone.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B13,Benserazide HCl,S2453,SW196391-3,2,m,13,2,25,192952935,293.7,14919-77-8,hydrochloride,Dopamine Receptor;Others,Benserazide HCl is a peripherally-acting aromatic L-amino acid decarboxylase (AAAD) or DOPA decarboxylase inhibitor.,C1(=C(C(=C(C=C1)CNNC(C(N)CO)=O)O)O)O.Cl,200,selleckchem.com/products/Benserazide-hydrochloride(Serazide).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B14,Prednisolone acetate (Omnipred),S2570,SW219980-1,2,m,14,2,25,192901637,402.48,52-21-1,Immunology,Glucocorticoid Receptor,Prednisolone Acetate is a synthetic corticosteroid drug that is particularly effective as an immunosuppressant agent.,C1C(C=C2[C@](C=1)([C@]3([C@@](CC2)([C@]4([C@](C[C@H]3O)([C@@](CC4)(C(COC(=O)C)=O)O)C)[H])[H])[H])C)=O,201.25,https://www.selleckchem.com/products/Prednisolone-acetate-Omnipred.html,Endocrinology & Hormones,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B15,Domperidone,S2461,SW196931-3,2,m,15,2,25,192953504,425.91,57808-66-9,free base,Dopamine Receptor,Domperidone(Motilium) is a dopamine blocker and an antidopaminergic reagent.,C(CCN1CCC(CC1)N2C3=C(NC2=O)C=C(C=C3)Cl)N4C(NC5=C4C=CC=C5)=O,112,http://www.selleckchem.com/products/Domperidone(Motilium).html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B16,Clobetasol propionate,S2584,SW219970-1,2,m,16,2,25,192882851,466.97,25122-46-7,propionate,Others,Clobetasol propionate is a anti-inflammatory corticosteroid used to treat various skin disorders.,C1C(C=C2[C@](C=1)([C@]3([C@@](CC2)([C@]4([C@](C[C@]3(O)[H])([C@@]([C@](C4)(C)[H])(C(CCl)=O)OC(CC)=O)C)[H])[H])F)C)=O,199,http://www.selleckchem.com/products/clobetasol-propionate.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B17,Itraconazole,S2476,SW219756-1,2,m,17,2,25,194469540,705.65031,84625-61-6,free base,Others,Itraconazole is a triazole antifungal agent.,C1=CC(=CC=C1N2CCN(CC2)C3=CC=C(C=C3)N4C(N(N=C4)C(CC)C)=O)OC[C@@H]5O[C@@](OC5)(CN6C=NC=N6)C7=CC=C(C=C7Cl)Cl,5.67,http://www.selleckchem.com/products/Itraconazole(Sporanox).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B18,L-Thyroxine,S2599,SW196731-3,2,m,18,2,25,192897950,776.87,51-48-9,free base,Others,L-Thyroxine is a synthetic form of thyroxine and a hormone replacement drug.,C1(=C(C=C(C=C1I)OC2=C(C=C(C=C2I)C[C@@H](C(O)=O)N)I)I)O,199,http://www.selleckchem.com/products/l-thyroxine.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B19,Mycophenolic acid,S2487,SW196951-2,2,m,19,2,25,194469965,320.34,24280-93-1,free base,Others,Mycophenolic acid is an immunosuppressant agent used to prevent rejection in organ transplantation.,C12=C(C(=C(C(=C1O)C/C=C(\C)CCC(=O)O)OC)C)COC2=O,199,http://www.selleckchem.com/products/Mycophenolic-acid(Mycophenolate).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B20,Fluocinonide,S2608,SW219968-1,2,m,20,2,25,192913425,494.52,356-12-7,free base,Others,Fluocinonide (Vanos) is a potent glucocorticoid steroid used topically as anti-inflammatory agent for the treatment of skin disorders such as eczema.,C1C(C=C2[C@](C=1)([C@]3([C@@](C[C@@H]2F)([C@]4([C@](C[C@H]3O)([C@@]5([C@@H](C4)OC(O5)(C)C)C(COC(C)=O)=O)C)[H])[H])F)C)=O,200,http://www.selleckchem.com/products/Fluocinonide(Vanos).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B21,Pancuronium dibromide,S2497,SW219131-1,2,m,21,2,25,192897974,732.67,15500-66-0,bromide,AChR,Pancuronium dibromide is a competitive acetylcholine antagonist with an IC50 of 5.5 ± 0.5 nM.,[C@H]1([C@H](C[C@]2([C@](C1)([C@]3([C@@](CC2)([C@]4([C@](CC3)([C@@H]([C@H](C4)[N+]5(CCCCC5)C)OC(C)=O)C)[H])[H])[H])C)[H])OC(C)=O)[N+]6(CCCCC6)C.[Br-].[Br-],136,http://www.selleckchem.com/products/Pancuronium-bromide(Pavulon).html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B22,GSK256066,S2620,SW219741-1,2,m,22,2,25,179710136,518.58,801312-28-7,free base,PDE,GSK256066 is a selective PDE4B(equal affinity to isoforms A-D) inhibitor with IC50 of 3.2 pM; >380;000-fold selectivity versus PDE1/2/3/5/6 and >2500-fold selectivity against PDE4B versus PDE7.,C1=CC(=CC(=C1)S(C2=CC(=C3C(=C2)C(=C(C=N3)C(=O)N)NC4=CC(=CC=C4)OC)C)(=O)=O)C(N(C)C)=O,0,http://www.selleckchem.com/products/gsk256066.html,Metabolism,Insoluble in DMSO; Water; and EtOH,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,B23,,Bx,Bx-B23,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,B24,,Bx,Bx-B24,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,C01,,Bx,Bx-C01,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,C02,,Bx,Bx-C02,,,,,,,,,,,,,,,,,,vehicle_control
SelleckChem003 1to5,SP0143-A,C03,Mestranol,S2125,SW219958-1,2,m,3,3,25,194469227,310.43,72-33-3,free base,Others,Mestranol is the 3-methyl ether of ethinylestradiol. It was the estrogen used in many of the first oral contraceptives.,C1C(=CC2=C(C=1)[C@]3([C@@](CC2)([C@]4([C@](CC3)([C@](CC4)(C#C)O)C)[H])[H])[H])OC,48,http://www.selleckchem.com/products/Mestranol.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,C04,beta-Sitosterol,S2273,SW220313-1,2,m,4,3,25,192898348,414.71,83-46-5,,Others,Beta-Sitosterol is one of several phytosterols (plant sterols) with chemical structures similar to that of cholesterol.,C1[C@@H](CC2[C@](C1)([C@]3([C@@](CC=2)([C@]4([C@](CC3)([C@]([C@@H](CC[C@@H](CC)C(C)C)C)(CC4)[H])C)[H])[H])[H])C)O,0.24,https://www.selleckchem.com/products/Beta-Sitosterol.html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,C05,LDE225 (NVP-LDE225;Erismodegib),S2151,SW218115-2,2,m,5,3,25,192891086,485.5,956697-53-3,free base,Hedgehog/Smoothened,LDE225 (NVP-LDE225) is a Smoothened (Smo) antagonist; inhibiting Hedgehog (Hh) signaling with IC50 of 1.3 nM (mouse) and 2.5 nM (human); respectively. Phase 3.,C1(=CC=C(N=C1)N2C[C@@H](O[C@@H](C2)C)C)NC(C3=C(C(=CC=C3)C4=CC=C(C=C4)OC(F)(F)F)C)=O,199,http://www.selleckchem.com/products/LDE225(NVP-LDE225).html,Stem Cells &  Wnt,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,C06,Cytisine,S2287,SW219952-1,2,m,6,3,25,192965633,190.24,485-35-8,free base,Others,Cytisine is a nicotinic acetylcholine receptor agonist.,C12N(C(C=CC=1)=O)C[C@@H]3CNC[C@H]2C3,199,http://www.selleckchem.com/products/Cytisine(Baphitoxine;-Sophorine).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,C07,RAF265 (CHIR-265),S2161,SW219923-1,2,m,7,3,25,192886024,518.41,927880-90-8,free base,VEGFR;Raf,RAF265 (CHIR-265) is a potent selective inhibitor of C-Raf/B-Raf/B-Raf V600E with IC50 of 3-60 nM; and exhibits potent inhibition on VEGFR2 phosphorylation with EC50 of 30 nM. Phase 2.,C12=C(C=CC(=C1)OC3=CC=NC(=C3)C4NC(=CN=4)C(F)(F)F)N(C(=N2)NC5=CC=C(C=C5)C(F)(F)F)C,192,http://www.selleckchem.com/products/RAF265(CHIR-265).html,MAPK,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,C08,Ferulic Acid,S2300,SW219616-1,2,m,8,3,25,192946656,194.19,1135-24-6,free base,Others,Ferulic Acid is a hydroxycinnamic acid and a type of organic compound found in the Ferula assafoetida L. or Ligusticum chuanxiong.,C1=C(C(=CC(=C1)/C=C/C(O)=O)OC)O,200.83,http://www.selleckchem.com/products/Fumalic-acid(Ferulic-acid).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,C09,AG-14361,S2178,SW219936-1,2,m,9,3,25,179665807,320.39,328543-09-5,free base,PARP,AG14361 is a potent inhibitor of PARP1 with Ki of <5 nM. It is at least 1000-fold more potent than the benzamides.,C12=C3C=CC=C1N=C(N2CCNC3=O)C4=CC=C(C=C4)CN(C)C,37,http://www.selleckchem.com/products/AG14361.html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library,sample
SelleckChem003 1to5,SP0143-A,C10,Hyodeoxycholic acid (HDCA),S2311,SW219598-1,2,m,10,3,25,192966863,392.57,83-49-8,free base,Others,Hyodeoxycholic(HDCA) acid is a secondary bile acid; one of the metabolic byproducts of intestinal bacteria.,C1[C@H](C[C@@]2([C@](C1)([C@]3([C@@](C[C@@H]2O)([C@]4([C@](CC3)([C@@H](CC4)[C@H](C)CCC(O)=O)C)[H])[H])[H])C)[H])O,201,http://www.selleckchem.com/products/Hyodeoxycholic-acid(HDCA).html,Others,,L1700-Selleck-Bioactive-Compound-Library,sample
