384 Plate ID,Plate Map,Well,Human Readable Name,Catalog No.,MoleculeID,Concentration,Unit,Well X,Well Y,Volume,Barcode,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Notes,Library
SelleckChem001,SP0135-A,A11,Y-27632 2HCl,S1049,Y-27632 2HCl,10,m,11,1,25,194486667,320.26,129830-38-2,dihydrochloric,Autophagy;ROCK,Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM; exhibits >200-fold selectivity over other kinases; including PKC; cAMP-dependent protein kinase; MLCK and PAK.,[C@@H]1(CC[C@@H](CC1)[C@@H](C)N)C(=O)NC2(C=CN=CC=2).Cl.Cl,199.84,http://www.selleckchem.com/products/Y-27632.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A12,ABT-751 (E7010),S1165,ABT-751 (E7010),10,m,12,1,25,179764939,371.41,141430-65-1,free base,Microtubule Associated,ABT-751 (E7010) binds to the colchicine site on _-tubulin and inhibits polymerization of microtubules; not a substrate for the MDR transporter and is active against cell lines resistant to vincristine; doxorubicin; and cisplatin. Phase 1/2.,C1=C(C=CC(=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O)OC,199.24,http://www.selleckchem.com/products/ABT-751.html,Cytoskeletal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A13,Masitinib (AB1010),S1064,Masitinib (AB1010),10,m,13,1,25,192880604,498.64,790299-79-5,free base,PDGFR;c-Kit,Masitinib is a novel inhibitor for Kit and PDGFR_/_ with IC50 of 200 nM and 540 nM/800 nM; weak inhibition to ABL and c-Fms. Phase 2/3.,C1(=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CC=CN=C5)C,200.55,http://www.selleckchem.com/products/Masitinib-(AB1010).html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A14,WZ4002,S1173,WZ4002,10,m,14,1,25,192873716,494.18,1213269-23-8,free base,EGFR,WZ4002 is a novel; mutant-selective EGFR inhibitor for EGFR(L858R)/(T790M) with IC50 of 2 nM/8 nM; does not inhibit ERBB2 phosphorylation (T798I).,C1(=CC(=C(C=C1)NC2=NC=C(C(=N2)OC3=CC(=CC=C3)NC(C=C)=O)Cl)OC)N4CCN(CC4)C,26.31,http://www.selleckchem.com/products/WZ4002.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A15,ZSTK474,S1072,ZSTK474,10,m,15,1,25,194486611,417.41,475110-96-4,free base,PI3K,ZSTK474 inhibits class I PI3Kisoforms with IC50 of 37 nM; mostly PI3K_. ,N1=C(N=C(N=C1N2CCOCC2)N3C4=C(N=C3C(F)F)C=CC=C4)N5CCOCC5,50.31,http://www.selleckchem.com/products/ZSTK474.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A16,ENMD-2076,S1181,ENMD-2076,10,m,16,1,25,192878412,375.47,934353-76-1,tartaric acid,Aurora Kinase;FLT3;VEGFR,ENMD-2076 has selective activity against Aurora A and Flt3 with IC50 of 14 nM and 1.86 nM; 25-fold selective for Aurora A than over Aurora B and less potent to VEGFR2/KDR and VEGFR3; FGFR1 and FGFR2 and PDGFR_. Phase 2.,C1(N=C(C=C(N=1)N2CCN(CC2)C)NC3=NNC(=C3)C)/C=C/C4C=CC=CC=4,279.65,http://www.selleckchem.com/products/ENMD-2076.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A17,Belinostat (PXD101),S1085,Belinostat (PXD101),10,m,17,1,25,179703483,318.35,414864-00-9,free base,HDAC,Belinostat (PXD101) is a novel HDAC inhibitor with IC50 of 27 nM; with activity demonstrated in cisplatin-resistant tumors. Phase 1/2.,C1(=CC=CC(=C1)/C=C/C(NO)=O)S(NC2=CC=CC=C2)(=O)=O,201.04,http://www.selleckchem.com/products/Belinostat.html,Epigenetics,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A18,Raltitrexed,S1192,Raltitrexed,10,m,18,1,25,192949042,458.49,112887-68-0,free base,DNA/RNA Synthesis,Raltitrexed is a thymidylate synthase inhibitor with an IC50 of 9 nM for the inhibition of L1210 cell growth.,C([C@H](CCC(=O)O)NC(=O)C1=CC=C(S1)N(CC2=CC3C(NC(=NC(C=C2)=3)C)=O)C)(=O)O,200.66,http://www.selleckchem.com/products/Raltitrexed.html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A19,PF-04217903,S1094,PF-04217903,10,m,19,1,25,192887524,372.38,956905-27-4,free base,c-Met,PF-04217903 is a selective ATP-competitive c-Met inhibitor with IC50 of 4.8 nM; susceptible to oncogenic mutations (no activity to Y1230C mutant). Phase 1.,C12=CC=CN=C1C=CC(=C2)CN3C4=C(N=N3)N=CC(=N4)C5=CN(N=C5)CCO,13.43,http://www.selleckchem.com/products/PF-04217903.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A20,Decitabine,S1200,Decitabine,10,m,20,1,25,192931507,228.21,2353-33-5,free base,DNA Methyltransferase,Decitabine is a potent inhibitor of DNA methylation with IC50 of 438 nM and 4.38 nM in HL-60 and KG1a cells; respectively.,[C@H]1(O[C@@H]([C@H](C1)O)CO)N2C=NC(=NC2=O)N,201.57,http://www.selleckchem.com/products/Decitabine.html,Epigenetics,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A21,ZM 447439,S1103,ZM 447439,10,m,21,1,25,192885483,513.59,331771-20-1,free base,Aurora Kinase,ZM 447439 is a selective and ATP-competitive inhibitor for Aurora A and Aurora B with IC50 of 110 nM and 130 nM; respectively. It is more than 8-fold selective for Aurora A/B than MEK1; Src; Lck and has little effect againstCDK1/2/4; Plk1; Chk1; etc.,O1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CN=C3NC4=CC=C(C=C4)NC(=O)C5=CC=CC=C5)OC,200.55,http://www.selleckchem.com/products/ZM-447439.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,A22,Fluorouracil (5-Fluoracil; 5-FU),S1209,Fluorouracil (5-Fluoracil; 5-FU),10,m,22,1,25,192879364,130.08,51-21-8,free base,DNA/RNA Synthesis,Fluorouracil (5-Fluoracil; 5-FU) is an DNA/RNA synthesis inhibitor; which interrupts nucleotide synthetic by inhibiting thymidylate synthase (TS).,C1(NC(C(=CN1)F)=O)=O,199.88,http://www.selleckchem.com/products/Adrucil(Fluorouracil).html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B01,DMSO_B01,,DMSO_B01,,,1,2,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B02,DMSO_B02,,DMSO_B02,,,2,2,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B03,Idarubicin HCl,S1228,Idarubicin HCl,10,m,3,2,25,192878950,533.95,57852-57-0,hydrochloride,Topoisomerase,Idarubicin HCl is a hydrochloride salt form of Idarubicin which is an anthracycline antibiotic and a DNA topoisomerase II (topo II) inhibitor for MCF-7 cells with IC50 of 3.3 ng/mL.,C1(=CC=C2C(=C1)C(C3=C(C2=O)C(=C4C(=C3O)[C@@H](C[C@@](C4)(C(C)=O)O)O[C@@H]5O[C@H]([C@H]([C@H](C5)N)O)C)O)=O).Cl,187.28,http://www.selleckchem.com/products/Idarubicin.html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B04,Ruxolitinib (INCB018424),S1378,Ruxolitinib (INCB018424),10,m,4,2,25,192866444,306.37,941678-49-5,free base,JAK,INCB018424 is the first potent; selective; JAK1/2 inhibitor to enter the clinic with IC50 of 3.3 nM/2.8 nM; >130-fold selectivity for JAK1/2 versus JAK3. Phase 3.,N1=CN=C2C(=C1C3=CN(N=C3)[C@@H](CC#N)C4CCCC4)C=CN2,199.11,http://www.selleckchem.com/products/INCB18424.html,JAK/STAT,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B05,Agomelatine,S1243,Agomelatine,10,m,5,2,25,192931287,243.3,138112-76-2,free base,5-HT Receptor,Agomelatine is classified as a norepinephrine-dopamine disinhibitor (NDDI) due to its antagonism of the 5-HT2C receptor.,C(C)(=O)NCCC1C=CC=C2C=CC(=CC=12)OC,201.4,http://www.selleckchem.com/products/Agomelatine.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B06,Omeprazole ,S1389,Omeprazole ,10,m,6,2,25,192961264,345.42,73590-58-6,free base,Autophagy;Proton Pump,Omeprazole(Prilosec) is a proton pump inhibitor used in the treatment of dyspepsia.,C1=C(C=C2C(=C1)NC(=N2)S(=O)CC3=C(C(=C(C=N3)C)OC)C)OC,199.76,http://www.selleckchem.com/products/Omeprazole.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B07,Nepafenac,S1255,Nepafenac,10,m,7,2,25,192864283,254.28,78281-72-8,free base,Others,Nepafenac is a non-steroidal anti-inflammatory agent.,C(CC1C(=C(C=CC=1)C(C2C=CC=CC=2)=O)N)(=O)N,200.57,http://www.selleckchem.com/products/Nepafenac.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B08,Stavudine (d4T),S1398,Stavudine (d4T),10,m,8,2,25,192917480,224.21,3056-17-5,free base,Reverse Transcriptase,Stavudine is a nucleoside analog reverse transcriptase inhibitor (NARTI) active against HIV. ,O1C(C=CC1CO)N2C(NC(C(=C2)C)=O)=O,200.7,http://www.selleckchem.com/products/Stavudine.html,Microbiology,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B09,PD173074,S1264,PD173074,10,m,9,2,25,192944853,523.67,219580-11-7,free base,VEGFR;FGFR,PD173074 is a potent FGFR1 inhibitor with IC50 of ~25 nM and also inhibits VEGFR2 with IC50 of 100-200 nM; ~1000-fold selective for FGFR1 than PDGFR and c-Src.,N1=C(N=C2C(=C1)C=C(C(=N2)NC(NC(C)(C)C)=O)C3=CC(=CC(=C3)OC)OC)NCCCCN(CC)CC,190.96,http://www.selleckchem.com/products/PD-173074.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B10,Clopidogrel,S1415,Clopidogrel,10,m,10,2,25,192879174,419.9,120202-66-6,sulfate,P2 Receptor,Clopidogrel (Plavix) is an oral; thienopyridine class antiplatelet agent.,C1(=CC=CC(=C1Cl)[C@H](N2CCC3=C(C2)C=CS3)C(=O)OC).OS(O)(=O)=O,200.05,http://www.selleckchem.com/products/Clopidogrel-bisulfate.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B11,Amisulpride,S1280,Amisulpride,10,m,11,2,25,192880261,369.48,71675-85-9,free base,Dopamine Receptor,Amisulpride is an atypical antipsychotic used to treat psychosis in schizophrenia and episodes of mania in bipolar disorder.,C1C(N(CC1)CC)CNC(C2=CC(=C(C=C2OC)N)S(CC)(=O)=O)=O,200.28,http://www.selleckchem.com/products/Amisulpride.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B12,Tizanidine HCl,S1437,Tizanidine HCl,10,m,12,2,25,192879035,290.17,64461-82-1,hydrochloride,Adrenergic Receptor,Tizanidine HCl is an _2-adrenergic receptor agonist and inhibits neurotransmitter release from CNS noradrenergic neurons.,C1(C=CC2C(C=1NC3NCCN=3)=NSN=2)Cl.Cl,34.46,http://www.selleckchem.com/products/Tizanidine-hydrochloride.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B13,Camptothecin,S1288,Camptothecin,10,m,13,2,25,192885654,348.35,7689-3-4,free base,Topoisomerase,Camptothecin is a specific inhibitor of DNA topoisomerase I (Topo I) with IC50 of 0.68 _M. Phase 2.,O1C([C@@](C2=C(C1)C(N3C(=C2)C4=C(C3)C=C5C(=N4)C=CC=C5)=O)(CC)O)=O,5.74,http://www.selleckchem.com/products/Camptothecine.html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B14,Nanchangmycin,S1450,Nanchangmycin,10,m,14,2,25,192917475,889.1,65101-87-3,free base,Others,Nanchangmycin (dianemycin) is a polyether antibiotic with similar structure to dianemycin and is very active against a broad spectrum of harmful nematodes and insects but not for for mammals and plants.,[O-]C([C@H](C[C@@H](C)C(/C(=C/[C@@H]([C@]1(O[C@]2(C[C@@H]([C@@H]1C)O)CC[C@](O2)([C@@]3(O[C@]4([C@@H]([C@H](C3)OC5O[C@@H]([C@H](CC5)OC)C)C)[C@H](C[C@@](O4)([C@]6(O[C@]([C@@H](C[C@H]6C)C)(CO)O)[H])[H])C)[H])C)[H])C)C)=O)C)=O.[Na+],112.47,http://www.selleckchem.com/products/Nanchangmycin.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B15,Ifosfamide,S1302,Ifosfamide,10,m,15,2,25,192897078,261.09,3778-73-2,free base,DNA/RNA Synthesis,Ifosfamide is a nitrogen mustard alkylating agent used in the treatment of cancer.,C1COP(N(C1)CCCl)(NCCCl)=O,199.17,http://www.selleckchem.com/products/Ifosfamide.html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B16,VX-745,S1458,VX-745,10,m,16,2,25,192885380,436.26,209410-46-8,free base,p38 MAPK,VX-745 is a potent and selective inhibitor of p38_ with IC50 of 10 nM; 22-fold greater selectivity versus p38_ and no inhibition to p38_.,C1=C(C=CC(=C1F)SC2C=CC3N(N=2)C=NC(C=3C4=C(C=CC=C4Cl)Cl)=O)F,34.38,http://www.selleckchem.com/products/VX-745.html,MAPK,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B17,Edaravone,S1326,Edaravone,10,m,17,2,25,192897247,174.2,89-25-8,free base,Others,Edaravone; a strong novel free radical scavenger; is used for treatment of patients with acute brain infarction.,C1(CC(N(N=1)C2=CC=CC=C2)=O)C,200.92,http://www.selleckchem.com/products/Edaravone.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B18,Calcifediol,S1469,Calcifediol,10,m,18,2,25,192881430,400.64,19356-17-3,free base,Others,Calcifediol is a major circulating metabolite of vitamin D3 and acts as a competitive inhibitor with an apparent Ki of 3.9 _M. It also suppresses PTH secretion and mRNA (ED50=2 nM),C1[C@H](CCC(C/1=C/C=C2/[C@]3([C@](CCC2)([C@]([C@@H](CCCC(C)(C)O)C)(CC3)[H])C)[H])=C)O,199.68,http://www.selleckchem.com/products/Calcifediol.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B19,Fluvoxamine maleate,S1336,Fluvoxamine maleate,10,m,19,2,25,192886991,434.41,61718-82-9,maleate,5-HT Receptor,Fluvoxamine maleate is a selective serotonin (5-HT) reuptake inhibitor (SSRI).,C1(=CC=C(C=C1)/C(CCCCOC)=N/OCCN)C(F)(F)F.C(/C(=O)O)=C\C(=O)O,200.27,http://www.selleckchem.com/products/Fluvoxamine-maleate.html,Neuronal Signaling,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B20,Zosuquidar (LY335979) 3HCl,S1481,Zosuquidar (LY335979) 3HCl,10,m,20,2,25,179680079,636.99,167465-36-3,hydrochloride,P-gp,Zosuquidar (LY335979) is a potent modulator of P-glycoprotein-mediated multi-drug resistance with Ki of 60 nM. Phase 3.,C12(=C(C=CC=C1OC[C@@H](CN3CCN(CC3)[C@@H]4C5=C([C@@H]6[C@H](C7=C4C=CC=C7)C(F)(F)6)C=CC=C5)O)N=CC=C2).Cl.Cl.Cl,156.99,http://www.selleckchem.com/products/LY335979.html,Transmembrane Transporters,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B21,Levetiracetam,S1356,Levetiracetam,10,m,21,2,25,192897010,170.21,102767-28-2,free base,Others,Levetiracetam is an antiepileptic compound.,C1(N(CCC1)[C@H](C(N)=O)CC)=O,199.75,http://www.selleckchem.com/products/Levetiracetam.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,B22,PIK-93,S1489,PIK-93,10,m,22,2,25,192962591,389.88,593960-11-3,free base,PI3K,PIK-93 is the first potent; synthetic PI4K (PI4KIII_) inhibitor with IC50 of 19 nM; shown to inhibit PI3K_ with IC50 of 39 nM.,C1(=C(C=C(C=C1)C2SC(=NC=2C)NC(C)=O)S(=O)(=O)NCCO)Cl,200.06,http://www.selleckchem.com/products/PIK-93.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C01,DMSO_C01,,DMSO_C01,,,1,3,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C02,DMSO_C02,,DMSO_C02,,,2,3,,,,,,,,,,,,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C03,Afatinib (BIBW2992),S1011,Afatinib (BIBW2992),10,m,3,3,25,192903248,485.94,439081-18-2,free base,EGFR;HER2,Afatinib (BIBW2992) irreversibly inhibits EGFR/HER2 including EGFR(wt); EGFR(L858R); EGFR(L858R/T790M) and HER2 with IC50 of 0.5 nM; 0.4 nM; 10 nM and 14 nM; respectively; 100-fold more active against Gefitinib-resistant L858R-T790M EGFR mutant. Phase 3.,C1(=C(C=C(C=C1)NC2=NC=NC3=C2C=C(C(=C3)O[C@H]4CCOC4)NC(/C=C/CN(C)C)=O)Cl)F,199.61,http://www.selleckchem.com/products/BIBW2992.html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C04,TW-37,S1121,TW-37,10,m,4,3,25,192950585,573.7,877877-35-5,free base,Bcl-2,TW-37 is a novel nonpeptide inhibitor to recombinant Bcl-2; Bcl-xL and Mcl-1 with Ki of 0.29 _M; 1.11 _M and 0.26 _M; respectively.,C1=CC=CC(=C1C(C)(C)C)S(C2=CC=C(C=C2)NC(C3=C(C(=C(C(=C3)CC4=CC=CC=C4C(C)C)O)O)O)=O)(=O)=O,200.45,http://www.selleckchem.com/products/TW-37.html,Apoptosis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C05,Ridaforolimus (Deforolimus; MK-8669),S1022,Ridaforolimus (Deforolimus; MK-8669),10,m,5,3,25,192903205,990.21,572924-54-0,free base,mTOR,Ridaforolimus (Deforolimus) is a selective mTOR inhibitor with IC50 of 0.2 nM; while not classified as a prodrug; mTOR inhibition and FKBP12 binding is similar to rapamycin.,[C@H]1(C[C@@H](CC[C@@H]1OP(C)(=O)C)C[C@H]([C@@H]2CC([C@@H](/C=C(/[C@H]([C@@H](OC)C([C@@H](C[C@@H](/C=C/C=C/C=C(/[C@H](C[C@]3(CC[C@H]([C@](C(C(N4[C@](C(O2)=O)(CCCC4)[H])=O)=O)(O3)O)C)[H])OC)C)C)C)=O)O)C)C)=O)C)OC,199.96,http://www.selleckchem.com/products/Deforolimus.html,PI3K/Akt/mTOR,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C06,Malotilate,S1137,Malotilate,10,m,6,3,25,192880842,288.38,59937-28-9,free base,Others,Malotilate is a liver protein metabolism improved compound.,C(C(C(=O)OC(C)C)=C1SC=CS1)(=O)OC(C)C,201.12,http://www.selleckchem.com/products/Malotilate.html,Others,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C07,Nilotinib (AMN-107),S1033,Nilotinib (AMN-107),10,m,7,3,25,192919540,529.52,641571-10-0,free base,Bcr-Abl,Nilotinib (AMN-107) is a Bcr-Abl inhibitor with IC50 less than 30 nM.,C1(=CC=C(C(=C1)NC2=NC=CC(=N2)C3=CN=CC=C3)C)C(=O)NC4=CC(=CC(=C4)N5C=C(N=C5)C)C(F)(F)F,50.99,http://www.selleckchem.com/products/Nilotinib.html,Angiogenesis,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C08,SNS-032 (BMS-387032),S1145,SNS-032 (BMS-387032),10,m,8,3,25,194487284,380.53,345627-80-7,free base,CDK,SNS-032 has firstly been described as a selective inhibitor of CDK2 with IC50 of 48 nM and is 10- and 20-fold selective over CDK1/CDK4. It is also found to be sensitive to CDK7/9 with IC50 of 62 nM/4 nM; with little effect on CDK6. Phase 1.,C1(=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3)C(C)(C)C,199.72,http://www.selleckchem.com/products/SNS-032.html,Cell Cycle,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C09,Sunitinib Malate,S1042,Sunitinib Malate,10,m,9,3,25,192919538,532.56,341031-54-7,malate,VEGFR;PDGFR;c-Kit,Sunitinib Malate is a multi-targeted RTK inhibitor targeting VEGFR2 (Flk-1) and PDGFR_ with IC50 of 80 nM and 2 nM; and also inhibits c-Kit.,C1(=CC=C2C(=C1)/C(C(N2)=O)=C/C3NC(=C(C=3C)C(NCCN(CC)CC)=O)C)F.C(C[C@@H](C(O)=O)O)(O)=O,28.17,http://www.selleckchem.com/products/Sunitinib-Malate-(Sutent).html,Protein Tyrosine Kinase,,L1700-Selleck-Bioactive-Compound-Library
SelleckChem001,SP0135-A,C10,Capecitabine ,S1156,Capecitabine ,10,m,10,3,25,192928221,359.35,154361-50-9,free base,DNA/RNA Synthesis,Capecitabine is a tumor-selective fluoropyrimidine carbamate which achieves higher intratumoral 5-FU level with lower toxicity than 5-FU.,N1=C(C(=CN(C1=O)[C@@H]2O[C@@H]([C@H]([C@@H]2O)O)C)F)NC(OCCCCC)=O,200.36,http://www.selleckchem.com/products/Capecitabine(Xeloda).html,DNA Damage,,L1700-Selleck-Bioactive-Compound-Library
