Plate Map,Well,MoleculeID,Concentration,Unit
SP0127,J11,Quinine·HCl·2H2O,12.59737773,m
SP0127,J12,Bafilomycin A1,0.802787793,m
SP0127,J13,QX-314,14.56443598,m
SP0127,J14,BAPTA-AM,6.538648644,m
SP0127,J15,Ryanodine,10.13075358,m
SP0127,J16,Blebbistatin,17.10385254,m
SP0127,J17,SDZ-201106,10.71641139,m
SP0127,J18,Bongkrekic acid,1.027544143,m
SP0127,J19,SKF-96365,13.64429966,m
SP0127,J20,IB-MECA,9.798432525,m
SP0127,J21,Tetrandine,8.028905344,m
SP0127,J22,Brefeldin A,17.83425132,m
SP0127,K03,"8,9-Epoxyeicosatrienoic acid",0.1,m
SP0127,K04,Prostaglandin B1,1,m
SP0127,K05,8-epi-Prostaglandin F2a,1,m
SP0127,K06,Prostaglandin B2,1,m
SP0127,K07,9(S)-HODE,0.1,m
SP0127,K08,Prostaglandin  D2,1,m
SP0127,K09,9(S)-HPODE,0.1,m
SP0127,K10,Prostaglandin  E1,1,m
SP0127,K11,"9,10-Octadecenoamide",1,m
SP0127,K12,Prostaglandin  E2,1,m
SP0127,K13,"9a,11b-Prostaglandin F2",1,m
SP0127,K14,Prostaglandin  F1a,1,m
SP0127,K15,"9b,11a-Prostaglandin F2",1,m
SP0127,K16,Prostaglandin F2a,1,m
SP0127,K17,9-cis Retinoic acid,1,m
SP0127,K18,Prostaglandin I2 ,1,m
SP0127,K19,Dimethyloxaloylglycine,1,m
SP0127,K20,Prostaglandin J2,1,m
SP0127,K21,"Adrenic acid (22:4, n-6)",1,m
SP0127,K22,All trans retinoic acid,1,m
SP0127,L03,Thapsigargin,7.683399677,m
SP0127,L04,Bromo-7-nitroindazole,20.65859604,m
SP0127,L05,TMB-8,12.64117346,m
SP0127,L06,8-Bromo-cAMP,12.251839,m
SP0127,L07,Tolazamide,16.05651895,m
SP0127,L08,8-Bromo-cGMP,11.73386652,m
SP0127,L09,Tolbutamide,18.49468093,m
SP0127,L10,Bumetanide,13.72058307,m
SP0127,L11,U-37883A,14.4708544,m
SP0127,L12,5'-N-Ethylcarboxamidoadenosine (NECA),16.21832723,m
SP0127,L13,U-50488,13.53806498,m
SP0127,L14,BW-B 70C,15.80643316,m
SP0127,L15,Verapimil,10.99864145,m
SP0127,L16,CA-074-Me,12.57969552,m
SP0127,L17,Veratridine,7.420707514,m
SP0127,L18,SB-415286,13.89966113,m
SP0127,L19,YS035,13.90978061,m
SP0127,L20,Calpeptin,13.79450383,m
SP0127,L21,ZM226600,13.39236689,m
SP0127,L22,Calphostin C,0.632299822,m
SP0127,M03,N-Acetyl-S-geranyl-L-cysteine,1,m
SP0127,M04,REV-5901,1,m
SP0127,M05,N-acetyl-S-geranylgeranyl-L-Cysteine,1,m
SP0127,M06,S-farnesyl-L-cysteine,1,m
SP0127,M07,AM-251,1,m
SP0127,M08,Sphingosine,1,m
SP0127,M09,AM-580,1,m
SP0127,M10,SQ-29548,1,m
SP0127,M11,"Anandamide (18:2,n-6)",1,m
SP0127,M12,TETRAHYDROCANNABINOL-7-OIC ACID,1,m
SP0127,M13,"Anandamide (20:3,n-6)",1,m
SP0127,M14,TTNPB,1,m
SP0127,M15,"Anandamide (20:4, n-6)",1,m
SP0127,M16,U-46619,1,m
SP0127,M17,"Anandamide (22:4,n-6)",1,m
SP0127,M18,U-75302,0.1,m
SP0127,M19,Arachidonamide,1,m
SP0127,M20,"WIN 55,212-2 mesylate",1,m
SP0127,M21,"Arachidonic acid (20:4, n-6)",1,m
SP0127,M22,WY-14643,1,m
SP0127,N03,Tosyl-Phe-CMK (TPCK),14.21068189,m
SP0127,N04,Calyculin A,0.49545681,m
SP0127,N05,Thiorphan,19.73811469,m
SP0127,N06,Camptothecin,14.35329781,m
SP0127,N07,Z-prolyl-prolinal,15.13416589,m
SP0127,N08,Cantharidin,25.48421279,m
SP0127,N09,NapSul-Ile-Trp-CHO,10.17082925,m
SP0127,N10,E-Capsaicin,16.37133327,m
SP0127,N11,"3,4-dichloroisocoumarin",23.252245,m
SP0127,N12,Capsazepine,13.26611833,m
SP0127,N13,Boc-GVV-CHO,13.9881621,m
SP0127,N14,Castanospermine,26.42580427,m
SP0127,N15,Bestatin,16.21414081,m
SP0127,N16,Dipyridamole,9.908336002,m
SP0127,N17,Ala-Ala-Phe-CMK,14.71380184,m
SP0127,N18,CGP-37157,15.42138947,m
SP0127,N19,MDL-28170,13.07350868,m
SP0127,N20,Chelerythrine,14.35247791,m
SP0127,N21,Ac-Leu-Leu-Nle-CHO,13.03694278,m
SP0127,N22,CAPE,17.58665384,m
SP0127,O03,Arachidonoyl-PAF,1,m
SP0127,O04,4-Aminopyridine,53.12677643,m
SP0127,O05,BML-190,1,m
SP0127,O06,5-Hydroxydecanoate,26.55844984,m
SP0127,O07,C2 Ceramide,1,m
SP0127,O08,Aconitine,7.743089254,m
SP0127,O09,C2 Dihydroceramide,1,m
SP0127,O10,AM 92016·HCl,10.33405878,m
SP0127,O11,C8 Ceramide,1,m
SP0127,O12,Amantadine·HCl,26.63683341,m
SP0127,O13,C8 Dihydroceramide,1,m
SP0127,O14,Amiloride·HCl,18.79077598,m
SP0127,O15,Carbacyclin,1,m
SP0127,O16,Amiodarone·HCl,7.333819321,m
SP0127,O17,Ciglitazone,1,m
SP0127,O18,A-23187,9.548898573,m
SP0127,O19,Clofibrate,1,m
SP0127,O20,(R)-(+)-BAY K-8644,14.03325601,m
SP0127,O21,Cloprostenol,1,m
SP0127,O22,Benzamil·HCl,14.03666377,m
SP0127,P03,2-methoxyantimycin A3,9.352811624,m
SP0127,P04,Cimaterol,22.80159556,m
SP0127,P05,HA14-1,12.21803822,m
SP0127,P06,CinnGEL ,9.642095073,m
SP0127,P07,Decylubiquinone,15.50680423,m
SP0127,P08,Cirazoline,23.11829772,m
SP0127,P09,Betulinic acid,10.94809879,m
SP0127,P10,Clonidine,21.73024938,m
SP0127,P11,Deprenyl,26.69787827,m
SP0127,P12,Clozapine,15.29880088,m
SP0127,P13,1400W,28.20934948,m
SP0127,P14,Curcumin,13.57294467,m
SP0127,P15,Fumonisin B1,6.926838729,m
SP0127,P16,Cycloheximide,17.77162327,m
SP0127,P17,Triptolide,13.87343542,m
SP0127,P18,Cyclosporin A,4.157619686,m
SP0127,P19,Tanshinone IIA,16.98690378,m
SP0127,P20,Cypermethrin,12.01065585,m
SP0127,P21,Nigericin,6.896919877,m
SP0127,P22,Cytochalasin B,10.42518491,m
