Catalog number,old,MW,Plate Location,Plate number,96 Plate Map,96 well,384 Plate ID,Plate Map,Well,Plate description,Concentration,Compound description,Solvent,Plate part number,MoleculeID
CM-109,Ouabain,584.7,6-A07,6,Plate 2,A07,EnzoICCB2,SP0128,A14,ICCB Known Bioactives Library,1.71041772676932,Inhibitors:  Na+K+ATPase inhibitor,DMSO,2840,Ouabain - Inhibitors - Na+K+ATPase inhibitor
CC-104,tunicamycin,718.7,6-F07,6,Plate 2,F07,EnzoICCB2,SP0128,K14,ICCB Known Bioactives Library,1.39139455858982,Inhibitors:  glycosylation inhibitor,DMSO,2840,Tunicamycin - Inhibitors - glycosylation inhibitor
ST-391,U73122,464.6,6-G02,6,Plate 2,G02,EnzoICCB2,SP0128,M04,ICCB Known Bioactives Library,2.15220617274252,Lipid biosynthesis:  PLC inhibitor,DMSO,2840,U73122 - Lipid biosynthesis - PLC inhibitor
EI-195,H9,324.2,5-D06,5,Plate 1,D06,EnzoICCB2,SP0128,G11,ICCB Known Bioactives Library,3.08425886801531,Kinase inhibitors:  kinase inhibitor,DMSO,2840,H9 - Kinase inhibitors - kinase inhibitor
EI-185,Lavendustin A,381.4,5-F07,5,Plate 1,F07,EnzoICCB2,SP0128,K13,ICCB Known Bioactives Library,2.62206567907437,Kinase inhibitors:  Tyrosine kinase inhibitor EGF-R),DMSO,2840,Lavendustin A - Kinase inhibitors - Tyrosine kinase inhibitor EGF-R)
EI-230,KN-62,721.8,5-F02,5,Plate 1,F02,EnzoICCB2,SP0128,K03,ICCB Known Bioactives Library,1.38534087697619,Kinase inhibitors:  CaM kinase II inhibitor,DMSO,2840,KN-62  - Kinase inhibitors - CaM kinase II inhibitor
EI-196,H-89,446.4,5-D05,5,Plate 1,D05,EnzoICCB2,SP0128,G09,ICCB Known Bioactives Library,2.24033909772583,Kinase inhibitors:  PKA inhibitor,DMSO,2840,H-89 - Kinase inhibitors - PKA inhibitor
EI-305,SP-600125,220.2,6-C04,6,Plate 2,C04,EnzoICCB2,SP0128,E08,ICCB Known Bioactives Library,4.54078785393738,Kinase inhibitors:  JNK inhibitor,DMSO,2840,SP-600125 - Kinase inhibitors - JNK inhibitor
EI-246,GF-109203X,412.5,6-E11,6,Plate 2,E11,EnzoICCB2,SP0128,I22,ICCB Known Bioactives Library,2.4243382223346,Kinase inhibitors:  PKC inhibitor,DMSO,2840,GF-109203X - Kinase inhibitors - PKC inhibitor
EI-253,RG-14620,275.1,6-E08,6,Plate 2,E08,EnzoICCB2,SP0128,I16,ICCB Known Bioactives Library,3.634605808827,Kinase inhibitors:  EGF-R tyrosine kinase inhibitor,DMSO,2840,RG-14620 - Kinase inhibitors - EGF-R tyrosine kinase inhibitor
EI-283,Ro 31-8220,457.5,5-C10,5,Plate 1,C10,EnzoICCB2,SP0128,E19,ICCB Known Bioactives Library,2.18556782144785,Kinase inhibitors:  PKC inhibitor,DMSO,2840,Ro 31-8220 - Kinase inhibitors - PKC inhibitor
C-114,(±)-Epibatidine,208.7,5-H03,5,Plate 1,H03,EnzoICCB2,SP0128,O05,ICCB Known Bioactives Library,4.79186532941678,CNS receptor ligands:  nicotinic cholinergic agonist,DMSO,2840,Epibatidine (±) - CNS receptor ligands - nicotinic cholinergic agonist
T-116,vinblastine,909.1,6-G05,6,Plate 2,G05,EnzoICCB2,SP0128,M10,ICCB Known Bioactives Library,1.10004587191286,Inhibitors:  tubulin inhibitor,DMSO,2840,Vinblastine - Inhibitors - tubulin inhibitor
S-620,Pregnenolone-16?-carbonitrile,341.5,5-C03,5,Plate 1,C03,EnzoICCB2,SP0128,E05,ICCB Known Bioactives Library,2.92836916193003,Nuclear receptor ligands:  PXR/SXR agonist,DMSO,2840,Pregnenolone 16? carbonitrile - Nuclear receptor ligands - PXR/SXR agonist
AC-161,yohimbine,390.9,6-G09,6,Plate 2,G09,EnzoICCB2,SP0128,M18,ICCB Known Bioactives Library,2.55817285062317,CNS receptor ligands:  Adrenoreceptor antagonist (alpha),DMSO,2840,Yohimbine - CNS receptor ligands - Adrenoreceptor antagonist (alpha)
EI-299,Y-27632,247.3,6-G08,6,Plate 2,G08,EnzoICCB2,SP0128,M16,ICCB Known Bioactives Library,4.04308309344374,Kinase inhibitors:  ROCK inhibitor,DMSO,2840,Y-27632 - Kinase inhibitors - ROCK inhibitor
EI-286,SB 203580,377.4,6-D03,6,Plate 2,D03,EnzoICCB2,SP0128,G06,ICCB Known Bioactives Library,2.64946282141296,Kinase inhibitors:  Suppressor of MAPKAP kinase-2,DMSO,2840,SB 203580 - Kinase inhibitors - Suppressor of MAPKAP kinase-2
NS-820,serotonin,176.2,6-D07,6,Plate 2,D07,EnzoICCB2,SP0128,G14,ICCB Known Bioactives Library,5.67488257249237,CNS receptor ligands:  serotonin receptor agonist,DMSO,2840,Serotonin - CNS receptor ligands - serotonin receptor agonist
ST-420,LY-294002,307.3,5-G03,5,Plate 1,G03,EnzoICCB2,SP0128,M05,ICCB Known Bioactives Library,3.25369163853308,Lipid biosynthesis:  PI-3-Kinase inhibitor,DMSO,2840,LY-294002 - Lipid biosynthesis - PI-3-Kinase inhibitor
PR-112,RK-682,368.5,6-C09,6,Plate 2,C09,EnzoICCB2,SP0128,E18,ICCB Known Bioactives Library,2.71364897593672,Inhibitors:  VHR phosphatase inhibitor,DMSO,2840,RK-682 - Inhibitors - VHR phosphatase inhibitor
CN-257,Thiocitrulline [L-Thiocitrulline],191.3,6-E10,6,Plate 2,E10,EnzoICCB2,SP0128,I20,ICCB Known Bioactives Library,5.22873083016559,Inhibitors:  bNOS inhibitor,DMSO,2840,Thiocitrulline [L-Thiocitrulline HCl] - Inhibitors - bNOS inhibitor
PE-160,Phorbol 12-myristate 13-acetate,616.8,6-B03,6,Plate 2,B03,EnzoICCB2,SP0128,C06,ICCB Known Bioactives Library,1.62120536618976,Activators:  PKC activator,DMSO,2840,Phorbol 12 myristate 13 acetate - Activators - PKC activator
EI-360,PD 98059,267.3,6-A09,6,Plate 2,A09,EnzoICCB2,SP0128,A18,ICCB Known Bioactives Library,3.7414045906286,Kinase inhibitors:  MEK inhibitor,DMSO,2840,PD 98059 - Kinase inhibitors - MEK inhibitor
CN-125,Dibutyrylcyclic AMP,491.4,5-A10,5,Plate 1,A10,EnzoICCB2,SP0128,A19,ICCB Known Bioactives Library,2.03513663398576,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic AMP - Activators - PKA activator
CN-140,SQ22536,205.2,6-E02,6,Plate 2,E02,EnzoICCB2,SP0128,I04,ICCB Known Bioactives Library,4.87290252002154,Inhibitors:  adenylate cyclase inhibitor,DMSO,2840,SQ22536 - Inhibitors - adenylate cyclase inhibitor
G-237,Cerulenin,223.3,6-H09,6,Plate 2,H09,EnzoICCB2,SP0128,O18,ICCB Known Bioactives Library,4.47891617394856,Lipid biosynthesis:  Fatty acid biosynthesis inhibitor,DMSO,2840,Cerulenin - Lipid biosynthesis - Fatty acid biosynthesis inhibitor
CC-205,Roscovitine,354.4,6-C10,6,Plate 2,C10,EnzoICCB2,SP0128,E20,ICCB Known Bioactives Library,2.82127796556517,Kinase inhibitors:  CDK inhibitor,DMSO,2840,Roscovitine - Kinase inhibitors - CDK inhibitor
S-110,1-Deoxynojirimycin,163.2,5-A08,5,Plate 1,A08,EnzoICCB2,SP0128,A15,ICCB Known Bioactives Library,6.12851370672733,Inhibitors:  glucosidase inhibitor,DMSO,2840,Deoxynorjrimycin(1) - Inhibitors - glucosidase inhibitor
AC-146,Prazocin,383.4,6-B09,6,Plate 2,B09,EnzoICCB2,SP0128,C18,ICCB Known Bioactives Library,2.60823456166401,CNS receptor ligands:  adrenoreceptor agonist,DMSO,2840,Prazocin - CNS receptor ligands - adrenoreceptor agonist
ST-415,wortmannin,428.4,6-G07,6,Plate 2,G07,EnzoICCB2,SP0128,M14,ICCB Known Bioactives Library,2.33409323628796,Lipid biosynthesis:  PI-3Kinase; other kinases inhibitor,DMSO,2840,Wortmannin - Lipid biosynthesis - PI-3Kinase; other kinases inhibitor
EI-278,BAY 11-7082,207.2,5-F10,5,Plate 1,F10,EnzoICCB2,SP0128,K19,ICCB Known Bioactives Library,4.8251137520567,Inhibitors:  Inhibits IKK kinase activation,DMSO,2840,Bay 11-7082 - Inhibitors - Inhibits IKK kinase activation
KC-140,valinomycin,1111.3,6-G04,6,Plate 2,G04,EnzoICCB2,SP0128,M08,ICCB Known Bioactives Library,0.899829374354035,Ion channel ligands:  K+ ionophore,DMSO,2840,Valinomycin - Ion channel ligands - K+ ionophore
GR-332,ICRF-193,282.3,5-E05,5,Plate 1,E05,EnzoICCB2,SP0128,I09,ICCB Known Bioactives Library,3.54238481138749,Inhibitors:  topo II inhibitor that does not cause DNA breaks,DMSO,2840,ICRF-193 - Inhibitors - topo II inhibitor that does not cause DNA breaks
EI-307,GW-5074,520.9,5-H09,5,Plate 1,H09,EnzoICCB2,SP0128,O17,ICCB Known Bioactives Library,1.91959949476141,Kinase inhibitors:  cRAF1 kinase inhibitor,DMSO,2840,GW-5074 - Kinase inhibitors - cRAF1 kinase inhibitor
T-109,Cytochalasin D,507.6,5-A02,5,Plate 1,A02,EnzoICCB2,SP0128,A03,ICCB Known Bioactives Library,1.96998569199392,Inhibitors:  F actin capper,DMSO,2840,Cytochalasin D - Inhibitors - F actin capper
A-248,Monensin,692.9,5-H10,5,Plate 1,H10,EnzoICCB2,SP0128,O19,ICCB Known Bioactives Library,1.44330822410016,Ion channel ligands:  Na+ ionophore,DMSO,2840,Monensin - Ion channel ligands - Na+ ionophore
GR-234,GW-9662,276.7,5-B02,5,Plate 1,B02,EnzoICCB2,SP0128,C03,ICCB Known Bioactives Library,3.61434896539261,Nuclear receptor ligands:  PPAR gamma antagonist,DMSO,2840,GW-9662 - Nuclear receptor ligands - PPAR gamma antagonist
GR-303,Hoechst  33342·3HCl (BisBenzimide),561.9,5-E02,5,Plate 1,E02,EnzoICCB2,SP0128,I03,ICCB Known Bioactives Library,1.77956841906701,Inhibitors:  DNA minor groove binder,DMSO,2840,Hoechst  33342 (cell permeable) (BisBenzimide) - Inhibitors - DNA minor groove binder
A-249,Mycophenolic acid,290.4,6-H05,6,Plate 2,H05,EnzoICCB2,SP0128,O10,ICCB Known Bioactives Library,3.44406934702512,Inhibitors:  Inosine-5'-monophosphate dehydrogenase inhibitor,DMSO,2840,Mycophenolic acid  - Inhibitors - Inosine-5'-monophosphate dehydrogenase inhibitor
EI-293,5-Iodotubercidin,392.1,5-G05,5,Plate 1,G05,EnzoICCB2,SP0128,M09,ICCB Known Bioactives Library,2.55004592632713,Kinase inhibitors:  ERK-2 inhibitor,DMSO,2840,5-Iodotubercidin - Kinase inhibitors - ERK-2 inhibitor
GR-319,Doxorubicin,580.0,5-B07,5,Plate 1,B07,EnzoICCB2,SP0128,C13,ICCB Known Bioactives Library,1.72419738611676,Inhibitors:  topoisomerase II inhibitor; induces apoptosis,DMSO,2840,Doxorubicin - Inhibitors - topoisomerase II inhibitor; induces apoptosis
AP-401,Propidium iodide,668.4,6-B10,6,Plate 2,B10,EnzoICCB2,SP0128,C20,ICCB Known Bioactives Library,1.49612220086757,Inhibitors:  DNA intercalator,DMSO,2840,Propidium iodide - Inhibitors - DNA intercalator
EI-190,tyrphostin 1,184.2,6-F10,6,Plate 2,F10,EnzoICCB2,SP0128,K20,ICCB Known Bioactives Library,5.4290584926762,Inhibitors:  Calcineurin inhibitor,DMSO,2840,Tyrphostin 1 - Inhibitors - Calcineurin inhibitor
PD-140,IBMX,222.2,5-E08,5,Plate 1,E08,EnzoICCB2,SP0128,I15,ICCB Known Bioactives Library,4.49956309242373,Inhibitors:  PDE inhibitor (broad spec); adenosineR agonist,DMSO,2840,IBMX - Inhibitors - PDE inhibitor (broad spec); adenosineR agonist
EI-314,SB-431542,384.4,6-C03,6,Plate 2,C03,EnzoICCB2,SP0128,E06,ICCB Known Bioactives Library,2.60154209008932,Kinase inhibitors:  ALK4; ALK5; ALK7 inhibitor,DMSO,2840,SB-431542 - Kinase inhibitors - ALK4; ALK5; ALK7 inhibitor
EI-280,Geldanamycin,560.6,5-C08,5,Plate 1,C08,EnzoICCB2,SP0128,E15,ICCB Known Bioactives Library,1.78368884332951,Inhibitors:  HSP90 inhibitor,DMSO,2840,Geldanamycin - Inhibitors - HSP90 inhibitor
T-101,Nocodazole,301.3,6-A02,6,Plate 2,A02,EnzoICCB2,SP0128,A04,ICCB Known Bioactives Library,3.31873091729723,Inhibitors:  tubulin inhibitor,DMSO,2840,Nocodazole - Inhibitors - tubulin inhibitor
T-104,taxol = paclitaxel,853.9,6-E07,6,Plate 2,E07,EnzoICCB2,SP0128,I14,ICCB Known Bioactives Library,1.17108895228644,Inhibitors:  microtubule stabilizer,DMSO,2840,Taxol = Paclitaxel  - Inhibitors - microtubule stabilizer
GR-307,Etoposide,588.6,5-C05,5,Plate 1,C05,EnzoICCB2,SP0128,E09,ICCB Known Bioactives Library,1.6990719329288,Inhibitors:  topoisomerase II inhibitor,DMSO,2840,Etoposide - Inhibitors - topoisomerase II inhibitor
EI-219,Piroxicam,331.3,6-B06,6,Plate 2,B06,EnzoICCB2,SP0128,C12,ICCB Known Bioactives Library,3.01799327591098,Lipid biosynthesis:  COX1 inhibitor,DMSO,2840,Piroxicam - Lipid biosynthesis - COX1 inhibitor
CM-120,FCCP,254.2,5-C06,5,Plate 1,C06,EnzoICCB2,SP0128,E11,ICCB Known Bioactives Library,3.93440404204934,Inhibitors:  mitochondrial uncoupler,DMSO,2840,FCCP - Inhibitors - mitochondrial uncoupler
CA-310,trifluoperazine,480.4,6-F06,6,Plate 2,F06,EnzoICCB2,SP0128,K12,ICCB Known Bioactives Library,2.08152500848221,Inhibitors:  calmodulin inhibitor-possibly only at high concentrations!,DMSO,2840,Trifluoperazine - Inhibitors - calmodulin inhibitor-possibly only at high concentrations!
GR-334,Cyclopamine,411.6,6-B07,6,Plate 2,B07,EnzoICCB2,SP0128,C14,ICCB Known Bioactives Library,2.42942578820898,Inhibitors:  Hedgehog pathway inhibitor,DMSO,2840,Cyclopamine - Inhibitors - Hedgehog pathway inhibitor
EI-147,Genistein,260.4,5-C09,5,Plate 1,C09,EnzoICCB2,SP0128,E17,ICCB Known Bioactives Library,3.84064694929731,Kinase inhibitors:  Tyrosine kinase inhibitor,DMSO,2840,Genistein - Kinase inhibitors - Tyrosine kinase inhibitor
EI-274,Damnacanthal,282.2,5-A04,5,Plate 1,A04,EnzoICCB2,SP0128,A07,ICCB Known Bioactives Library,3.54298849662495,Kinase inhibitors:  p56lck inhibitor,DMSO,2840,Damnacanthal - Kinase inhibitors - p56lck inhibitor
CC-206,Indirubin,262.3,6-D06,6,Plate 2,D06,EnzoICCB2,SP0128,G12,ICCB Known Bioactives Library,3.81296928119428,Kinase inhibitors:  GSK-3beta inhibitor,DMSO,2840,Indirubin - Kinase inhibitors - GSK-3beta inhibitor
BL-169,Juglone,174.2,5-E10,5,Plate 1,E10,EnzoICCB2,SP0128,I19,ICCB Known Bioactives Library,5.74208396304854,Inhibitors:  PIN1 inhibitor,DMSO,2840,Juglone - Inhibitors - PIN1 inhibitor
FR-110,Hinokitiol,164.2,5-B04,5,Plate 1,B04,EnzoICCB2,SP0128,C07,ICCB Known Bioactives Library,6.09009318451582,Inhibitors:  Iron chelator,DMSO,2840,Hinokitiol - Inhibitors - Iron chelator
BL-093,Estradiol,272.4,5-C04,5,Plate 1,C04,EnzoICCB2,SP0128,E07,ICCB Known Bioactives Library,3.67131455088809,Nuclear receptor ligands:  estrogen,DMSO,2840,Estradiol - Nuclear receptor ligands - estrogen
T-115,thalidomide,258.2,6-E09,6,Plate 2,E09,EnzoICCB2,SP0128,I18,ICCB Known Bioactives Library,3.87252424684244,Inhibitors:  TNFalpha synthesis inhibitor,DMSO,2840,Thalidomide - Inhibitors - TNFalpha synthesis inhibitor
NA-136,Kavain (+/-),230.3,6-F03,6,Plate 2,F03,EnzoICCB2,SP0128,K06,ICCB Known Bioactives Library,4.34293179165045,Ion channel ligands:  voltage-dependent Na channel inhibitor,DMSO,2840,Kavain (±) - Ion channel ligands - voltage-dependent Na channel inhibitor
FR-104,resveratrol,228.2,6-D08,6,Plate 2,D08,EnzoICCB2,SP0128,G16,ICCB Known Bioactives Library,4.38128961507304,Activators:  SIRT1 activator,DMSO,2840,Resveratrol - Activators - SIRT1 activator
AC-764,Histamine,111.1,5-D10,5,Plate 1,D10,EnzoICCB2,SP0128,G19,ICCB Known Bioactives Library,8.99724774191575,CNS receptor ligands:  Histamine receptor agonist,DMSO,2840,Histamine - CNS receptor ligands - Histamine receptor agonist
CN-215,Dibutyrylcyclic GMP,485.4,5-A11,5,Plate 1,A11,EnzoICCB2,SP0128,A21,ICCB Known Bioactives Library,2.06022023754339,Activators:  PKA activator,DMSO,2840,Dibutyrylcyclic GMP - Activators - PKA activator
CN-242,L-NAME,233.2,5-G02,5,Plate 1,G02,EnzoICCB2,SP0128,M03,ICCB Known Bioactives Library,4.28770316745496,Inhibitors:  NO synthesis inhibitor,DMSO,2840,L-NAME  - Inhibitors - NO synthesis inhibitor
PD-129,EHNA ,277.4,5-C02,5,Plate 1,C02,EnzoICCB2,SP0128,E03,ICCB Known Bioactives Library,3.60535366175942,Inhibitors:  Phosphodiesterase (PDE2) inhibitor/adenosine deaminase inhibitor,DMSO,2840,EHNA HCl - Inhibitors - Phosphodiesterase (PDE2) inhibitor/adenosine deaminase inhibitor
CT-115,Shikonin,288.3,6-H06,6,Plate 2,H06,EnzoICCB2,SP0128,O12,ICCB Known Bioactives Library,3.46866683871254,Inhibitors:  Apoptosis inducer; p53 dependent,DMSO,2840,Shikonin - Inhibitors - Apoptosis inducer; p53 dependent
EI-287,Nimesulide,308.3,5-D03,5,Plate 1,D03,EnzoICCB2,SP0128,G05,ICCB Known Bioactives Library,3.24348869644189,Lipid biosynthesis:  Cox 2 inhibitor,DMSO,2840,Nimesulide - Lipid biosynthesis - Cox 2 inhibitor
AC-1557,2-APB,225.1,6-H07,6,Plate 2,H07,EnzoICCB2,SP0128,O14,ICCB Known Bioactives Library,4.44258842972269,Inhibitors:  IP3 receptor blocker,DMSO,2840,2 - APB
G-236,Manumycin A,550.6,5-G07,5,Plate 1,G07,EnzoICCB2,SP0128,M13,ICCB Known Bioactives Library,1.81605999971669,Inhibitors:  ras farnesylation inhibitor,DMSO,2840,Manumycin A - Inhibitors - ras farnesylation inhibitor
EI-231,DRB (Benzimidazole),319.1,5-B08,5,Plate 1,B08,EnzoICCB2,SP0128,C15,ICCB Known Bioactives Library,3.13341125082644,Kinase inhibitors:  CKII inhibitor,DMSO,2840,DRB - Kinase inhibitors - CKII inhibitor
EI-131,Indomethacin,357.8,5-E06,5,Plate 1,E06,EnzoICCB2,SP0128,I11,ICCB Known Bioactives Library,2.79495120015205,Lipid biosynthesis:  cyclooxygenase inhibitor,DMSO,2840,Indomethacin - Lipid biosynthesis - cyclooxygenase inhibitor
A-275,Rapamycin,914.2,6-C06,6,Plate 2,C06,EnzoICCB2,SP0128,E12,ICCB Known Bioactives Library,1.09388617173641,Inhibitors:  FRAP inhibitor ,DMSO,2840,Rapamycin - Inhibitors - FRAP inhibitor 
S-650,tamoxifen,371.5,6-E06,6,Plate 2,E06,EnzoICCB2,SP0128,I12,ICCB Known Bioactives Library,2.69168425682329,Nuclear receptor ligands:  estrogen antagonist,DMSO,2840,Tamoxifen - Nuclear receptor ligands - estrogen antagonist
CA-201,Ionomycin,679.0,5-E07,5,Plate 1,E07,EnzoICCB2,SP0128,I13,ICCB Known Bioactives Library,1.4727061166345,Ion channel ligands:  Ca++ ionophore,DMSO,2840,Ionomycin - Ion channel ligands - Ca++ ionophore
CM-111,Oligomycin A,791.1,6-A05,6,Plate 2,A05,EnzoICCB2,SP0128,A10,ICCB Known Bioactives Library,1.26412261989413,Inhibitors:  Fo ATP synthase inhibitor ,DMSO,2840,Oligomycin A - Inhibitors - Fo ATP synthase inhibitor 
GR-312,Puromycin·2HCl,530.4,6-C02,6,Plate 2,C02,EnzoICCB2,SP0128,E04,ICCB Known Bioactives Library,1.88535175950453,Inhibitors:  protein synthesis inhibitor,DMSO,2840,Puromycin - Inhibitors - protein synthesis inhibitor
